smiles,median_value_nM,activity_label,molecule_chembl_id,n_measurements,source_type
BrCCCCCCCCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12,144539.4075655851,0,CHEMBL4130039,2,MIC
BrCCCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12,37378.30473237583,0,CHEMBL4127067,2,MIC
BrCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12,59996.32578541131,0,CHEMBL4128115,2,MIC
BrCCOc1ccc2ccccc2c1,1024002.7563205071,0,CHEMBL1819057,1,MIC
Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCN3)ccc12,882.3280619521436,1,CHEMBL3094498,2,MIC
Brc1c(-c2ccccc2)nc2sc(Cc3noc4ccccc34)nn12,7317.364186374566,1,CHEMBL564198,1,MIC
Brc1cc(-c2nnc(-c3cc(Br)c(Br)[nH]3)o2)[nH]c1Br,3048.590670924452,1,CHEMBL2151450,1,MIC
Brc1cc(-c2nnc(-c3ccccc3)o2)[nH]c1Br,34069.638544250396,0,CHEMBL2151451,1,MIC
Brc1cc(-c2nnc(-c3ccncc3)o2)[nH]c1Br,33977.470516742476,0,CHEMBL2151453,1,MIC
Brc1cc(-c2nnc(/C=C/C3=COc4ccccc4C3)o2)[nH]c1Br,6992.27469875517,1,CHEMBL2151454,1,MIC
Brc1cc(-c2nnc(/C=C/c3ccccc3)o2)[nH]c1Br,31813.80131507389,0,CHEMBL2151446,1,MIC
Brc1cc(-c2nnc(Sc3ccccc3)o2)[nH]c1Br,31338.71543417995,0,CHEMBL2151458,1,MIC
Brc1ccc(-c2cn3nc(Cc4noc5ccccc45)sc3n2)cc1,2439.121395458189,1,CHEMBL564251,1,MIC
Brc1ccc(-c2cnc(-c3ccc4nc(-c5ccc(Oc6ccccc6)cc5)c(Nc5ccccc5)n4c3)[nH]2)cc1,20448.273636696675,0,CHEMBL1630657,1,MIC
Brc1ccc(-c2nc(-c3cc4ccccc4nc3N3CCOCC3)no2)cc1,572000.0,0,CHEMBL4088061,1,MIC
Brc1ccc(-c2nc3ccc(-c4nc5ccc(Oc6ccccc6)cc5[nH]4)cn3c2Nc2ccccc2)cc1,55734.471982763454,0,CHEMBL1630654,1,MIC
Brc1ccc(-c2nc3ccc(-c4ncc(-c5ccc(Oc6ccccc6)cc5)[nH]4)cn3c2Nc2ccccc2)cc1,55734.52470346152,0,CHEMBL1630659,1,MIC
