smiles,median_value_nM,activity_label,molecule_chembl_id,n_measurements,source_type
Brc1c(-c2ccc3c(c2)OCO3)nc2ncccn12,14850.0,0,CHEMBL1489521,12,MIC
Brc1cc(-c2nnc(-c3cc(Br)c(Br)[nH]3)o2)[nH]c1Br,6839.786761689475,1,CHEMBL2151450,1,MIC
Brc1cc(-c2nnc(-c3ccccc3)o2)[nH]c1Br,269013.86594540114,0,CHEMBL2151451,1,MIC
Brc1cc(-c2nnc(-c3ccncc3)o2)[nH]c1Br,9513.691744687894,1,CHEMBL2151453,1,MIC
Brc1cc(-c2nnc(/C=C/C3=COc4ccccc4C3)o2)[nH]c1Br,4475.055807203308,1,CHEMBL2151454,1,MIC
Brc1cc(-c2nnc(/C=C/c3ccccc3)o2)[nH]c1Br,199790.67225866404,0,CHEMBL2151446,1,MIC
Brc1cc(-c2nnc(Sc3ccccc3)o2)[nH]c1Br,58916.785016258305,0,CHEMBL2151458,1,MIC
Brc1ccc(-c2cncnc2)s1,51840.0,0,CHEMBL3421651,2,MIC
Brc1ccc(-c2csc(N/N=C/c3ccc(-n4ccnc4)cc3)n2)cc1,59100.0,0,CHEMBL3236026,1,MIC
Brc1ccc(-c2csc(N/N=C/c3ccc(-n4cncn4)cc3)n2)cc1,29480.0,0,CHEMBL3236034,1,MIC
Brc1ccc(-c2nc3ccccc3c(-c3ccccc3)c2Oc2ccc(-c3cc(-c4ccccc4)c4ccccc4n3)cc2)cc1,19100.0,0,CHEMBL1949809,1,MIC
Brc1ccc(-c2nc3ccccc3c(-c3ccccc3)c2Sc2nc3ccccc3s2)cc1,5900.0,1,CHEMBL1829199,1,MIC
Brc1ccc(-c2nc3ccccc3c(-c3ccccc3)c2Sc2nnnn2-c2ccccc2)cc1,23300.0,0,CHEMBL1829338,1,MIC
Brc1ccc(-c2ncncc2-c2cc3ccccc3s2)s1,33490.0,0,CHEMBL3422860,2,MIC
Brc1ccc(-c2ncncc2-c2cccs2)s1,38670.0,0,CHEMBL3423453,2,MIC
Brc1ccc(-c2ncncc2-c2ccsc2)s1,19340.0,0,CHEMBL3422856,2,MIC
Brc1ccc(-c2ncncc2-c2csc3ccccc23)s1,8300.0,1,CHEMBL3422864,2,MIC
Brc1ccc(-c2ncncc2Br)s1,9690.0,1,CHEMBL3423449,2,MIC
Brc1ccc(-c2nnc(-c3ccc(-n4cccc4)cc3)o2)cc1,5479.206254539591,1,CHEMBL2281598,1,MIC
Brc1ccc(-c2nnc3n2N=C(c2ccccc2)CS3)cc1,2702.784666824561,1,CHEMBL3885450,3,MIC
Brc1ccc(-n2c3c/c(=N\C4CCOCC4)c(Nc4cccnc4)cc-3nc3ccccc32)cc1,310.4073554350223,1,CHEMBL2177945,1,MIC
Brc1ccc(-n2cc(CSc3nc4ccccc4s3)nn2)cc1,39804.871499321875,0,CHEMBL1945003,1,MIC
Brc1ccc(/C=C/c2nnc3c4ccccc4cnn23)cc1,1428.5032340636621,1,CHEMBL5219906,2,MIC
Brc1ccc(C2=NN(c3ccccc3)C3(C2)c2ccccc2-c2nc4ccccc4nc23)cc1,12410.0,0,CHEMBL3608455,1,MIC
Brc1ccc(C2=NN(c3ccccc3)[C@H](c3ccc(Br)cc3)[C@H]2n2ccnc2)cc1,15384.916550984215,0,CHEMBL468020,1,MIC
Brc1ccc(C2=NN[C@H](c3ccc(Br)cc3)[C@H]2n2ccnc2)cc1,18019.701453917885,0,CHEMBL457294,1,MIC
Brc1ccc(CN2CCN(Cc3ccc(Br)cc3)C(Cn3ccnc3)C2)cc1,12449.287306085347,0,CHEMBL4517121,1,MIC
Brc1ccc(CNCC2CCCC(CNCc3ccc(Br)cc3)C2)cc1,12200.0,0,CHEMBL3215921,1,MIC
Brc1ccc(COc2ccc(/C=C/CCn3cnc4ccccc43)cc2)cc1,3610.4113816939494,1,CHEMBL2441297,1,MIC
Brc1ccc(COc2ccc(/C=C/CCn3cncn3)cc2)cc1,12478.354613521828,0,CHEMBL2441298,1,MIC
Brc1ccc(COc2ccc(C(C3CC3)n3ccnc3)cc2)cc1,8166.084008253043,1,CHEMBL2441324,1,MIC
Brc1ccc(COc2ccc(C(C3CC3)n3cnc4ccccc43)cc2)cc1,14464.789189478965,0,CHEMBL2441323,1,MIC
Brc1ccc(COc2ccc(C(C3CC3)n3cncn3)cc2)cc1,65263.36094938194,0,CHEMBL2441325,1,MIC
Brc1ccc(COc2ccc(C(Nc3nc4ccccc4s3)C3CC3)cc2)cc1,13468.208022813838,0,CHEMBL2441328,1,MIC
Brc1ccc(COc2ccc(C(Nn3cnnc3)C3CC3)cc2)cc1,7837.734314761754,1,CHEMBL2441327,1,MIC
Brc1ccc(Cn2cc(-c3ccc4oc5ccccc5c4c3)nn2)cc1,1935.3300810529747,1,CHEMBL3099088,1,MIC
Brc1ccc(Cn2cc(COc3ccccc3)nn2)cc1,84248.69389409022,0,CHEMBL3741711,1,MIC
Brc1ccc(Nc2nc(-c3ccccc3)nc3sc4c(c23)CCCC4)cc1,28640.0,0,CHEMBL3948346,1,MIC
Brc1ccc(Nc2nc(-c3cccnc3)cs2)cc1,6250.0,1,CHEMBL1604685,1,MIC
