smiles,median_value_nM,activity_label,molecule_chembl_id,n_measurements,source_type
BrCCCCCCCCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12,32119.868347907803,0,CHEMBL4130039,1,MIC
BrCCCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12,37378.30473237583,0,CHEMBL4127067,1,MIC
BrCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12,19998.77526180377,0,CHEMBL4128115,1,MIC
Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCN3)ccc12,1750.6509165717134,1,CHEMBL3094498,2,MIC
Brc1c(-c2ccccc2)nc2sc(Cc3noc4ccccc34)nn12,4878.242790916377,1,CHEMBL564198,1,MIC
Brc1cc(-c2nnc(-c3cc(Br)c(Br)[nH]3)o2)[nH]c1Br,12213.90493158835,0,CHEMBL2151450,1,MIC
Brc1cc(-c2nnc(-c3ccccc3)o2)[nH]c1Br,17034.819272125198,0,CHEMBL2151451,1,MIC
Brc1cc(-c2nnc(-c3ccncc3)o2)[nH]c1Br,33977.470516742476,0,CHEMBL2151453,1,MIC
Brc1cc(-c2nnc(/C=C/C3=COc4ccccc4C3)o2)[nH]c1Br,27969.09879502068,0,CHEMBL2151454,1,MIC
Brc1cc(-c2nnc(/C=C/c3ccccc3)o2)[nH]c1Br,15906.900657536946,0,CHEMBL2151446,1,MIC
Brc1cc(-c2nnc(Sc3ccccc3)o2)[nH]c1Br,62677.4308683599,0,CHEMBL2151458,1,MIC
Brc1ccc(-c2cn3nc(Cc4noc5ccccc45)sc3n2)cc1,6097.8034886454725,1,CHEMBL564251,1,MIC
Brc1ccc(-c2cnc(-c3ccc4nc(-c5ccc(Oc6ccccc6)cc5)c(Nc5ccccc5)n4c3)[nH]2)cc1,19728.14606390555,0,CHEMBL1630657,1,MIC
Brc1ccc(-c2nc3ccc(-c4nc5ccc(Oc6ccccc6)cc5[nH]4)cn3c2Nc2ccccc2)cc1,72018.8134668885,0,CHEMBL1630654,1,MIC
Brc1ccc(-c2nc3ccc(-c4ncc(-c5ccc(Oc6ccccc6)cc5)[nH]4)cn3c2Nc2ccccc2)cc1,74173.13999748528,0,CHEMBL1630659,1,MIC
Brc1ccc(-c2nc3sc(-c4ccc(I)cc4)nn3c2/C=N/C2CC2)cc1,91254.7427120114,0,CHEMBL3414751,1,MIC
