smiles,median_value_nM,activity_label,molecule_chembl_id,n_measurements,source_type
Bc1ccc(SC(CC(=O)c2ccc(O)c(C)c2)c2ccc(Cl)cc2)cc1,1979.2103794521292,1,CHEMBL5286851,1,MIC
BrC1[C@@H](c2c[nH]c3ccccc23)c2[nH]c3ccccc3c2[C@@H]1c1c[nH]c2ccccc12,6719.215450529516,1,CHEMBL3741854,3,MIC
BrCCCCCCCCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12,96359.60504372341,0,CHEMBL4130039,2,MIC
BrCCCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12,56067.45709856374,0,CHEMBL4127067,2,MIC
BrCCCOCc1c(-c2ccccc2)nc2sc3ccccc3n12,49996.93815450942,0,CHEMBL4128115,2,MIC
BrCCOc1ccc2ccccc2c1,1024002.7563205071,0,CHEMBL1819057,1,MIC
Brc1c(-c2ccc(-c3[nH]c4cc(C5=NCCN5)ccc4c3Br)cc2)[nH]c2cc(C3=NCCN3)ccc12,84.03124399544225,1,CHEMBL3094498,2,MIC
Brc1c(-c2ccccc2)nc2sc(Cc3noc4ccccc34)nn12,2439.1213954581885,1,CHEMBL564198,1,MIC
Brc1c[nH]nc1-c1nc(-c2ccc(Oc3ccccc3)cc2)no1,2617.756245853229,1,CHEMBL3407940,2,MIC
Brc1cc(-c2nnc(-c3cc(Br)c(Br)[nH]3)o2)[nH]c1Br,3048.590670924452,1,CHEMBL2151450,1,MIC
Brc1cc(-c2nnc(-c3ccccc3)o2)[nH]c1Br,17034.819272125198,0,CHEMBL2151451,1,MIC
Brc1cc(-c2nnc(-c3ccncc3)o2)[nH]c1Br,4240.388320489462,1,CHEMBL2151453,1,MIC
Brc1cc(-c2nnc(/C=C/C3=COc4ccccc4C3)o2)[nH]c1Br,3490.5435296185806,1,CHEMBL2151454,1,MIC
Brc1cc(-c2nnc(/C=C/c3ccccc3)o2)[nH]c1Br,7953.450328768473,1,CHEMBL2151446,1,MIC
Brc1cc(-c2nnc(Sc3ccccc3)o2)[nH]c1Br,31338.71543417995,0,CHEMBL2151458,1,MIC
Brc1cc(Br)c2c(c1)C(NCCCNc1nc3ccccc3[nH]1)CCN2,524.0910287147664,1,CHEMBL361649,1,MIC
