smiles,pubchem_cid,prestwick_id,name,drug_class,n_hit,harm_t5,harm_t10,harm_t20
COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,5361912,Prestw-1109,Rifabutin,antibiotics,40,1,1,1
CC1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(=O)C(=C(N)O)C(=O)C(N(C)C)C3C(O)C21,25880656,Prestw-1399,Doxycycline hydrochloride,antibiotics,40,1,1,1
CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,27233777,Prestw-145,Chlortetracycline hydrochloride,antibiotics,40,1,1,1
NC1CCN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)C1,5517,Prestw-1464,Tosufloxacin hydrochloride,antibiotics,40,1,1,1
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,298,Prestw-31,Chloramphenicol,antibiotics,40,1,1,1
CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)=C(O)C3(O)C(=O)C1=C2O,26275995,Prestw-315,Minocycline hydrochloride,antibiotics,40,1,1,1
C=C1c2c(Cl)ccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12,54676538,Prestw-456,Meclocycline sulfosalicylate,antibiotics,40,1,1,1
CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)ccc(Cl)c4C(O)C3CC12,51601240,Prestw-753,Demeclocycline hydrochloride,antibiotics,40,1,1,1
C=C1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(=O)C(=C(N)O)C(=O)C(N(C)C)C3C(O)C12,28412038,Prestw-964,Methacycline hydrochloride,antibiotics,40,1,1,1
NC(=NCCCCCCN=C(N)N=C(N)Nc1ccc(Cl)cc1)N=C(N)Nc1ccc(Cl)cc1,2713,Prestw-143,Chlorhexidine,antiseptics,40,1,1,1
CS(=O)(=O)c1ccc(C(O)C(CF)NC(=O)C(Cl)Cl)cc1,114811,Prestw-955,Florfenicol,vet: anti-infectives,40,1,1,1
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,2764,Prestw-113,Ciprofloxacin hydrochloride monohydrate,antibiotics,39,1,1,1
COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(=CNN2CCN(C3CCCC3)CC2)C(=C4O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,6323497,Prestw-1157,Rifapentine,antibiotics,39,1,1,1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,2269,Prestw-1234,Azithromycin,antibiotics,39,1,1,1
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)N(C)C1,2786,Prestw-137,Clindamycin hydrochloride,antibiotics,39,1,1,1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,54688,Prestw-1378,Clarithromycin,antibiotics,39,1,1,1
NC1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,60062,Prestw-1379,Clinafloxacin,antibiotics,39,1,1,1
CN(C)C1C(=O)C(=C(N)O)C(=O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3CC12,25880664,Prestw-140,Tetracycline hydrochloride,antibiotics,39,1,1,1
CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,3929,Prestw-1429,Linezolid,antibiotics,39,1,1,1
COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,4259,Prestw-1446,Moxifloxacin,antibiotics,39,1,1,1
CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1,5433,Prestw-25,Thiamphenicol,antibiotics,39,1,1,1
CN(C)C1C(=O)C(C(N)=O)=C(O)C2(O)C(=O)C3=C(O)c4c(O)cccc4C(C)(O)C3C(O)C12,44134877,Prestw-307,Oxytetracycline dihydrate,antibiotics,39,1,1,1
COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C(=O)C(=CNN2CCN(C)CC2)C(=C4O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,5381226,Prestw-525,Rifampicin,antibiotics,39,1,1,1
O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1,3435,Prestw-808,Furazolidone,antibiotics,39,1,1,1
O=C1NCCN1c1ncc([N+](=O)[O-])s1,6093,Prestw-469,Niridazole,antiparasitics,39,1,1,1
COC(=O)N=NC=C1C=[N+]([O-])c2ccccc2N1O,2553,Prestw-1121,Carbadox,vet: anti-infectives,39,1,1,1
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,2349,Prestw-1078,Benzylpenicillin sodium,antibiotics,38,1,1,1
CC1CCc2c(N3CCC(O)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,4410,Prestw-1120,Nadifloxacin,antibiotics,38,1,1,1
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,5379,Prestw-1265,Gatifloxacin,antibiotics,38,1,1,1
O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,56207,Prestw-1339,Sarafloxacin,antibiotics,38,1,1,1
COC1C=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C,72111,Prestw-1478,Rifaximin,antibiotics,38,1,1,1
O=C1OC(CN2CCOCC2)CN1N=Cc1ccc([N+](=O)[O-])o1,3434,Prestw-764,Furaltadone hydrochloride,vet: anti-infectives,38,1,1,1
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(C(=O)N(C)C)C3)C(C)C12,60706,Prestw-1106,Meropenem,antibiotics,37,1,1,1
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,3255,Prestw-151,Erythromycin,antibiotics,37,1,1,1
COC1C(OC(C)=O)CC(=O)OC(C)CC=CC=CC(O)C(C)CC(CC=O)C1OC1OC(C)C(OC2CC(C)(O)C(OC(=O)CC(C)C)C(C)O2)C(N(C)C)C1O,3804,Prestw-154,Josamycin,antibiotics,37,1,1,1
CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1,3928,Prestw-302,Lincomycin hydrochloride,antibiotics,37,1,1,1
O=C(NN=Cc1ccc([N+](=O)[O-])o1)c1ccc(O)cc1,13764,Prestw-555,Nifuroxazide,antibiotics,37,1,1,1
Cc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cn4cnnn4)C3SC2)s1,2617,Prestw-736,Cefazolin sodium salt,antibiotics,37,1,1,1
