2026-04-02 16:47:47 | INFO  | phase3c_frozen | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/logs/phase3c_frozen.log
2026-04-02 16:47:47 | INFO  | phase3c_frozen | ============================================================
2026-04-02 16:47:47 | INFO  | phase3c_frozen |  STARTING: Phase 3C-Frozen: CheMeleon Frozen Encoder Training
2026-04-02 16:47:47 | INFO  | phase3c_frozen | ============================================================
2026-04-02 16:47:47 | INFO  | phase3c_frozen |   SKIP: all 7/7 tasks already complete in /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/results/chemeleon_frozen_cv_metrics.json
2026-04-02 16:47:47 | INFO  | phase3c_frozen |   CheMeleon weights cached: /home2/vishakha.agrawal/.chemprop/chemeleon_mp.pt (34.9 MB)
2026-04-02 16:47:52 | INFO  | phase3c_frozen |   GPU: NVIDIA GeForce RTX 2080 Ti (11.3 GB)
2026-04-02 16:47:52 | INFO  | phase3c_frozen | 
======================================================================
2026-04-02 16:47:52 | INFO  | phase3c_frozen |   Training final models and screening hub...
2026-04-02 16:47:52 | INFO  | phase3c_frozen | ======================================================================
2026-04-02 16:48:07 | INFO  | phase3c_frozen |     Training final model on 28284 compounds...
2026-04-02 16:54:30 | INFO  | phase3c_frozen |     Saved final model: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/chemeleon_frozen/ecoli/final_model.pt
2026-04-02 16:54:30 | INFO  | phase3c_frozen |     Training final model on 43853 compounds...
2026-04-02 17:04:40 | INFO  | phase3c_frozen |     Saved final model: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/chemeleon_frozen/saureus/final_model.pt
2026-04-02 17:04:40 | INFO  | phase3c_frozen |     Training final model on 17783 compounds...
2026-04-02 17:08:46 | INFO  | phase3c_frozen |     Saved final model: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/chemeleon_frozen/paeruginosa/final_model.pt
2026-04-02 17:08:46 | INFO  | phase3c_frozen |     Training final model on 18705 compounds...
2026-04-02 17:12:16 | INFO  | phase3c_frozen |     Saved final model: /scratch/vishakha.agrawal/antibiotic-selectivity-v2/outputs/runs/run_20260315_034033/models/chemeleon_frozen/mtb/final_model.pt
2026-04-02 17:12:16 | INFO  | phase3c_frozen |     Training final model on 1177 compounds...
