2026-03-21 19:07:12 | INFO  | phase3d | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity/logs/phase3d.log
2026-03-21 19:07:12 | INFO  | phase3d | ============================================================
2026-03-21 19:07:12 | INFO  | phase3d |  STARTING: Phase 3D: MoLFormer-XL Fine-Tuning
2026-03-21 19:07:12 | INFO  | phase3d | ============================================================
2026-03-21 19:07:18 | INFO  | phase3d |   torch=2.4.1+cu118, transformers=4.57.6
2026-03-21 19:07:20 | INFO  | phase3d |   GPU: NVIDIA GeForce RTX 2080 Ti (10.6 GB)
2026-03-21 19:07:20 | INFO  | phase3d | 
  7 tasks to train
2026-03-21 19:07:20 | INFO  | phase3d | 
  >>> Model 1/7: molformer_ecoli <<<
2026-03-21 19:07:20 | INFO  | phase3d | 
  Training molformer_ecoli with 5-fold scaffold CV...
2026-03-21 19:07:20 | INFO  | phase3d |     [10_train_molformer.py:molformer_ecoli:fold_0] Starting fold 0/5...
2026-03-21 19:07:22 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 19:07:22 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 19:07:31 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 19:07:31 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 19:07:31 | INFO  | phase3d |     Device: cuda
2026-03-21 19:07:42 | INFO  | phase3d |     [10_train_molformer.py:molformer_ecoli:fold_0] SKIP (cached model), ROC-AUC=0.8383, PR-AUC=0.7833
2026-03-21 19:07:42 | INFO  | phase3d |     [10_train_molformer.py:molformer_ecoli:fold_1] Starting fold 1/5...
2026-03-21 19:07:42 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 19:07:42 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 19:07:45 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 19:07:45 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 19:07:45 | INFO  | phase3d |     Device: cuda
2026-03-21 19:07:56 | INFO  | phase3d |     [10_train_molformer.py:molformer_ecoli:fold_1] SKIP (cached model), ROC-AUC=0.8317, PR-AUC=0.7473
2026-03-21 19:07:56 | INFO  | phase3d |     [10_train_molformer.py:molformer_ecoli:fold_2] Starting fold 2/5...
2026-03-21 19:07:56 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 19:07:56 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 19:08:00 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 19:08:00 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 19:08:00 | INFO  | phase3d |     Device: cuda
2026-03-21 19:08:10 | INFO  | phase3d |     [10_train_molformer.py:molformer_ecoli:fold_2] SKIP (cached model), ROC-AUC=0.8330, PR-AUC=0.7289
2026-03-21 19:08:10 | INFO  | phase3d |     [10_train_molformer.py:molformer_ecoli:fold_3] Starting fold 3/5...
2026-03-21 19:08:10 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 19:08:10 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 19:08:14 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 19:08:14 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 19:08:14 | INFO  | phase3d |     Device: cuda
2026-03-21 19:08:24 | INFO  | phase3d |     [10_train_molformer.py:molformer_ecoli:fold_3] SKIP (cached model), ROC-AUC=0.8160, PR-AUC=0.6956
2026-03-21 19:08:24 | INFO  | phase3d |     [10_train_molformer.py:molformer_ecoli:fold_4] Starting fold 4/5...
2026-03-21 19:08:24 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 19:08:24 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 19:08:28 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 19:08:28 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 19:08:28 | INFO  | phase3d |     Device: cuda
2026-03-21 19:08:37 | INFO  | phase3d |     [10_train_molformer.py:molformer_ecoli:fold_4] SKIP (cached model), ROC-AUC=0.8702, PR-AUC=0.8226
2026-03-21 19:08:37 | INFO  | phase3d |   molformer_ecoli CV: ROC-AUC = 0.8378 +/- 0.0178
2026-03-21 19:08:37 | INFO  | phase3d |   molformer_ecoli: 77s
2026-03-21 19:08:37 | INFO  | phase3d |     Training final molformer_ecoli on all 28284 samples...
2026-03-21 19:08:37 | INFO  | phase3d |     Loading MoLFormer from ibm/MoLFormer-XL-both-10pct...
2026-03-21 19:08:37 | INFO  | phase3d |     transformers version: 4.57.6
2026-03-21 19:08:41 | INFO  | phase3d |     Encoder: 44.4M params
2026-03-21 19:08:41 | INFO  | phase3d |     Classifier: 769 params
2026-03-21 19:08:41 | INFO  | phase3d |     Device: cuda
2026-03-21 19:08:41 | INFO  | phase3d |     Tokenizing 28284 training SMILES...
2026-03-21 19:08:47 | INFO  | phase3d |     Tokenized in 5.8s, input shape: torch.Size([28284, 202])
2026-03-21 19:08:47 | INFO  | phase3d |     Training: 20 epochs, 884 batches/epoch, batch_size=32, 28284 compounds
2026-03-21 19:08:47 | INFO  | phase3d |     LR: encoder=1e-05, classifier=0.0001, warmup=1768/17680 steps
2026-03-21 19:12:27 | INFO  | phase3d |     Epoch 1/20: train_loss=0.5484, 221s
2026-03-21 19:16:14 | INFO  | phase3d |     Epoch 2/20: train_loss=0.4533, 227s
2026-03-21 19:20:01 | INFO  | phase3d |     Epoch 3/20: train_loss=0.4138, 227s
2026-03-21 19:23:48 | INFO  | phase3d |     Epoch 4/20: train_loss=0.3743, 228s
2026-03-21 19:27:37 | INFO  | phase3d |     Epoch 5/20: train_loss=0.3436, 229s
2026-03-21 19:31:26 | INFO  | phase3d |     Epoch 6/20: train_loss=0.3201, 229s
2026-03-21 19:35:15 | INFO  | phase3d |     Epoch 7/20: train_loss=0.2970, 229s
2026-03-21 19:39:04 | INFO  | phase3d |     Epoch 8/20: train_loss=0.2805, 230s
2026-03-21 19:42:54 | INFO  | phase3d |     Epoch 9/20: train_loss=0.2686, 229s
2026-03-21 19:46:43 | INFO  | phase3d |     Epoch 10/20: train_loss=0.2557, 229s
2026-03-21 19:50:32 | INFO  | phase3d |     Epoch 11/20: train_loss=0.2398, 229s
2026-03-21 19:54:21 | INFO  | phase3d |     Epoch 12/20: train_loss=0.2330, 229s
2026-03-21 19:58:10 | INFO  | phase3d |     Epoch 13/20: train_loss=0.2218, 229s
2026-03-21 20:02:00 | INFO  | phase3d |     Epoch 14/20: train_loss=0.2126, 230s
2026-03-21 20:05:49 | INFO  | phase3d |     Epoch 15/20: train_loss=0.2059, 229s
