2026-03-22 00:40:13 | INFO  | phase4 | Logging to file: /scratch/vishakha.agrawal/antibiotic-selectivity/logs/phase4.log
2026-03-22 00:40:13 | INFO  | phase4 | Running unit tests...
2026-03-22 00:40:13 | INFO  | phase4 | All unit tests passed.

2026-03-22 00:40:13 | INFO  | phase4 | ============================================================
2026-03-22 00:40:13 | INFO  | phase4 |  STARTING: Phase 4: Full Evaluation Suite
2026-03-22 00:40:13 | INFO  | phase4 | ============================================================
2026-03-22 00:40:13 | INFO  | phase4 | [07_evaluate.py:main] Loading pipeline results...
2026-03-22 00:40:13 | INFO  | phase4 | [07_evaluate.py:main] Results dir: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results
2026-03-22 00:40:13 | INFO  | phase4 | [07_evaluate.py:main] Screening dir: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/screening
2026-03-22 00:40:14 | INFO  | phase4 | [07_evaluate.py:main] Found 12 RF ranked files, 12 D-MPNN ranked files
2026-03-22 00:40:14 | INFO  | phase4 | [07_evaluate.py:main] RF metrics: EXISTS
2026-03-22 00:40:14 | INFO  | phase4 | [07_evaluate.py:main] D-MPNN metrics: EXISTS
2026-03-22 00:40:14 | INFO  | phase4 |   [07_evaluate.py:load_cv_metrics(rf)] Loaded: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/rf_cv_metrics.json (7 tasks: ['ecoli', 'saureus', 'paeruginosa', 'mtb', 'gut_t5', 'gut_t10', 'gut_t20'])
2026-03-22 00:40:14 | INFO  | phase4 |   [07_evaluate.py:load_cv_metrics(dmpnn)] Loaded: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/dmpnn_cv_metrics.json (7 tasks: ['ecoli', 'saureus', 'paeruginosa', 'mtb', 'gut_t5', 'gut_t10', 'gut_t20'])
2026-03-22 00:40:14 | INFO  | phase4 |   [07_evaluate.py:load_ranked_lists(rf)] Loaded 12 ranked lists: ['ecoli_t5', 'ecoli_t10', 'ecoli_t20', 'saureus_t5', 'saureus_t10', 'saureus_t20', 'paeruginosa_t5', 'paeruginosa_t10', 'paeruginosa_t20', 'mtb_t5', 'mtb_t10', 'mtb_t20']
2026-03-22 00:40:14 | INFO  | phase4 |   [07_evaluate.py:load_ranked_lists(dmpnn)] Loaded 12 ranked lists: ['ecoli_t5', 'ecoli_t10', 'ecoli_t20', 'saureus_t5', 'saureus_t10', 'saureus_t20', 'paeruginosa_t5', 'paeruginosa_t10', 'paeruginosa_t20', 'mtb_t5', 'mtb_t10', 'mtb_t20']
2026-03-22 00:40:14 | INFO  | phase4 | [07_evaluate.py:main] RF pipeline:     AVAILABLE (12 ranked lists)
2026-03-22 00:40:14 | INFO  | phase4 | [07_evaluate.py:main] D-MPNN pipeline: AVAILABLE (12 ranked lists)
2026-03-22 00:40:14 | INFO  | phase4 | 
======================================================================
2026-03-22 00:40:14 | INFO  | phase4 |  LEVEL 1: Diagnostic Per-Model Metrics
2026-03-22 00:40:14 | INFO  | phase4 | ======================================================================
2026-03-22 00:40:14 | INFO  | phase4 | 
2026-03-22 00:40:14 | INFO  | phase4 |   Task                                  RF ROC-AUC         D-MPNN ROC-AUC              RF PR-AUC          D-MPNN PR-AUC
2026-03-22 00:40:14 | INFO  | phase4 |   -------------------------------------------------------------------------------------------------------------------
2026-03-22 00:40:14 | INFO  | phase4 |   E. coli (MIC)                  0.8765 +/- 0.0107      0.8525 +/- 0.0123      0.8049 +/- 0.0374      0.7743 +/- 0.0369
2026-03-22 00:40:14 | INFO  | phase4 |   S. aureus (MIC)                0.8708 +/- 0.0073      0.8544 +/- 0.0125      0.8470 +/- 0.0129      0.8250 +/- 0.0173
2026-03-22 00:40:14 | INFO  | phase4 |   P. aeruginosa (MIC)            0.8610 +/- 0.0135      0.8379 +/- 0.0131      0.7194 +/- 0.0313      0.6867 +/- 0.0240
2026-03-22 00:40:14 | INFO  | phase4 |   M. tuberculosis (MIC)          0.8112 +/- 0.0178      0.7599 +/- 0.0232      0.7755 +/- 0.0376      0.7219 +/- 0.0387
2026-03-22 00:40:14 | INFO  | phase4 |   Gut harm (t=10)                0.8232 +/- 0.0898      0.8410 +/- 0.0391      0.6654 +/- 0.1570      0.5970 +/- 0.1864
2026-03-22 00:40:14 | INFO  | phase4 | 
2026-03-22 00:40:14 | INFO  | phase4 |   Reference: McCoubrey et al. 2021 reported AUROC 0.857 for commensal harm (Extra Trees)
2026-03-22 00:40:14 | INFO  | phase4 | 
  Saved: /scratch/vishakha.agrawal/antibiotic-selectivity/outputs/runs/run_20260315_034033/results/cv_metrics_diagnostic.csv
2026-03-22 00:40:14 | INFO  | phase4 | 
======================================================================
2026-03-22 00:40:14 | INFO  | phase4 |  LEVEL 2: Pipeline-Level Selectivity Evaluation
2026-03-22 00:40:14 | INFO  | phase4 | ======================================================================
2026-03-22 00:40:14 | INFO  | phase4 | 
--- Test 1: Rank Separation (Mann-Whitney U) ---
2026-03-22 00:40:14 | INFO  | phase4 |     lolamicin: not in Broad Hub (expected if post-2020 compound)
2026-03-22 00:40:14 | INFO  | phase4 |   Test 1 (rf, ecoli_t5): U=18.0, p=0.1286, r_rb=-0.500 (medium), narrow_mean=0.1568, broad_mean=0.0936
2026-03-22 00:40:14 | INFO  | phase4 |   Test 1 (rf, ecoli_t10): U=18.0, p=0.1286, r_rb=-0.500 (medium), narrow_mean=0.163, broad_mean=0.0874
2026-03-22 00:40:14 | INFO  | phase4 |   Test 1 (rf, ecoli_t20): U=18.0, p=0.1286, r_rb=-0.500 (medium), narrow_mean=0.1775, broad_mean=0.0963
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (rf, saureus_t5): U=15.0, p=0.3048, r_rb=-0.250 (small), narrow_mean=0.1876, broad_mean=0.1106
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (rf, saureus_t10): U=15.0, p=0.3048, r_rb=-0.250 (small), narrow_mean=0.196, broad_mean=0.1043
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (rf, saureus_t20): U=15.0, p=0.3048, r_rb=-0.250 (small), narrow_mean=0.2212, broad_mean=0.1137
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (rf, paeruginosa_t5): U=19.0, p=0.0857, r_rb=-0.583 (large), narrow_mean=0.1499, broad_mean=0.0541
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (rf, paeruginosa_t10): U=19.0, p=0.0857, r_rb=-0.583 (large), narrow_mean=0.1563, broad_mean=0.0504
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (rf, paeruginosa_t20): U=19.0, p=0.0857, r_rb=-0.583 (large), narrow_mean=0.1709, broad_mean=0.0562
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (rf, mtb_t5): U=18.0, p=0.1286, r_rb=-0.500 (medium), narrow_mean=0.1557, broad_mean=0.0648
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (rf, mtb_t10): U=19.0, p=0.0857, r_rb=-0.583 (large), narrow_mean=0.163, broad_mean=0.0606
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (rf, mtb_t20): U=17.0, p=0.1762, r_rb=-0.417 (medium), narrow_mean=0.1845, broad_mean=0.0671
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (dmpnn, ecoli_t5): U=2.0, p=0.9905, r_rb=0.833 (large), narrow_mean=0.005, broad_mean=0.0786
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (dmpnn, ecoli_t10): U=5.0, p=0.9429, r_rb=0.583 (large), narrow_mean=0.0107, broad_mean=0.0367
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (dmpnn, ecoli_t20): U=3.0, p=0.9810, r_rb=0.750 (large), narrow_mean=0.043, broad_mean=0.4109
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (dmpnn, saureus_t5): U=5.0, p=0.9429, r_rb=0.583 (large), narrow_mean=0.063, broad_mean=0.0895
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (dmpnn, saureus_t10): U=6.0, p=0.9143, r_rb=0.500 (medium), narrow_mean=0.1381, broad_mean=0.0421
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (dmpnn, saureus_t20): U=10.0, p=0.6952, r_rb=0.167 (small), narrow_mean=0.4344, broad_mean=0.504
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (dmpnn, paeruginosa_t5): U=13.0, p=0.4571, r_rb=-0.083 (small), narrow_mean=0.0079, broad_mean=0.0108
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (dmpnn, paeruginosa_t10): U=14.0, p=0.3731, r_rb=-0.167 (small), narrow_mean=0.0084, broad_mean=0.0086
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (dmpnn, paeruginosa_t20): U=12.0, p=0.5429, r_rb=0.000 (small), narrow_mean=0.0117, broad_mean=0.0895
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (dmpnn, mtb_t5): U=13.0, p=0.4571, r_rb=-0.083 (small), narrow_mean=0.0568, broad_mean=0.0288
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (dmpnn, mtb_t10): U=15.0, p=0.3048, r_rb=-0.250 (small), narrow_mean=0.0642, broad_mean=0.0185
2026-03-22 00:40:15 | INFO  | phase4 |   Test 1 (dmpnn, mtb_t20): U=14.0, p=0.3810, r_rb=-0.167 (small), narrow_mean=0.3127, broad_mean=0.2542
2026-03-22 00:40:15 | INFO  | phase4 | 
--- Test 2: Selectivity ROC-AUC ---
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, ecoli_t5): Selectivity AUC = 0.7500
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, ecoli_t10): Selectivity AUC = 0.7500
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, ecoli_t20): Selectivity AUC = 0.7500
2026-03-22 00:40:15 | INFO  | phase4 |   Test 2 (rf, saureus_t5): Selectivity AUC = 0.6250
