smiles,name,n_models,is_known_antibiotic,best_selectivity,MW,LogP,TPSA,HBD,HBA,RotBonds,Rings,lipinski_violations,lipinski_pass
C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2C[C@H]3CC[C@@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,retapamulin,5,False,0.9995,517.78,5.251,66.84,1,6,5,5,2,False
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12,AFN-1252,5,False,0.9979,375.43,3.693,75.44,1,4,4,4,0,True
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,trimetrexate,5,True,0.9924,369.43,2.741,117.54,3,8,6,3,0,True
CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1,micronomicin,4,False,0.9998,463.58,-3.716,199.73,8,12,7,3,2,False
CC(C)=CCC/C(C)=C/CNCCNC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,SQ-109,4,True,0.9998,330.56,4.683,24.06,2,2,9,4,0,True
CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,netilmicin,4,False,0.9995,475.59,-3.201,199.73,8,12,8,3,2,False
O=c1nc(N2CCN(CC3CCCCC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12,macozinone,4,False,0.9994,456.49,4.286,79.58,0,7,4,4,0,True
NC[C@H]1OB(O)c2c(OCCO)ccc(Cl)c21,GSK656,4,False,0.9954,257.48,-0.571,84.94,3,5,4,2,0,True
O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,gepotidacin,4,True,0.9935,448.53,1.087,94.28,1,7,5,6,0,True
CC[C@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@@H]32,vinburnine,4,False,0.993,294.4,3.775,25.24,0,2,1,5,0,True
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,sisomicin,4,False,0.9886,447.53,-3.851,213.72,8,12,6,3,2,False
