smiles,name,n_models,models,n_pathogens,pathogens,thresholds,best_selectivity,mean_selectivity,std_selectivity,mean_p_pathogen,mean_p_gut,best_rank,moa,clinical_phase,disease_area,target,s_ecoli,s_saureus,s_paeruginosa,s_mtb,s_rf,s_dmpnn,s_chemeleon_frozen,s_molformer,s_dmpnn_rdkit,is_known_antibiotic
COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC,trimetrexate,5,"chemeleon_frozen, dmpnn, dmpnn_rdkit, molformer, rf",3,"ecoli, paeruginosa, saureus","5, 10, 20",0.9924,0.659,0.2112,0.8039,0.1994,12,dihydrofolate reductase inhibitor,Phase 3,nan,DHFR,0.5292,0.9924,0.9815,0.0,0.567,0.9815,0.9329,0.9924,0.7468,True
CC(C)=CCC/C(C)=C/CNCCNC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,SQ-109,4,"chemeleon_frozen, dmpnn, molformer, rf",1,mtb,"5, 10, 20",0.9998,0.9015,0.0993,0.9716,0.0732,1,bacterial cell wall synthesis inhibitor,Phase 3,nan,FDFT1,0.0,0.0,0.0,0.9998,0.8347,0.9998,0.875,0.9997,0.0,True
O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,gepotidacin,4,"chemeleon_frozen, dmpnn_rdkit, molformer, rf",3,"ecoli, mtb, saureus","5, 10, 20",0.9935,0.8225,0.1148,0.9076,0.0963,1,topoisomerase inhibitor,Phase 2,nan,nan,0.9889,0.9935,0.0,0.9205,0.8049,0.0,0.9205,0.9935,0.9052,True
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,gentamycin,3,"dmpnn, molformer, rf",4,"ecoli, mtb, paeruginosa, saureus","5, 10, 20",0.9999,0.7834,0.1647,0.8854,0.1228,1,bacterial 50S ribosomal subunit inhibitor,Launched,infectious disease|critical care,HSPA8,0.7202,0.9999,0.7453,0.9996,0.8451,0.9999,0.0,0.9852,0.0,True
C[C@H](N)C(=O)N[C@@H](C)P(=O)(O)O,alafosfalin,3,"chemeleon_frozen, molformer, rf",1,ecoli,"5, 10, 20",0.9964,0.8322,0.1627,0.8704,0.0526,2,bacterial cell wall synthesis inhibitor,Phase 1,nan,nan,0.9964,0.0,0.0,0.0,0.6399,0.0,0.8891,0.9964,0.0,True
COc1ncnc(Cn2cc(C(=O)NCCO)c3ncc(C)cc32)c1C,AZ-7371,3,"dmpnn_rdkit, molformer, rf",3,"ecoli, mtb, saureus","5, 10, 20",0.9943,0.7227,0.1699,0.828,0.1217,2,antibacterial,Preclinical,nan,nan,0.5698,0.5795,0.0,0.9943,0.7755,0.0,0.0,0.9943,0.5795,True
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](O)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3NC(=N)N)O[C@@H](C)[C@]2(O)CO)O[C@@H](CO)[C@H](O)[C@H]1O,dihydrostreptomycin,3,"chemeleon_frozen, molformer, rf",1,mtb,10,0.9926,0.7904,0.2096,0.859,0.0972,12,bacterial 30S ribosomal subunit inhibitor,Withdrawn,nan,nan,0.0,0.0,0.0,0.9926,0.5016,0.0,0.8769,0.9926,0.0,True
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](NC(=N)N)[C@@H](O)[C@@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O,streptomycin,3,"chemeleon_frozen, molformer, rf",1,mtb,"10, 20",0.9905,0.7368,0.1996,0.8534,0.1511,19,bacterial 30S ribosomal subunit inhibitor,Launched,infectious disease,nan,0.0,0.0,0.0,0.9905,0.5537,0.0,0.8733,0.9905,0.0,True
COc1cc(Cc2cnc(N)nc2N)c2c(c1OC)O[C@H](C1CC1)C=C2,iclaprim,3,"chemeleon_frozen, dmpnn_rdkit, molformer",2,"paeruginosa, saureus","5, 20",0.9542,0.8317,0.1294,0.8832,0.0615,17,dihydrofolate reductase inhibitor,Phase 3,nan,nan,0.0,0.8881,0.9542,0.0,0.0,0.0,0.8881,0.9542,0.6526,True
NC(=O)OC[C@@H]1[C@H](NC(=O)/C(=N\OCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,carumonam,2,"dmpnn, rf",1,ecoli,"10, 20",0.9997,0.7674,0.2267,0.963,0.211,15,bacterial cell wall synthesis inhibitor,Launched,infectious disease,nan,0.9997,0.0,0.0,0.0,0.5456,0.9997,0.0,0.0,0.0,True
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,aztreonam,2,"dmpnn, rf",1,ecoli,"10, 20",0.9983,0.7222,0.1957,0.9714,0.2602,7,bacterial cell wall synthesis inhibitor,Launched,infectious disease,nan,0.9983,0.0,0.0,0.0,0.6013,0.9983,0.0,0.0,0.0,True
NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,neomycin,2,"molformer, rf",3,"ecoli, mtb, saureus","5, 10, 20",0.9982,0.6026,0.183,0.6667,0.1016,12,bacterial 30S ribosomal subunit inhibitor,Launched,infectious disease|gastroenterology,CXCR4,0.4857,0.5233,0.0,0.9982,0.618,0.0,0.0,0.9982,0.0,True
NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,paromomycin,2,"molformer, rf",2,"mtb, saureus","5, 10, 20",0.9979,0.6246,0.1932,0.6997,0.1163,13,bacterial 30S ribosomal subunit inhibitor,Launched,infectious disease,nan,0.0,0.5122,0.0,0.9979,0.6241,0.0,0.0,0.9979,0.0,True
Clc1cc(Cl)c(OCC#CI)cc1Cl,haloprogin,2,"chemeleon_frozen, molformer",2,"ecoli, saureus","5, 10, 20",0.9976,0.9544,0.034,0.9702,0.0164,1,other antifungal,Launched,infectious disease,nan,0.9353,0.9976,0.0,0.0,0.0,0.0,0.9705,0.9976,0.0,True
CN[C@@H]1[C@@H](O[C@H]2O[C@H](CO)[C@@H](N)[C@H](O)[C@H]2O)O[C@H]2C[C@@H](N)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N)C[C@@H]3N)O[C@@H]2[C@@H]1O,apramycin,2,"molformer, rf",2,"ecoli, mtb","5, 20",0.9974,0.7561,0.2371,0.7876,0.0523,18,bacterial 30S ribosomal subunit inhibitor,Launched,infectious disease,nan,0.4953,0.0,0.0,0.9974,0.544,0.0,0.0,0.9974,0.0,True
NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,amikacin,2,"molformer, rf",2,"ecoli, mtb","5, 20",0.9971,0.7999,0.1928,0.893,0.1168,6,bacterial 30S ribosomal subunit inhibitor,Launched,infectious disease,nan,0.6722,0.0,0.0,0.9971,0.6722,0.0,0.0,0.9971,0.0,True
CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,irinotecan,2,"dmpnn_rdkit, molformer",3,"ecoli, mtb, saureus","5, 10, 20",0.9954,0.7672,0.1646,0.9046,0.1586,9,topoisomerase inhibitor,Launched,oncology,TOP1|TOP1MT,0.7107,0.9505,0.0,0.9954,0.0,0.0,0.0,0.9954,0.8115,True
NC[C@H]1O[C@H](O[C@H]2[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O,ribostamycin-sulfate,2,"molformer, rf",2,"mtb, paeruginosa",20,0.9938,0.6822,0.2278,0.697,0.0266,25,bacterial 30S ribosomal subunit inhibitor,Launched,infectious disease,nan,0.0,0.0,0.4553,0.9938,0.5976,0.0,0.0,0.9938,0.0,True
