smiles,name,n_models,models,n_pathogens,pathogens,thresholds,best_selectivity,mean_selectivity,std_selectivity,mean_p_pathogen,mean_p_gut,best_rank,moa,clinical_phase,disease_area,target,s_ecoli,s_saureus,s_paeruginosa,s_mtb,s_rf,s_dmpnn,s_chemeleon_frozen,s_molformer,s_dmpnn_rdkit,is_known_antibiotic
C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2C[C@H]3CC[C@@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,retapamulin,5,"chemeleon_frozen, dmpnn, dmpnn_rdkit, molformer, rf",2,"paeruginosa, saureus","5, 10, 20",0.9995,0.8101,0.1955,0.8935,0.1039,1,protein synthesis inhibitor,Launched,infectious disease,nan,0.0,0.9995,0.9712,0.0,0.7872,0.9995,0.9633,0.9936,0.7982,False
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12,AFN-1252,5,"chemeleon_frozen, dmpnn, dmpnn_rdkit, molformer, rf",2,"ecoli, saureus","5, 10, 20",0.9979,0.7929,0.1483,0.9147,0.136,2,FABI inhibitor,Phase 2,nan,nan,0.7871,0.9979,0.0,0.0,0.8156,0.9979,0.9042,0.9867,0.807,False
CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1,micronomicin,4,"chemeleon_frozen, dmpnn, molformer, rf",4,"ecoli, mtb, paeruginosa, saureus","5, 10, 20",0.9998,0.706,0.1952,0.7914,0.121,5,protein synthesis inhibitor,Launched,infectious disease,nan,0.8281,0.7264,0.8601,0.9998,0.7264,0.9998,0.8947,0.9983,0.0,False
CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,netilmicin,4,"chemeleon_frozen, dmpnn, molformer, rf",4,"ecoli, mtb, paeruginosa, saureus","5, 10, 20",0.9995,0.7381,0.2065,0.814,0.1056,2,protein synthesis inhibitor,Launched,infectious disease,nan,0.98,0.6248,0.4414,0.9995,0.7512,0.9995,0.8804,0.9963,0.0,False
O=c1nc(N2CCN(CC3CCCCC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12,macozinone,4,"chemeleon_frozen, dmpnn, dmpnn_rdkit, rf",1,mtb,"5, 10, 20",0.9994,0.767,0.1858,0.9838,0.219,12,DPRE1 inhibitor,Preclinical,nan,nan,0.0,0.0,0.0,0.9994,0.6731,0.9994,0.9546,0.0,0.8788,False
NC[C@H]1OB(O)c2c(OCCO)ccc(Cl)c21,GSK656,4,"chemeleon_frozen, dmpnn, molformer, rf",3,"ecoli, mtb, paeruginosa","5, 10, 20",0.9954,0.897,0.1212,0.9801,0.0852,4,leucyl-tRNA synthetase inhibitor,Preclinical,nan,nan,0.9733,0.0,0.995,0.9954,0.748,0.995,0.9426,0.9954,0.0,False
CC[C@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@@H]32,vinburnine,4,"dmpnn, dmpnn_rdkit, molformer, rf",1,paeruginosa,"5, 10, 20",0.993,0.7599,0.2397,0.7822,0.0391,4,adrenergic receptor antagonist,Launched,neurology/psychiatry,CHRM1|CHRM2|CHRM3|CHRM4,0.0,0.0,0.993,0.0,0.5537,0.9425,0.0,0.993,0.4261,False
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,sisomicin,4,"chemeleon_frozen, dmpnn, molformer, rf",4,"ecoli, mtb, paeruginosa, saureus","5, 10, 20",0.9886,0.7152,0.1716,0.8089,0.1232,1,protein synthesis inhibitor,Launched,ophthalmology,nan,0.942,0.9886,0.5584,0.9772,0.7877,0.9886,0.7857,0.9772,0.0,False
CCn1c(-c2nonc2N)nc2cncc(C(=O)N3CC[C@H](N)C3)c21,SB-772077B,4,"chemeleon_frozen, dmpnn, dmpnn_rdkit, molformer",2,"paeruginosa, saureus","5, 10, 20",0.9749,0.8698,0.177,0.8813,0.0145,16,rho associated kinase inhibitor,Preclinical,nan,ROCK1|ROCK2,0.0,0.9542,0.9749,0.0,0.0,0.9661,0.7342,0.9749,0.4458,False
Nc1ncn([C@H]2C[C@H](OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(=O)nc(N)[nH]c54)C[C@@H]3O)[C@@H](CO)O2)c(=O)n1,guadecitabine,3,"chemeleon_frozen, dmpnn, dmpnn_rdkit",3,"ecoli, mtb, saureus","5, 10, 20",1.0,0.8883,0.0934,0.899,0.0122,1,DNA methyltransferase inhibitor,Phase 3,nan,nan,1.0,0.9673,0.0,0.8883,0.0,1.0,0.7721,0.0,0.8883,False
N#[C][Fe-2]([C]#N)([C]#N)([C]#N)([C]#N)[N+][O-],sodium-nitroprusside,3,"chemeleon_frozen, dmpnn, dmpnn_rdkit",4,"ecoli, mtb, paeruginosa, saureus","5, 10, 20",1.0,0.9065,0.1609,0.9183,0.0159,1,nitric oxide donor,Launched,cardiology,nan,0.6381,1.0,0.9995,1.0,0.0,1.0,1.0,0.0,0.6381,False
CC(C)CCCC(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCNCS(=O)(=O)O)NC1=O)[C@@H](C)O,colistimethate,3,"chemeleon_frozen, dmpnn, dmpnn_rdkit",2,"mtb, paeruginosa","5, 10, 20",1.0,0.7574,0.2174,0.8282,0.1039,4,bacterial permeability inducer,Launched,infectious disease,nan,0.0,0.0,0.8194,1.0,0.0,1.0,0.8194,0.0,0.5625,False
O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,diquafosol,3,"dmpnn, dmpnn_rdkit, rf",2,"ecoli, mtb","5, 10, 20",1.0,0.923,0.1485,0.9375,0.0203,3,purinergic receptor activator,Phase 3,nan,nan,0.9998,0.0,0.0,1.0,0.4911,1.0,0.0,0.0,0.9305,False
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,diadenosine-tetraphosphate,3,"dmpnn, dmpnn_rdkit, rf",3,"ecoli, mtb, saureus","5, 10, 20",0.9999,0.8114,0.2306,0.829,0.0295,1,adenosine kinase inhibitor,Phase 1,nan,P2RY13|P2RY2,0.9999,0.9892,0.0,0.9999,0.4849,0.9999,0.0,0.0,0.8916,False
O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,relebactam,3,"dmpnn, molformer, rf",2,"ecoli, mtb","5, 10, 20",0.9999,0.84,0.1827,0.9152,0.0935,6,beta lactamase inhibitor,Launched,nan,nan,0.9566,0.0,0.0,0.9999,0.6178,0.9999,0.0,0.9566,0.0,False
CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,GSK690693,3,"chemeleon_frozen, dmpnn, dmpnn_rdkit",3,"ecoli, paeruginosa, saureus","5, 10, 20",0.9998,0.8032,0.1705,0.8467,0.0603,7,AKT inhibitor,Phase 1,nan,AKT1|AKT2|AKT3|PAK4|PAK6|PAK7|PRKCQ|PRKG1|PRKX,0.6295,0.9998,0.8516,0.0,0.0,0.9998,0.8516,0.0,0.6295,False
c1ccc2c(c1)[I]c1ccccc1-2,diphenyleneiodonium,3,"chemeleon_frozen, dmpnn_rdkit, molformer",3,"ecoli, mtb, paeruginosa","10, 20",0.9998,0.8482,0.1244,0.8836,0.0424,1,nitric oxide synthase inhibitor,Preclinical,nan,NOS2|NOS3,0.6305,0.0,0.9407,0.9998,0.0,0.0,0.8716,0.9998,0.6305,False
N#CSc1cc(SC#N)c(N)nc1N,PR-619,3,"chemeleon_frozen, dmpnn, dmpnn_rdkit",3,"ecoli, paeruginosa, saureus","5, 10, 20",0.9997,0.8548,0.1891,0.8846,0.0399,4,DUB inhibitor,Preclinical,nan,nan,0.9997,0.8594,0.9945,0.0,0.0,0.9997,0.9933,0.0,0.5841,False
