pipeline,pipeline_label,task,task_label,n_samples,n_positive,n_folds,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc,mean_f1_macro,std_f1_macro,mean_mcc,std_mcc,mean_sensitivity,std_sensitivity,mean_specificity,std_specificity,mean_balanced_accuracy,std_balanced_accuracy,mean_brier_score,std_brier_score
rf,RF + Morgan FP,ecoli,E. coli,28284.0,9249.0,,0.8765,0.0107,0.8049,0.0373,0.7919,0.0139,0.5864,0.0288,0.677,0.0226,0.8929,0.011,0.7849,0.0133,0.1277,0.005
rf,RF + Morgan FP,saureus,S. aureus,43853.0,19267.0,,0.8708,0.0073,0.847,0.0129,0.7857,0.0051,0.5775,0.0106,0.6965,0.0198,0.8681,0.0132,0.7823,0.0063,0.1456,0.0025
rf,RF + Morgan FP,paeruginosa,P. aeruginosa,17783.0,4657.0,,0.861,0.0135,0.7194,0.0313,0.7733,0.0172,0.5478,0.0341,0.6484,0.0585,0.8907,0.0161,0.7696,0.0232,0.1245,0.0075
rf,RF + Morgan FP,mtb,M. tuberculosis,18705.0,8129.0,,0.8112,0.0177,0.7755,0.0376,0.7234,0.022,0.4623,0.0395,0.5873,0.0527,0.8536,0.0169,0.7204,0.0226,0.1766,0.0068
rf,RF + Morgan FP,gut_t10,Gut Harm (t=10),1177.0,179.0,,0.8232,0.0898,0.6654,0.157,0.7634,0.0817,0.5674,0.1479,0.4561,0.1712,0.9869,0.0028,0.7215,0.0848,0.0838,0.0109
rf,RF + Morgan FP,gut_t20,Gut Harm (t=20),1177.0,127.0,,0.8798,0.05,0.6851,0.1447,0.8209,0.0753,0.6768,0.1256,0.5615,0.1874,0.9903,0.0111,0.7759,0.0914,0.0555,0.0137
dmpnn,D-MPNN (Chemprop),ecoli,E. coli,,,,0.8525,0.0123,0.7743,0.0369,0.7721,0.016,0.549,0.0315,0.6453,0.0489,0.8843,0.025,0.7648,0.0176,0.138,0.0051
dmpnn,D-MPNN (Chemprop),saureus,S. aureus,,,,0.8544,0.0125,0.825,0.0173,0.7735,0.0092,0.5498,0.0191,0.724,0.0367,0.8206,0.0426,0.7723,0.0083,0.155,0.0055
dmpnn,D-MPNN (Chemprop),paeruginosa,P. aeruginosa,,,,0.8379,0.0131,0.6867,0.024,0.7549,0.0124,0.5181,0.0204,0.5652,0.0542,0.9148,0.0167,0.74,0.0187,0.1294,0.0061
dmpnn,D-MPNN (Chemprop),mtb,M. tuberculosis,,,,0.7599,0.0232,0.7219,0.0387,0.6955,0.0189,0.3955,0.0348,0.6093,0.0639,0.7781,0.0373,0.6937,0.0193,0.197,0.0069
dmpnn,D-MPNN (Chemprop),gut_t10,Gut Harm (t=10),,,,0.841,0.0391,0.597,0.1864,0.7405,0.0977,0.4913,0.196,0.475,0.1845,0.9595,0.0216,0.7173,0.0923,0.0838,0.0218
dmpnn,D-MPNN (Chemprop),gut_t20,Gut Harm (t=20),,,,0.8776,0.0716,0.6426,0.1653,0.8001,0.0748,0.6172,0.1287,0.5751,0.1925,0.9757,0.0169,0.7754,0.0902,0.0514,0.0117
chemeleon_frozen,CheMeleon (Frozen Enc.),ecoli,E. coli,,,,0.833,0.0113,0.7504,0.0401,0.7569,0.0145,0.523,0.0314,0.5927,0.0254,0.8979,0.0163,0.7453,0.0142,0.1454,0.0061
chemeleon_frozen,CheMeleon (Frozen Enc.),saureus,S. aureus,,,,0.8311,0.01,0.7997,0.0208,0.7575,0.0102,0.5153,0.0207,0.7233,0.0219,0.7915,0.0143,0.7574,0.0102,0.166,0.0051
chemeleon_frozen,CheMeleon (Frozen Enc.),paeruginosa,P. aeruginosa,,,,0.8204,0.0184,0.6588,0.0391,0.742,0.02,0.494,0.0328,0.5467,0.0802,0.9088,0.0253,0.7278,0.028,0.1358,0.0079
chemeleon_frozen,CheMeleon (Frozen Enc.),mtb,M. tuberculosis,,,,0.762,0.0129,0.7149,0.0382,0.6933,0.0196,0.3937,0.0403,0.5827,0.0271,0.8003,0.019,0.6915,0.0198,0.1975,0.0058
chemeleon_frozen,CheMeleon (Frozen Enc.),gut_t10,Gut Harm (t=10),,,,0.8122,0.0709,0.6145,0.1645,0.76,0.0702,0.5315,0.1433,0.5026,0.1271,0.9649,0.0085,0.7338,0.064,0.0823,0.0143
chemeleon_frozen,CheMeleon (Frozen Enc.),gut_t20,Gut Harm (t=20),,,,0.8581,0.0759,0.6589,0.1725,0.7869,0.1004,0.5781,0.2026,0.5759,0.1834,0.9696,0.0115,0.7727,0.0922,0.0529,0.0072
molformer,MoLFormer-XL (Transformer),ecoli,E. coli,28284.0,9249.0,5.0,0.8378,0.0178,0.7555,0.0439,0.7619,0.0135,0.5314,0.0289,0.6065,0.034,0.8953,0.019,0.7509,0.0142,0.1446,0.0061
molformer,MoLFormer-XL (Transformer),saureus,S. aureus,43853.0,19267.0,5.0,0.8346,0.015,0.8024,0.0228,0.7568,0.013,0.5151,0.0256,0.7136,0.0456,0.7979,0.0337,0.7557,0.0137,0.1648,0.007
