smiles,name,moa,disagreement,rank_mean,rank_std,rf_S,rf_rank,rf_pctile,dmpnn_S,dmpnn_rank,dmpnn_pctile,chemeleon_frozen_S,chemeleon_frozen_rank,chemeleon_frozen_pctile,molformer_S,molformer_rank,molformer_pctile,dmpnn_rdkit_S,dmpnn_rdkit_rank,dmpnn_rdkit_pctile
CC(=O)N(C[C@H](C)C(=O)O)c1c(I)cc(I)c(N)c1I,iocetamic-acid,radiopaque medium,0.47134405732199053,0.45647722213978337,0.47134405732199053,0.278173042586739,433,0.9357471434930998,1e-06,6589,0.022258495325716,0.041571,4518,0.3295741207894346,2.028900112772553e-05,6587,0.022555275263392183,0.4095152439692382,187,0.9722510758272741
CC(C)(C)CCN1C[C@@H]2[C@@H](CNC(=O)c3cc(Cl)cc(Cl)c3)[C@@H]2C1,ML218,T-type calcium channel blocker,0.45603662626400315,0.568660038581392,0.45603662626400315,0.2513891523145021,719,0.8933076124054014,2.4e-05,6081,0.0976405994954741,0.310866,770,0.885739723994658,0.482909444568246,508,0.9246178958302419,0.0131533227104711,6456,0.04199436118118416
CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,amcinonide,glucocorticoid receptor agonist,0.45434160754826636,0.6156106247217689,0.45434160754826636,0.271586416451461,495,0.9265469654251373,0.790008,285,0.9577088588811397,0.003475,6399,0.05045258940495623,0.0004821658684592,5447,0.19171983973883366,0.3537647551958493,326,0.9516248701587773
Cc1ccc(/C=C2\CNC/C(=C\c3ccc(C)cc3)C2=O)cc1,NSC-632839,ubiquitin specific protease inhibitor,0.453503216580311,0.5505861403769106,0.453503216580311,0.0846488826640113,6009,0.10832467725181782,0.511787,541,0.9197210268585844,0.569463,183,0.9728446357026265,0.0559379700438897,1815,0.7306722065588367,0.0069896579676959,6595,0.021368155512687337
CN1[C@@H]2CCC[C@H]1C[C@@H](NC(=O)c1nn(C)c3ccccc13)C2,granisetron,serotonin receptor antagonist,0.45229450423144185,0.5346787357174654,0.45229450423144185,0.1802315705069836,2681,0.6021664935450364,3e-06,6487,0.03739427214720281,0.60761,141,0.979077014393827,0.6840567336286821,291,0.956818519068111,0.0261060473662289,6079,0.09793737943315028
c1ccc2c(c1)C1=N/C2=N\c2c3ccccc3c3[n]2[Zn][n]2/c(c4ccccc4/c2=N/C2=N/C(=N\3)c3ccccc32)=N\1,ciaftalan-zinc,reactive oxygen species stimulant,0.44708324787486836,0.493188900430331,0.44708324787486836,0.1204285317746583,5058,0.24944353761685711,0.846638,229,0.9660186971360736,0.696405,69,0.9897610921501706,0.0004610052944944,5471,0.18815848048671913,0.0205335416591627,6250,0.07256269476183408
Cc1cc(C)cc(C(=O)O[C@H]2C[C@H]3CC[C@@H](C2)N3C)c1,"tropanyl-3,5-dimethylbenzoate",serotonin receptor antagonist,0.44667012880102486,0.5599940644012464,0.44667012880102486,0.2023070070219174,1873,0.7220655883662264,1.6e-05,6181,0.08280160261166347,0.380526,533,0.9209081466092892,0.9322249617385132,58,0.9913933818073898,0.022772954190918,6181,0.08280160261166347
CCOc1cncc(/C=C/CCNC)c1,TC2559,acetylcholine receptor agonist,0.44473101726667474,0.4148686748775782,0.44473101726667474,0.2486936898593672,756,0.8878171835583915,0.405705,632,0.9062175396943166,0.003858,6373,0.05431072859474695,2.9710989256962736e-05,6537,0.029974773705297553,0.0443164566914811,5418,0.19602314883513872
CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,fluocinonide,glucocorticoid receptor agonist,0.43843009247959513,0.5104021368155512,0.43843009247959513,0.2709248806152743,503,0.9253598456744324,6e-06,6388,0.052084879062175404,0.004474,6329,0.06083988722362366,0.0151890755437142,2835,0.5793144383439679,0.3267884673625093,442,0.9344116337735568
CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C,triamcinolone-hexacetonide,anti-inflammatory agent,0.4350165334508814,0.5068110995696691,0.4350165334508814,0.2873298119060475,360,0.9465796112182816,1e-05,6279,0.06825938566552903,0.005085,6280,0.06811099569669088,0.0093571762536236,3223,0.5217391304347826,0.3225087140563385,476,0.9293663748330613
O=C1/C(=C/c2cccs2)CCC/C1=C\c1cccs1,tenylidone,,0.4340932440563654,0.5244398278676361,0.4340932440563654,0.1220999242943976,4975,0.2617599050304199,0.974131,75,0.9888707523371421,0.604016,145,0.9784834545184745,0.0022735788771119,4372,0.35123905623979823,0.0131258203964538,6457,0.04184597121234601
CN1CC[C@@H]2CN3CCc4cccc(c43)[C@@H]2C1,SDZ-SER-082,serotonin receptor antagonist,0.43350069842676964,0.5071375575011129,0.43350069842676964,0.2462508182892419,792,0.8824751446802196,0.014888,2338,0.6530642528565069,0.001923,6523,0.03205223326903106,0.3945991532431664,607,0.9099272889152693,0.0173452397830906,6347,0.05816886778453778
CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,ambenonium,cholinesterase inhibitor,0.4325300710529237,0.47039620121679776,0.4325300710529237,0.0875353612414946,5949,0.11722807538210422,0.0,6642,0.014393826977296298,0.378768,547,0.9188306870455557,0.0028736243844337,4196,0.37735569075530495,0.317151758007014,511,0.9241727259237276
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,gallamine-triethiodide,acetylcholine receptor antagonist,0.42973515925538597,0.3791363703813622,0.42973515925538597,0.1091772366920397,5412,0.19691348864816738,0.0,6718,0.0031161893456002066,0.283467,887,0.8683780976405995,1.030755769470735e-05,6657,0.012167977444724754,0.2300637690646138,1246,0.8151060988277192
N[C@@H](C(=O)O)c1nn[nH]n1,tetrazol-5-yl-glycine-(RS),glutamate receptor agonist,0.4292944187719914,0.45012613147351244,0.4292944187719914,0.239958976172799,906,0.8655586882326755,1e-06,6611,0.018993916011277645,3.9e-05,6710,0.004303309096305052,0.0071236583808948,3442,0.4892417272592373,0.2676458171980075,859,0.8725330167680665
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,diatrizoic-acid,,0.4268699107704575,0.607834990354652,0.4268699107704575,0.2350644755764805,1004,0.851016471286541,0.0,6636,0.01528416679032496,0.364281,583,0.9134886481673838,0.001385776030703,4752,0.29485086808131766,0.3782102554223267,239,0.9645347974476925
CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,3-alpha-bis-(4-fluorophenyl)-methoxytropane,dopamine uptake inhibitor,0.4241733735233246,0.5264579314438345,0.4241733735233246,0.1945180227706099,2146,0.6815551268734233,1.5e-05,6187,0.08191126279863481,0.475827,309,0.9541474996290251,0.1957178835955988,1023,0.848197061878617,0.0195407305785824,6291,0.0664787060394717
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2CC[Si](C)(C)C,karenitecin,topoisomerase inhibitor,0.4234622898992478,0.5287728149577088,0.4234622898992478,0.212229773094198,1580,0.7655438492357917,0.0,6737,0.0002967799376761837,0.014763,5737,0.1486867487757828,0.5742078859659823,394,0.941534352277786,0.2135521376367809,1430,0.7878023445615077
CCCC[C@@H](CC)CC[C@@H](CC(C)C)OS(=O)(=O)O,sodium-tetradecyl-sulfate,,0.4231195484938055,0.5137260721175249,0.4231195484938055,0.2523518408590264,709,0.8947915120937825,0.055584,1582,0.7652470692981155,0.005698,6234,0.07493693426324377,3.1570752257676646e-05,6524,0.03190384330019291,0.2221448817690463,1336,0.8017510016322896
CC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I,acetriazoic-acid,,0.42230947496577803,0.5778008606618192,0.42230947496577803,0.2393106453531523,920,0.863481228668942,1e-06,6540,0.02952960379878322,0.251402,1063,0.8422614631250928,0.000620783689178,5287,0.2154622347529307,0.331875037773294,416,0.9382697729633477
[NH2][Pt]([NH2])([Cl])[Cl],cisplatin,DNA alkylating agent|DNA synthesis inhibitor,0.421601172970115,0.4276895681851907,0.421601172970115,0.150027593013834,3896,0.42187268140673695,0.427259,614,0.9088885591334026,0.000147,6683,0.008309838254933921,9.501033909769938e-06,6664,0.011129247662857944,0.2137569181473148,1427,0.788247514468022
[O]=[V]([OH])([OH])[OH],sodium-orthovanadate,,0.42089086809601145,0.6346342187268141,0.42089086809601145,0.1212377537682397,5019,0.2552307464015433,0.966164,90,0.9866449028045704,0.893251,15,0.9977741504674285,0.0001823007564653,5988,0.11144086659741803,0.2340237318507139,1199,0.8220804273631103
O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,risedronate,osteoclast inhibitor,0.4197148637899705,0.5019439085917792,0.4197148637899705,0.0904516036321014,5888,0.12627986348122866,0.00166,3800,0.4361181184151951,0.006053,6215,0.0777563436711678,0.2974990110174235,761,0.8870752337142009,0.4466400861212394,118,0.9824899836771034
O=C1NNc2nc(CN3Cc4ccccc4C3)nc3cccc1c23,E7449,PARP inhibitor,0.41916580258887204,0.48728297967057427,0.41916580258887204,0.1307521402826724,4682,0.3052381658999852,9e-06,6315,0.06291734678735716,0.439335,385,0.942869861997329,0.5205603764870987,468,0.9305534945837661,0.0442023561828185,5426,0.19483602908443387
CNC(=O)c1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,iothalamic-acid-d3,radiopaque medium,0.4184729907101708,0.6552604243953108,0.4184729907101708,0.2652703265856226,557,0.9173467873571747,2.2e-05,6100,0.09482119008755008,0.517329,244,0.963792847603502,0.0017274572806802,4605,0.31666419350051933,0.450379065445151,110,0.9836771034278082
O=S(=O)(O)CCSSCCS(=O)(=O)O,dimesna,tubulin polymerization inhibitor,0.4178081227876315,0.582994509571153,0.4178081227876315,0.1238418943220656,4926,0.2690310135034871,0.972308,83,0.9876836325864372,0.000912,6605,0.019884255824306307,0.2715787677850975,813,0.8793589553346194,0.1994703619182676,1624,0.759014690606915
O=S(=O)(O)CCCS(=O)(=O)O,eprodisate,amyloid protein inhibitor|antiamyloidogenic agent,0.41622786346656343,0.4380768660038582,0.41622786346656343,0.0910037827114666,5875,0.12820893307612402,0.54503,506,0.9249146757679181,6.4e-05,6701,0.005638818815848046,0.0014552422723542,4711,0.30093485680368004,0.2392363723972985,1141,0.8306870455557205
C[N+](C)(C)CCO,choline,acetylcholine precursor,0.4138885871168408,0.427748924172726,0.4138885871168408,0.2017564958903176,1893,0.7190977889894643,3e-06,6473,0.03947173171093632,1e-06,6734,0.0007419498441905148,0.5929473400767288,373,0.9446505416233862,0.0910085984651556,3809,0.4347826086956522
CCCCN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccc(F)cc1)c1ccc(F)cc1)C2,JHW-007,dopamine reuptake inhibitor,0.41387213415930885,0.5807389820448139,0.41387213415930885,0.2066980149132937,1740,0.7418014542216946,5e-05,5817,0.13681555126873424,0.434691,394,0.941534352277786,0.6164723420232591,355,0.9473215610624722,0.0332366694945157,5821,0.13622199139338176
CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1,topiramate,carbonic anhydrase inhibitor|glutamate receptor antagonist|kainate receptor antagonist,0.41368994276380466,0.4046594450215165,0.41368994276380466,0.2210933071001684,1335,0.8018993916011278,0.0,6701,0.005638818815848046,0.000793,6613,0.01869713607360146,0.0019098085411739,4510,0.33076124054013945,0.2628757444139628,901,0.866300638076866
FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,perfluamine,,0.41334187634124214,0.4272147202849087,0.41334187634124214,0.1694817758871767,3077,0.5434040658851462,0.0,6681,0.008606618192610216,2.3e-05,6716,0.0034129692832765013,0.0226920212010648,2493,0.6300638076866003,0.351596422617466,333,0.9505861403769105
CCC(=O)N1CC[C@H](Nc2ncnc3c2CN(c2cnc(OC)c(C(F)(F)F)c2)CC3)C1,leniolisib,PI3K inhibitor,0.409109685481174,0.6121679774447248,0.409109685481174,0.2853224400545492,374,0.9445021516545482,1.4e-05,6214,0.07790473364000594,0.031548,4956,0.2645793144383439,0.2127086308026766,964,0.8569520700400652,0.3077677326058785,560,0.9169016174506603
