smiles,name,moa,clinical_phase,rf_p_path,rf_p_gut,rf_S,rf_rank,dmpnn_p_path,dmpnn_p_gut,dmpnn_S,dmpnn_rank,chemeleon_frozen_p_path,chemeleon_frozen_p_gut,chemeleon_frozen_S,chemeleon_frozen_rank,molformer_p_path,molformer_p_gut,molformer_S,molformer_rank,dmpnn_rdkit_p_path,dmpnn_rdkit_p_gut,dmpnn_rdkit_S,dmpnn_rdkit_rank,MW,LogP,TPSA,n_rings,n_aromatic_rings,n_rotatable,n_HBA,n_HBD,formal_charge,n_heavy_atoms,fraction_sp3,n_heteroatoms,has_phosphate,has_sulfate
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,sisomicin,protein synthesis inhibitor,Launched,0.8376349410400302,0.1852135593026142,0.6824935922137708,1,0.957508,0.049274,0.910328,164,0.798205,0.015652,0.785712,40,0.957528,0.016605329,0.941627932533288,46,0.52268598,0.288912148,0.3716756507887149,262,447.53300000000024,-3.851499999999994,213.72,3,0,6,12,8,0,31,0.8947368421052632,12,0,0
O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,gepotidacin,topoisomerase inhibitor,Phase 2,0.8635994662325978,0.218581718203548,0.6748324110638095,2,0.987958,0.327631,0.664272,385,0.675638,0.044142,0.645813,111,0.99198496,0.010791986,0.9812794721994696,8,0.798248404,0.15731662846,0.6726706564091439,9,448.5270000000003,1.0870999999999995,94.28,6,3,5,7,1,0,33,0.5,9,0,0
CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,netilmicin,protein synthesis inhibitor,Launched,0.8478987045242651,0.2076958997604552,0.6717936201823734,3,0.947231,0.053576,0.896482,178,0.874271,0.014078,0.861963,22,0.9806184,0.021651343,0.9593866946694888,25,0.568628522,0.2595951194,0.4210153329371645,160,475.58700000000016,-3.200699999999992,199.72999999999996,3,0,8,12,8,0,33,0.9047619047619048,12,0,0
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,gentamycin,bacterial 50S ribosomal subunit inhibitor,Launched,0.7978954125433579,0.1690317219665006,0.6630257770119826,4,0.710623,0.112037,0.631007,415,0.704855,0.018829,0.691583,76,0.829428,0.009362668,0.821662341006096,161,0.446902632,0.2778756848,0.3227192570940776,473,477.60300000000035,-3.327499999999995,199.73,3,0,7,12,8,0,33,1.0,12,0,0
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12,AFN-1252,FABI inhibitor,Phase 2,0.9174482142465524,0.2895998159007536,0.6517553803022758,5,0.924134,0.004622,0.919863,154,0.809194,0.146569,0.690591,77,0.939481,0.031388763,0.9099918535479968,77,0.690941146,0.211458716,0.5448356184352715,40,375.42800000000005,3.6927200000000022,75.44,4,3,4,4,1,0,28,0.22727272727272727,6,0,0
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,avibactam,beta lactamase inhibitor,Launched,0.7765080789428301,0.2023510556915105,0.6193808494157618,6,0.976143,0.0047,0.971555,85,0.603814,0.0297,0.585881,167,0.9684363,0.0010020431,0.9674658850877956,16,0.3715665519999999,0.0309232623999999,0.3600765020134407,304,265.247,-1.5252999999999983,130.23999999999998,2,0,3,5,2,0,17,0.7142857142857143,10,0,1
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,aztreonam,bacterial cell wall synthesis inhibitor,Launched,0.957872175215905,0.3722630776380596,0.6012917312861694,7,0.998377,0.02201,0.976403,70,0.779863,0.109575,0.69441,71,0.9600284,0.19178374,0.7759105629417841,208,0.7371505599999999,0.679104452,0.2365483329097068,1165,435.44000000000017,-1.1724999999999979,201.57999999999998,2,1,7,10,4,0,28,0.46153846153846156,15,0,1
C[C@H](N)C(=O)N[C@@H](C)P(=O)(O)O,alafosfalin,bacterial cell wall synthesis inhibitor,Phase 1,0.7252563050752174,0.1725772367461856,0.6000935760125878,8,0.941304,0.001791,0.939619,130,0.889348,0.000272,0.889106,16,0.99648225,0.00027652175,0.996206700984386,2,0.4743138919999999,0.0251865344,0.4623675688427441,97,196.14299999999997,-1.0265,112.65,0,0,3,3,4,0,12,0.8,7,1,0
O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,relebactam,beta lactamase inhibitor,Launched,0.8020913041880177,0.2618931396074014,0.5920290942824226,9,0.898667,0.005121,0.894065,180,0.68811,0.024785,0.671055,94,0.95787,0.0014329527,0.956497417597251,30,0.302124812,0.0444749585999999,0.2886878234942672,676,348.3810000000001,-1.142399999999997,128.28,3,0,4,6,3,0,23,0.8333333333333334,11,0,1
CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1,micronomicin,protein synthesis inhibitor,Launched,0.7119786711893836,0.1731122450490335,0.5887264449927618,10,0.985137,0.082406,0.903956,170,0.836913,0.010545,0.828088,27,0.7145436,0.0043203044,0.7114565541409281,269,0.43857086,0.262079532,0.3236304142623625,468,463.57600000000025,-3.715999999999994,199.73000000000002,3,0,7,12,8,0,32,1.0,12,0,0
