smiles,name,moa,clinical_phase,stokes_dmpnn_score,stokes_dmpnn_rank,stokes_rf_score,stokes_rf_rank,stokes_inhibition,stokes_validated_active,our_rf_S,our_rf_rank,our_dmpnn_S,our_dmpnn_rank,our_chemeleon_frozen_S,our_chemeleon_frozen_rank,our_molformer_S,our_molformer_rank
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12,AFN-1252,FABI inhibitor,Phase 2,0.000309625584603407,4485.0,,,0.05915,True,0.6517553803022758,5,0.919863,154,0.690591,77,0.9099918535479968,77
NC(=O)OC[C@@H]1[C@H](NC(=O)/C(=N\OCC(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,carumonam,bacterial cell wall synthesis inhibitor,Launched,0.725697626173496,35.0,,,0.0414,True,0.5455876893260991,15,0.988294,38,0.687936,80,0.85709162971887,133
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](N)C[C@H]2NC(=O)[C@@H](O)CN)OC[C@]1(C)O,isepamicin,protein synthesis inhibitor,Launched,0.406063859164714,66.0,,,0.04105,True,0.4602807580594633,43,0.973749,78,0.411514,449,0.911874691182596,74
CC(C)CCCC(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@H](C(=O)N[C@@H](CCNCS(=O)(=O)O)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CCNCS(=O)(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCNCS(=O)(=O)O)NC1=O)[C@@H](C)O,colistimethate,bacterial permeability inducer,Launched,0.611831740289926,46.0,,,0.04145,True,0.38415151874721,100,0.490391,555,0.636517,115,0.7668243698542588,219
C[C@H]1Sc2c(C(=O)O)c(=O)c3cc(F)c(N4CCNCC4)cc3n21,ulifloxacin,,Launched,0.957036885619163,2.0,,,0.0504,True,0.3796245907113654,106,0.010465,2555,0.084925,3226,0.00203149317357,4456
CCn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,oxolinic-acid,bacterial DNA gyrase inhibitor,Preclinical,0.735232969745993,34.0,,,0.0508,True,0.3345232748557414,165,0.389968,650,0.148196,2100,0.2877813190979907,775
Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,fdcyd,DNA methyltransferase inhibitor,Phase 2,0.52378120496869,56.0,,,0.04455,True,0.3216755805635138,199,0.97726,66,0.479814,303,0.7877933399689258,199
CC[C@@H](C)CCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O,colistin,bacterial permeability inducer,Launched,0.583387591689825,49.0,,,0.0431,True,0.3070881960499044,239,0.188688,954,0.805403,33,0.7905073740093824,194
Cc1oc(=O)oc1COC(=O)C1=C([C@H]2CCCO2)S[C@@H]2[C@@H]([C@@H](C)O)C(=O)N12,faropenem-medoxomil,lactamase inhibitor,Launched,0.565003933757543,50.0,,,0.0463,True,0.3033835424438089,258,0.004128,3153,0.14402,2162,0.091254100459974,1491
CC[C@H]1OC(=O)[C@@](C)(F)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cc(-c4cccc(N)c4)nn3)C(=O)O[C@]12C,solithromycin,protein synthesis inhibitor,Phase 3,0.473244224861264,59.0,,,0.04525,True,0.3002501522053262,275,0.171711,1003,0.302815,801,0.9442350525674158,42
