smiles,name,moa,clinical_phase,our_rf_p_pathogen,our_rf_p_gut,our_rf_S,our_rf_rank,our_dmpnn_p_pathogen,our_dmpnn_p_gut,our_dmpnn_S,our_dmpnn_rank,our_chemeleon_frozen_p_pathogen,our_chemeleon_frozen_p_gut,our_chemeleon_frozen_S,our_chemeleon_frozen_rank,our_molformer_p_pathogen,our_molformer_p_gut,our_molformer_S,our_molformer_rank,stokes_dmpnn_score,stokes_dmpnn_rank,stokes_inhibition,stokes_validated_active,stokes_rf_score,stokes_rf_rank,name_lower
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,sisomicin,protein synthesis inhibitor,Launched,0.8376349410400302,0.1852135593026142,0.6824935922137708,1,0.957508,0.049274,0.910328,164,0.798205,0.015652,0.785712,40,0.957528,0.016605329,0.941627932533288,46,,,,,,,sisomicin
O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,gepotidacin,topoisomerase inhibitor,Phase 2,0.8635994662325978,0.218581718203548,0.6748324110638095,2,0.987958,0.327631,0.664272,385,0.675638,0.044142,0.645813,111,0.99198496,0.010791986,0.9812794721994696,8,,,,,,,gepotidacin
CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,netilmicin,protein synthesis inhibitor,Launched,0.8478987045242651,0.2076958997604552,0.6717936201823734,3,0.947231,0.053576,0.896482,178,0.874271,0.014078,0.861963,22,0.9806184,0.021651343,0.9593866946694888,25,,,,,,,netilmicin
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,gentamycin,bacterial 50S ribosomal subunit inhibitor,Launched,0.7978954125433579,0.1690317219665006,0.6630257770119826,4,0.710623,0.112037,0.631007,415,0.704855,0.018829,0.691583,76,0.829428,0.009362668,0.821662341006096,161,0.355341608822345,82.0,,False,,,gentamycin
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12,AFN-1252,FABI inhibitor,Phase 2,0.9174482142465524,0.2895998159007536,0.6517553803022758,5,0.924134,0.004622,0.919863,154,0.809194,0.146569,0.690591,77,0.939481,0.031388763,0.9099918535479968,77,0.000309625584603407,4485.0,0.05915,True,,,afn-1252
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,avibactam,beta lactamase inhibitor,Launched,0.7765080789428301,0.2023510556915105,0.6193808494157618,6,0.976143,0.0047,0.971555,85,0.603814,0.0297,0.585881,167,0.9684363,0.0010020431,0.9674658850877956,16,0.031013935725457,1159.0,,False,,,avibactam
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,aztreonam,bacterial cell wall synthesis inhibitor,Launched,0.957872175215905,0.3722630776380596,0.6012917312861694,7,0.998377,0.02201,0.976403,70,0.779863,0.109575,0.69441,71,0.9600284,0.19178374,0.7759105629417841,208,,,,,,,aztreonam
C[C@H](N)C(=O)N[C@@H](C)P(=O)(O)O,alafosfalin,bacterial cell wall synthesis inhibitor,Phase 1,0.7252563050752174,0.1725772367461856,0.6000935760125878,8,0.941304,0.001791,0.939619,130,0.889348,0.000272,0.889106,16,0.99648225,0.00027652175,0.996206700984386,2,0.00699292724395995,2933.0,,False,,,alafosfalin
O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,relebactam,beta lactamase inhibitor,Launched,0.8020913041880177,0.2618931396074014,0.5920290942824226,9,0.898667,0.005121,0.894065,180,0.68811,0.024785,0.671055,94,0.95787,0.0014329527,0.956497417597251,30,0.0467276099664104,765.0,,False,,,relebactam
CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1,micronomicin,protein synthesis inhibitor,Launched,0.7119786711893836,0.1731122450490335,0.5887264449927618,10,0.985137,0.082406,0.903956,170,0.836913,0.010545,0.828088,27,0.7145436,0.0043203044,0.7114565541409281,269,0.282506209239363,108.0,,False,,,micronomicin
