rank,bit_index,importance,cumulative
1,456,0.016119,0.0161
2,1019,0.010353,0.0265
3,464,0.009522,0.036
4,314,0.009368,0.0454
5,525,0.009317,0.0547
6,1840,0.008308,0.063
7,453,0.008073,0.0711
8,739,0.007897,0.079
9,1332,0.007503,0.0865
10,1047,0.007,0.0935
11,1750,0.006942,0.1004
12,1325,0.006885,0.1073
13,926,0.006805,0.1141
14,470,0.006385,0.1205
15,1917,0.006036,0.1265
16,1088,0.005943,0.1325
17,389,0.00588,0.1383
18,407,0.00566,0.144
19,1171,0.005478,0.1495
20,1729,0.005466,0.1549
21,1199,0.005308,0.1602
22,1991,0.004984,0.1652
23,807,0.004688,0.1699
24,699,0.004216,0.1741
25,326,0.004023,0.1782
26,935,0.003965,0.1821
27,146,0.00394,0.1861
28,338,0.003929,0.19
29,1922,0.003707,0.1937
30,5,0.003706,0.1974
