smiles,name,clinical_phase,moa,disease_area,target,indication,inchikey,pubchem_cid,prob
[Y+3],C11-Acetate,Phase 3,,,ABAT|ACE|AKR1C3|CA2|CELA1|ESR2|FFAR2|FFAR3|HPRT1|LTA4H|MMP12|NOS1|NOS3|PLA2G1B|PTPN1|SOD1|TXN,,GRTBAGCGDOYUBE-UHFFFAOYSA-N,168049.0,1.0
C1N2CN3CN1CN(C2)C3,methenamine,Launched,bacterial DNA inhibitor,infectious disease,,urinary tract infections,VKYKSIONXSXAKP-UHFFFAOYSA-N,4101.0,0.9999993
N#[C][Fe-2]([C]#N)([C]#N)([C]#N)([C]#N)[N+][O-],sodium-nitroprusside,Launched,nitric oxide donor,cardiology,,hypertension|congestive heart failure,WTISQLWAPBSCSF-UHFFFAOYSA-N,,0.9999932
S=P(N1CC1)(N1CC1)N1CC1,thiotepa,Launched,cytochrome P450 inhibitor,oncology,CYP2B6|CYP3A4,breast cancer|ovarian cancer|bladder cancer,FOCVUCIESVLUNU-UHFFFAOYSA-N,5453.0,0.9999882
O=[As]O[As]=O,arsenic-trioxide,Launched,apoptosis stimulant,gastroenterology,AKT1|CCND1|IKBKB|JUN|MAPK1|MAPK3|TXNRD1,diarrhea,IKWTVSLWAPBBKU-UHFFFAOYSA-N,261004.0,0.99993396
[NH2][Pt]([NH2])([Cl])[Cl],cisplatin,Launched,DNA alkylating agent|DNA synthesis inhibitor,oncology,XIAP,testicular carcinoma|ovarian cancer|bladder cancer,DQLATGHUWYMOKM-UHFFFAOYSA-L,86820626.0,0.99992895
OCC(Br)(Br)Br,tribromoethanol,Preclinical,analgesic agent,,,,YFDSDPIBEUFTMI-UHFFFAOYSA-N,6400.0,0.999871
BrC1C(Br)C(Br)C(Br)C(Br)C1Br,"1,2,3,4,5,6-hexabromocyclohexane",Preclinical,JAK inhibitor,,JAK2,,QFQZKISCBJKVHI-UHFFFAOYSA-N,74603.0,0.9994318
N[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn([C@@H]4C[C@@H]4F)c3c2Cl)CC12CC2,sitafloxacin,Launched,bacterial DNA gyrase inhibitor,infectious disease,,buruli ulcer,PNUZDKCDAWUEGK-CYZMBNFOSA-N,461399.0,0.99656975
ClC=C(Cl)Cl,trichloroethylene,Preclinical,,,,,XSTXAVWGXDQKEL-UHFFFAOYSA-N,6575.0,0.9953531
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(cc(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,rifamycin,Launched,DNA directed RNA polymerase inhibitor,infectious disease,SLCO1A2|SLCO1B1|SLCO1B3|SLCO2B1,tuberculosis|leprosy,HJYYPODYNSCCOU-WURVRSKISA-N,5282048.0,0.99527305
N[C@H]1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn(C4CC4)c3c2Cl)C1,clinafloxacin,Phase 3,bacterial DNA gyrase inhibitor,,,,QGPKADBNRMWEQR-QMMMGPOBSA-N,969489.0,0.99418384
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N=C/N5CCCCC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,FCE-22250,Phase 1,DNA directed DNA polymerase inhibitor,,,,JEGGQYICWGMXOZ-KLZPLVFYSA-N,,0.9925277
O=C(O)C1(c2ccc(-c3ccc(Cl)c(Cl)c3)c(F)c2)CC1,CHF5074,Phase 2,gamma secretase modulator,,PSEN1,,LIYLTQQDABRNRX-UHFFFAOYSA-N,9996409.0,0.98940665
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,rifaximin,Launched,RNA synthesis inhibitor,gastroenterology,,diarrhea|irritable bowel syndrome|hepatic encephalopathy (HE),NZCRJKRKKOLAOJ-LGPAXTBISA-N,46783403.0,0.9893322
