smiles,name,clinical_phase,moa,disease_area,target,p_pathogen,p_gut,selectivity_score,rank
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,gentamycin,Launched,bacterial 50S ribosomal subunit inhibitor,infectious disease|critical care,HSPA8,0.8257596447735268,0.16903172196650068,0.6861800700870117,1
Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,etofylline,Launched,adenosine receptor antagonist,pulmonary,ADORA1,0.6292803529092587,0.04769644408940083,0.5992659177401638,2
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,acefylline,Launched,adenosine receptor agonist,pulmonary,ADORA1,0.5908235413348485,0.04943539891478583,0.5616159438807138,3
CC(C)(C)[C@H]1CCc2c(sc(NC(=O)c3ccco3)c2C(=O)O)C1,CaCCinh-A01,Preclinical,calcium-activated chloride channel inhibitor,,CLCA1,0.672011034678133,0.21812920893053092,0.5254257992912043,4
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,sisomicin,Launched,protein synthesis inhibitor,ophthalmology,,0.6212046975676734,0.1852135593026142,0.5061491644756606,5
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,doxofylline,Launched,adenosine receptor antagonist,pulmonary,ADORA1|PDE4A|PDE4B|PDE4C|PDE4D,0.5269403125980351,0.048842452148766376,0.5012032555947096,6
CC[C@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@@H]32,vinburnine,Launched,adrenergic receptor antagonist,neurology/psychiatry,CHRM1|CHRM2|CHRM3|CHRM4,0.5761091621031126,0.1375642438159785,0.4968571408629409,7
Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O,dyphylline,Launched,adenosine receptor antagonist|phosphodiesterase inhibitor,pulmonary,PDE4A,0.5605929931837876,0.11518568895878183,0.4960207030384474,8
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(=N)N)C(=O)O,dalargin,Phase 2,opioid receptor agonist,,OPRM1,0.6430354329207537,0.24526175683107976,0.4853234329379757,9
Cc1nc(Cn2cnc3c2c(=O)n(C)c(=O)n3C)no1,CH-170,Phase 1,,,,0.5218955316489766,0.07156330271667048,0.48454696373110323,10
CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C,isbufylline,Phase 2,phosphodiesterase inhibitor,,,0.5389267851804629,0.1038481697332261,0.48296022491926033,11
C[C@@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,Proxyphylline,Launched,,pulmonary,,0.542114183143909,0.11289820373647703,0.48091046564689416,12
CCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,perfluorohexyloctane,Launched,,,,0.5663196558830103,0.15234128162397553,0.48004579369694367,13
NC[C@H]1OB(O)c2c(OCCCO)cccc21,epetraborole,Preclinical,leucyl-tRNA synthetase inhibitor,,,0.5743209099319755,0.16718579390973537,0.4783026126460365,14
