pathogen,pipeline_1,pipeline_2,top100_overlap,jaccard
ecoli,chemeleon_frozen,dmpnn,17,0.093
ecoli,chemeleon_frozen,dmpnn_rdkit,8,0.042
ecoli,chemeleon_frozen,molformer,19,0.105
ecoli,chemeleon_frozen,rf,20,0.111
ecoli,dmpnn,dmpnn_rdkit,5,0.026
ecoli,dmpnn,molformer,15,0.081
ecoli,dmpnn,rf,24,0.136
ecoli,dmpnn_rdkit,molformer,6,0.031
ecoli,dmpnn_rdkit,rf,5,0.026
ecoli,molformer,rf,23,0.13
saureus,chemeleon_frozen,dmpnn,8,0.042
saureus,chemeleon_frozen,dmpnn_rdkit,9,0.047
saureus,chemeleon_frozen,molformer,7,0.036
saureus,chemeleon_frozen,rf,12,0.064
saureus,dmpnn,dmpnn_rdkit,18,0.099
saureus,dmpnn,molformer,15,0.081
saureus,dmpnn,rf,21,0.117
saureus,dmpnn_rdkit,molformer,8,0.042
saureus,dmpnn_rdkit,rf,7,0.036
saureus,molformer,rf,16,0.087
paeruginosa,chemeleon_frozen,dmpnn,11,0.058
paeruginosa,chemeleon_frozen,dmpnn_rdkit,13,0.07
paeruginosa,chemeleon_frozen,molformer,8,0.042
paeruginosa,chemeleon_frozen,rf,9,0.047
paeruginosa,dmpnn,dmpnn_rdkit,5,0.026
paeruginosa,dmpnn,molformer,13,0.07
paeruginosa,dmpnn,rf,19,0.105
paeruginosa,dmpnn_rdkit,molformer,7,0.036
paeruginosa,dmpnn_rdkit,rf,2,0.01
paeruginosa,molformer,rf,13,0.07
mtb,chemeleon_frozen,dmpnn,15,0.081
mtb,chemeleon_frozen,dmpnn_rdkit,7,0.036
mtb,chemeleon_frozen,molformer,5,0.026
mtb,chemeleon_frozen,rf,14,0.075
mtb,dmpnn,dmpnn_rdkit,15,0.081
mtb,dmpnn,molformer,15,0.081
mtb,dmpnn,rf,15,0.081
mtb,dmpnn_rdkit,molformer,8,0.042
mtb,dmpnn_rdkit,rf,3,0.015
mtb,molformer,rf,13,0.07
