smiles,name,clinical_phase,moa,disease_area,target,p_pathogen,p_pathogen_std,p_pathogen_lower,p_pathogen_upper,p_gut,p_gut_std,p_gut_adjusted,selectivity_score,selectivity_std,selectivity_lower,selectivity_upper,selectivity_adjusted,rank,rank_adjusted
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,sisomicin,Launched,protein synthesis inhibitor,ophthalmology,,0.8376349410400302,0.18749522420554224,0.24862653216962122,1.0,0.1852135593026142,0.31924224385091604,0.7489654545530665,0.6824935922137708,0.3079699958431588,0.014025890090879975,1.0,0.21027530667445293,1,1521
O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,gepotidacin,Phase 2,topoisomerase inhibitor,,,0.8635994662325978,0.2370496333873737,0.0,1.0,0.21858171820354805,0.35125145243066136,0.7859305897442851,0.6748324110638095,0.355425764463615,0.0,1.0,0.18487022843356238,2,2397
CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,netilmicin,Launched,protein synthesis inhibitor,infectious disease,,0.8478987045242651,0.14949303414911924,0.4917026853401024,1.0,0.20769589976045527,0.3393224350411825,0.77480566716281,0.6717936201823734,0.31113761893813136,0.0,1.0,0.1909419830788596,3,2162
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,gentamycin,Launched,bacterial 50S ribosomal subunit inhibitor,infectious disease|critical care,HSPA8,0.7978954125433579,0.17889702834512608,0.339722653531081,1.0,0.16903172196650068,0.310085758764336,0.7275075736197792,0.6630257770119826,0.28864131294146755,0.02795878389979931,1.0,0.21742045696158682,4,1320
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12,AFN-1252,Phase 2,FABI inhibitor,,,0.9174482142465524,0.13382968951659235,0.5229687121728824,1.0,0.2895998159007536,0.38644339316860143,0.8425321329078449,0.6517553803022758,0.36706769779481874,0.0,1.0,0.14446861346491116,5,4029
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,avibactam,Launched,beta lactamase inhibitor,infectious disease,,0.7765080789428301,0.28342644999894295,0.0,1.0,0.20235105569151052,0.3354037356746535,0.7690321611671656,0.6193808494157618,0.34487787028899447,0.0,1.0,0.17934839282966147,6,2600
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,aztreonam,Launched,bacterial cell wall synthesis inhibitor,infectious disease,,0.957872175215905,0.08241370869058191,0.7329117213895867,1.0,0.37226307763805966,0.41499256447664074,0.8861493948210186,0.6012917312861694,0.40086217740789887,0.0,1.0,0.10905432683243807,7,5296
C[C@H](N)C(=O)N[C@@H](C)P(=O)(O)O,alafosfalin,Phase 1,bacterial cell wall synthesis inhibitor,,,0.7252563050752174,0.20698035509361587,0.14385750794320545,1.0,0.1725772367461856,0.3360233941111563,0.732442026838128,0.6000935760125878,0.29786115809116454,0.0010062924403843403,1.0,0.1940481070087935,8,2049
O=C(NC1CCNCC1)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,relebactam,Launched,beta lactamase inhibitor,,,0.8020913041880177,0.2699617834409856,0.0,1.0,0.2618931396074014,0.36591800852217427,0.8232271738055679,0.5920290942824226,0.3547489965193244,0.0,1.0,0.14178794670729383,9,4126
CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1,micronomicin,Launched,protein synthesis inhibitor,infectious disease,,0.7119786711893836,0.2665664705444506,0.0,1.0,0.1731122450490335,0.31234403255571924,0.7331747343710739,0.5887264449927618,0.31311196336203956,0.0,1.0,0.18997389806223708,10,2197
