smiles,name,clinical_phase,moa,disease_area,target,p_pathogen,p_pathogen_std,p_pathogen_lower,p_pathogen_upper,p_gut,p_gut_std,p_gut_adjusted,selectivity_score,selectivity_std,selectivity_lower,selectivity_upper,selectivity_adjusted,rank,rank_adjusted
CC(C)=CCC/C(C)=C/CNCCNC1[C@H]2C[C@@H]3C[C@@H](C[C@H]1C3)C2,SQ-109,Phase 3,bacterial cell wall synthesis inhibitor,,FDFT1,0.958625446672199,0.09218254631068426,0.666105227947395,1.0,0.22045243274815216,0.34454762897879443,0.3443272081290504,0.7472941348590286,0.3380190008685635,0.0,1.0,0.6285446229780968,1,3
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,acefylline,Launched,adenosine receptor agonist,pulmonary,ADORA1,0.7635932851223339,0.35734511998504287,0.0,1.0,0.04635260303184309,0.1669611959980221,0.08278809459259065,0.7281987486992775,0.36384841662923506,0.0,1.0,0.7003768520033591,2,1
Cn1c(=O)c2c(ncn2CC(=O)Nc2ccc(-c3ccccc3)nn2)n(C)c1=O,ETC-159,Phase 1,beta catenin inhibitor|porcupine inhibitor,,PORCN,0.7717648770238565,0.3450763192264338,0.0,1.0,0.07874928032704391,0.2174266553392478,0.13699207421016318,0.7109889483765384,0.3594706611931175,0.0,1.0,0.666039205717807,3,2
CC[C@@H](C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,TCS-5861528,Preclinical,transient receptor potential channel antagonist,,TRPA1,0.7549756579196566,0.36874585594026216,0.0,1.0,0.14255854024334869,0.2749893633420784,0.23590951423768788,0.6473474302073686,0.37824667175522997,0.0,1.0,0.5768697171985516,4,4
COc1ncnc(Cn2cc(C(=O)NCCO)c3ncc(C)cc32)c1C,AZ-7371,Preclinical,antibacterial,,,0.9358147081664463,0.14328368911594042,0.5453618319029662,1.0,0.3131159809172775,0.38932969797428374,0.4584387429111126,0.6427961678620937,0.3773994211010017,0.0,1.0,0.506800989756891,5,10
CC(C)c1ccc(NC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)cc1,HC-030031,Phase 1,TRPA1 channel blocker,,TRPA1,0.7468371797664224,0.3718287600556756,0.0,1.0,0.15028375782288392,0.2900977278327456,0.24723478411235492,0.6345996819092797,0.3830971845654942,0.0,1.0,0.562193050859791,6,5
NC[C@H]1OB(O)c2c(OCCCO)cccc21,epetraborole,Preclinical,leucyl-tRNA synthetase inhibitor,,,0.7713226493675223,0.3474623908298216,0.0,1.0,0.19105612963148172,0.3165960814358708,0.3048728458756036,0.6239567292822631,0.37234007516003453,0.0,1.0,0.5361673181665354,7,8
COc1nc2ccc(Br)cc2cc1[C@@H](c1ccccc1)[C@@](O)(CCN(C)C)c1cccc2ccccc12,bedaquiline,Launched,ATPase inhibitor,infectious disease,,0.8400909903063952,0.18939530380722414,0.3941268539912052,1.0,0.2610006566976945,0.3479053193923745,0.3960832773484678,0.6208266901506095,0.3240565343436538,0.0,1.0,0.5073449975949182,8,9
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,valnemulin,Launched,bacterial 50S ribosomal subunit inhibitor,infectious disease|gastroenterology,,0.8672095493921057,0.25313953321432703,0.0,1.0,0.2844145729370451,0.3777397299463764,0.4246518285664494,0.6205625157548227,0.3743275327636005,0.0,1.0,0.49894742849246143,9,11
NC[C@H]1OB(O)c2c(OCCO)ccc(Cl)c21,GSK656,Preclinical,leucyl-tRNA synthetase inhibitor,,,0.9778037142413261,0.08211392005702998,0.8140429978264208,1.0,0.3693598994770051,0.3910014003001372,0.5209872744544493,0.6166422326409077,0.38581369055157766,0.0,1.0,0.4683804222073005,10,17
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,doxofylline,Launched,adenosine receptor antagonist,pulmonary,ADORA1|PDE4A|PDE4B|PDE4C|PDE4D,0.5975838474923665,0.40258407072157304,0.0,1.0,0.05787345735557149,0.18459522557691316,0.10239258848008624,0.5629996041781387,0.3950009629673584,0.0,1.0,0.5363956905137339,11,7
CC(C)NNC(=O)c1ccncc1,iproniazid,Withdrawn,monoamine oxidase inhibitor,,MAOA|MAOB,0.5801772816384811,0.28168179140920957,0.0,1.0,0.03155137276504536,0.12703025414509994,0.05704833914879661,0.5618718919556948,0.2825746878017957,0.0,1.0,0.5470791313091422,12,6
Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,leflunomide,Launched,dihydroorotate dehydrogenase inhibitor|PDGFR tyrosine kinase receptor inhibitor,rheumatology,AHR|DHODH|PTK2B,0.660307941252709,0.33876004168845564,0.0,1.0,0.15118875939726176,0.2824907189934865,0.24855284109459388,0.5604768027945519,0.34274616113926815,0.0,1.0,0.496186526457026,13,12
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,fluconazole,Launched,sterol demethylase inhibitor,infectious disease,CYP51A1,0.6702503857917453,0.31760244737983506,0.0,1.0,0.16503021772210155,0.2923648626534108,0.2684885394517252,0.559638818696211,0.3297337067435346,0.0,1.0,0.49029583864356435,14,13
COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,tetrandrine,Preclinical,calcium channel blocker,,SLC6A3,0.806591067901755,0.30790920413136236,0.0,1.0,0.30987765842983295,0.381382320776589,0.4546923642890847,0.5566465164699408,0.3738768993425935,0.0,1.0,0.43984026822304834,15,32
O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(Cl)ccc1O,IKK-2-inhibitor-V,Phase 1,IKK inhibitor|NFkB pathway inhibitor,,IKBKB,0.9271979814058625,0.09465470526617288,0.6843801364101103,1.0,0.40149984433516356,0.3825857745116004,0.5547156672191701,0.5549281362035308,0.359227851026326,0.0,1.0,0.41286673450604183,16,61
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,vindesine,Launched,tubulin polymerization inhibitor,oncology,TUBB|TUBB1,0.6872331766477954,0.3503267576895745,0.0,1.0,0.23394194667839316,0.35651002572223767,0.36187792391616025,0.5264605094808341,0.3633875352884199,0.0,1.0,0.43853866143618336,17,34
O=c1nc(N2CCN(CC3CCCCC3)CC2)sc2c([N+](=O)[O-])cc(C(F)(F)F)cc12,macozinone,Preclinical,DPRE1 inhibitor,,,0.9921813105879516,0.02740609975610723,0.9138683392940917,1.0,0.46960043858669237,0.4079989390294046,0.6218043579384898,0.5262525319783303,0.4050698260690903,0.0,1.0,0.37523864779924104,18,198
Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,etofylline,Launched,adenosine receptor antagonist,pulmonary,ADORA1,0.5751102490997947,0.4279119274763046,0.0,1.0,0.08555781615296584,0.23208536653412656,0.14802706866914125,0.525905072139628,0.41343891907152214,0.0,1.0,0.48997836476397244,19,14
O=P(O)(O)OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,fosfluconazole,Preclinical,other antifungal,,,0.6458140382022507,0.3509833616470659,0.0,1.0,0.19270561885840473,0.3224270773768167,0.30713189612793973,0.5213620443030406,0.3516309647154642,0.0,1.0,0.44746394810315177,20,24
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,gentamycin,Launched,bacterial 50S ribosomal subunit inhibitor,infectious disease|critical care,HSPA8,0.7397576885651534,0.317733794501659,0.0,1.0,0.2960901043064933,0.3682874188627725,0.43855606463658314,0.5207227573963668,0.35248747877179754,0.0,1.0,0.4153324678833647,21,53
O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,bromperidol,Launched,dopamine receptor antagonist,neurology/psychiatry,DRD2,0.5581526638991128,0.2211408072763547,0.1478835383184748,1.0,0.0713568151959895,0.19351263730032753,0.12487325764008131,0.5183246674101145,0.23203269836015641,0.039957709039278665,1.0,0.48845432249754117,22,15
O=C1c2ccccc2-n2c1nc1ccccc1c2=O,tryptanthrin,Preclinical,cyclooxygenase inhibitor,,IDO1,0.6665397200353679,0.2726082050119099,0.0,1.0,0.22468761605335838,0.32070862979088416,0.34987409625872035,0.5167764993357481,0.300611160588317,0.0,1.0,0.4333347378674531,23,39
COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C,cepharanthine,Phase 2,NFkB pathway inhibitor,,,0.7663219595123335,0.3368254432080624,0.0,1.0,0.32887732925638646,0.38773438434922014,0.47644124873443516,0.5142960401173965,0.373343013019988,0.0,1.0,0.40121456818965806,24,87
CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1,micronomicin,Launched,protein synthesis inhibitor,infectious disease,,0.7077903134725086,0.34981882903999667,0.0,1.0,0.2764649219335079,0.3584330470414006,0.41505596775544545,0.5121111197130385,0.3583631132784407,0.0,1.0,0.4140177199462464,25,55
Cn1c(=O)c2c(ncn2CCOC(=O)C(C)(C)Oc2ccc(Cl)cc2)n(C)c1=O,etofylline-clofibrate,Launched,platelet aggregation inhibitor,endocrinology,PPARA,0.5974099263036644,0.4036509474415745,0.0,1.0,0.1465137105727048,0.2779498785244195,0.24172448973211963,0.5098811812679485,0.38243970319371134,0.0,1.0,0.453001316707008,26,19
Cc1cc(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)c(OC(C)C)cc1C1CCNCC1,ceritinib,Launched,ALK tyrosine kinase receptor inhibitor,oncology,ALK|FLT3|IGF1R|INSR|TSSK1B,0.7363710223494041,0.22995902292842887,0.19163045683055016,1.0,0.3099146459777755,0.3741661532321606,0.45473524752515754,0.5081588576496959,0.3179575970615,0.0,1.0,0.40151716323099446,27,84
C[C@@H](O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,Proxyphylline,Launched,,pulmonary,,0.6056773775073487,0.4175532934740731,0.0,1.0,0.16461580672514098,0.31270560169168465,0.26789768695269467,0.5059733073938087,0.3969199720685468,0.0,1.0,0.44341780903355593,28,26
NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,pipamperone,Launched,dopamine receptor antagonist,neurology/psychiatry,DRD2|HRH1|HTR1A|HTR1B|HTR1D|HTR2A,0.5334447875691253,0.3056509304013621,0.0,1.0,0.05540849921865329,0.16319823363257333,0.09822916300896958,0.5038874124739067,0.30155508951553284,0.0,1.0,0.4810449525747125,29,16
Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O,dyphylline,Launched,adenosine receptor antagonist|phosphodiesterase inhibitor,pulmonary,PDE4A,0.5846550729571611,0.41985184325871316,0.0,1.0,0.13954920179499608,0.2843082788346373,0.2314615343202435,0.5030669242005941,0.3976681687644392,0.0,1.0,0.4493299127223827,30,23
Cc1ncc(CO)c(/C=N/NC(=O)c2ccncc2)c1O,pyridoxal-isonicotinoyl-hydrazone,Phase 2,apoptosis stimulant,,,0.7296339489910486,0.32196494165171413,0.0,1.0,0.3154648041003282,0.3668310448148979,0.46114582777826596,0.49946011820763864,0.34671651647338103,0.0,1.0,0.3931662976084464,31,111
CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C,isbufylline,Phase 2,phosphodiesterase inhibitor,,,0.5804264135843092,0.4152566350768282,0.0,1.0,0.14001632247157142,0.29170571525072087,0.23215330933237607,0.49915724168887093,0.3952182781793379,0.0,1.0,0.44567850084678945,32,25
CCc1nc2ccc(Cl)cn2c1C(=O)NCc1ccc(N2CCC(c3ccc(OC(F)(F)F)cc3)CC2)cc1,Q-203,Phase 2,ATP synthase inhibitor,,,0.9449715816946412,0.14843536927740428,0.4861025792781999,1.0,0.4724806419279279,0.40598990193300216,0.6245189094467436,0.4984908021719078,0.3915581437874136,0.0,1.0,0.3548189600365395,33,362
O=C(Nc1cccnc1)c1cc(-c2ccnc(F)c2)ccc1OCc1ccccc1,GSK2578215A,Preclinical,leucine rich repeat kinase inhibitor,,LRRK2,0.593824846944111,0.3618988668267938,0.0,1.0,0.16984370691283063,0.30670929769729904,0.27532460053633334,0.4929674336821788,0.3513284511339747,0.0,1.0,0.43033025817067433,34,41
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(-c3ccc(OC(F)(F)F)cc3)nc1)C2,TBA-354,Phase 1,,,,0.9868622212744124,0.04213377537234976,0.8516104422564736,1.0,0.5073757195183242,0.4066154456097017,0.6566649893217692,0.48615229168985574,0.4018098749906865,0.0,1.0,0.3388243512791929,35,569
C[C@H]1COC2(CCN(c3nc(=O)c4cc(C(F)(F)F)cc([N+](=O)[O-])c4s3)CC2)O1,BTZ043-racemate,Phase 1/Phase 2,DPRE1 inhibitor,,,0.9849995626330591,0.05134604535811156,0.8253136970889284,1.0,0.5072495048803085,0.4038127247809348,0.6565511325339176,0.48535902218011945,0.3985592229450979,0.0,1.0,0.33829698424091065,36,581
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,melperone,Launched,dopamine receptor antagonist|serotonin receptor antagonist,neurology/psychiatry,DRD2|HTR2A,0.5423307197694033,0.3152736930451759,0.0,1.0,0.1096204093574003,0.24477366370208797,0.18608353958392138,0.4828802042611878,0.3105189856166504,0.0,1.0,0.441411899809617,37,29
CC(C)(C)c1ccc(S(=O)(=O)NCc2ccc(C(=O)Nc3cccnc3)cc2)cc1,STF-31,Preclinical,NAMPT inhibitor,,NAMPT|SLC2A1,0.5615530644409316,0.3883500256871491,0.0,1.0,0.14354999834910992,0.2775586605628843,0.23737047376673484,0.48094212296749816,0.3673117255292874,0.0,1.0,0.4282569474894259,38,42
CCOC(=O)Nc1cc2c(c(N)n1)NC(c1ccccc1)C(C)=N2,mivobulin,Phase 2,microtubule inhibitor,,,0.5642604650338907,0.40451819148826307,0.0,1.0,0.15211694058270625,0.29331152181682246,0.2499027783647062,0.4784268894011601,0.38082766902223886,0.0,1.0,0.42325020710056027,39,45
CC[C@]1(O)C[C@@H]2C[N@@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,vinblastine,Launched,microtubule inhibitor|tubulin polymerization inhibitor,hematologic malignancy|infectious disease|oncology,JUN|TUBA1A|TUBB|TUBD1|TUBE1|TUBG1,0.6171528664757644,0.391029148542704,0.0,1.0,0.22532750222881898,0.3463259366140577,0.3507092308477597,0.47809135257942453,0.37073351168500823,0.0,1.0,0.4007116593585589,40,90
NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,paromomycin,Launched,bacterial 30S ribosomal subunit inhibitor,infectious disease,,0.6539716169259286,0.3065261359362399,0.0,1.0,0.27033269175020297,0.33991407977905896,0.40758135138119117,0.4771817093941098,0.3153401797135109,0.0,1.0,0.3874249815343159,41,132
CC(C)(C)NC[C@@H](O)COc1ccc(NC(=O)NC2CCCCC2)cc1,talinolol,Launched,adrenergic receptor antagonist,cardiology,ADRB1,0.5375877760080896,0.3417629501465668,0.0,1.0,0.11252729348514917,0.24522407984089148,0.1905840421763587,0.4770944785631987,0.3307160529995842,0.0,1.0,0.43513212463186896,42,38
O=C(Nc1cc(C(F)(F)F)ccc1N1CCCCC1)c1ccncc1,SRPIN340,Preclinical,serine arginine protein kinase inhibitor,,SRPK1|SRPK2,0.5817313433317728,0.3698472117043156,0.0,1.0,0.18090300986332003,0.3171861702568252,0.2908459182819098,0.4764943923912227,0.3547106771769698,0.0,1.0,0.41253715658707435,43,63
CCOc1cc(N)c(Cl)cc1C(=O)NC[C@H]1CN(Cc2ccc(F)cc2)CCO1,mosapride,Launched,serotonin receptor agonist,gastroenterology,HTR4,0.656229039906905,0.3696210316869905,0.0,1.0,0.27433347353747073,0.3707808712147638,0.41246514324926264,0.4762034479530842,0.36214096685946334,0.0,1.0,0.3855574349573773,44,140
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,metoclopramide,Launched,dopamine receptor antagonist|serotonin receptor antagonist,gastroenterology,CHRM1|DRD2|HTR3A|HTR3B|HTR4,0.5456627115387365,0.39139333465171444,0.0,1.0,0.12878797455829377,0.2671068399147111,0.2153867539666755,0.47538791612767606,0.3708301239403885,0.0,1.0,0.4281341913397536,45,43
CCN1CCN=C1CNC(=O)c1cc(Cl)c(N)cc1OC,lintopride,Preclinical,serotonin receptor antagonist,,,0.5702294107100543,0.38735451586290703,0.0,1.0,0.17062185035939043,0.31336258907036924,0.2764250906147759,0.47293581352536007,0.36761359744989763,0.0,1.0,0.4126036941833173,46,62
Cn1c(=O)c2c(ncn2C)n(C)c1=O,caffeine,Launched,adenosine receptor antagonist|phosphodiesterase inhibitor,neurology/psychiatry,ADORA1|ADORA2A|ADORA2B|ADORA3|ATM|ITPR1|ITPR2|ITPR3|PDE10A|PDE11A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|PIK3CA|PIK3CB|PIK3CD|PRKDC|RYR1|RYR2|RYR3,0.5011522921784103,0.4147471969922782,0.0,1.0,0.05721952265782985,0.1780381317704198,0.10128969742246433,0.4724765972410844,0.40106624077424596,0.0,1.0,0.45039072814108466,47,20
Cc1nc(Cn2cnc3c2c(=O)n(C)c(=O)n3C)no1,CH-170,Phase 1,,,,0.513669409638705,0.4094262118706068,0.0,1.0,0.08111130443427791,0.21667551842259541,0.14083398569153616,0.47200501377492415,0.39233521057187565,0.0,1.0,0.4413272993514678,48,30
NC[C@@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)O[C@@H]2CO)[C@H](N)[C@@H](O)[C@@H]1O,neomycin,Launched,bacterial 30S ribosomal subunit inhibitor,infectious disease|gastroenterology,CXCR4,0.647645819495577,0.3082089179406833,0.0,1.0,0.27303611165949626,0.34199660664636694,0.410884414845598,0.47081512320797664,0.3150562374440463,0.0,1.0,0.381538245924939,49,162
O=[N+]([O-])c1cn2c(n1)OC[C@@H](OCc1ccc(OC(F)(F)F)cc1)C2,pretomanid,Launched,nitric oxide donor,,FASN,0.9443464171880421,0.09299032751617053,0.6797163819009796,1.0,0.5020240053128838,0.4022304613428078,0.651822152642997,0.47026184642842966,0.38265712850280076,0.0,1.0,0.3288005026958308,50,760
CCN1CCC[C@H]1CNC(=O)c1cc(S(=O)(=O)CC)ccc1OC,sultopride,Preclinical,dopamine receptor antagonist,,,0.5162543681223876,0.3957550980647673,0.0,1.0,0.0890957959227343,0.23140811748028758,0.1537140423949302,0.47025827429593514,0.37977444171912206,0.0,1.0,0.43689882229425503,51,35
O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,tribomsalan,Preclinical,,,,0.6605169071128046,0.3450017621093563,0.0,1.0,0.28826238288285927,0.36999842727880755,0.4292587847513565,0.47011472953405137,0.3464415392188373,0.0,1.0,0.3769842222578375,52,188
O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cnc(Cl)nc1C(F)(F)F,SP-100030,Preclinical,NFkB pathway inhibitor,,JUN|NFKB1,0.7274693053523019,0.2992969454513856,0.0,1.0,0.3545920836221279,0.38867629012730276,0.505011783532283,0.46951444859628716,0.34243498286101476,0.0,1.0,0.3600887339913449,53,307
CC1(C)OB(O)c2cc(NC(=O)c3ccc(F)cc3C(F)(F)F)ccc21,acoziborole,Preclinical,antitrypanosomal,,,0.6101040463731671,0.3862732834041848,0.0,1.0,0.23212791534293623,0.3526376197806739,0.35953745091561046,0.4684818659462737,0.36642083886779625,0.0,1.0,0.3907487927468592,54,119
O=C(NC[C@H](O)CO)c1ccncc1Nc1ccc(I)cc1F,AS-703026,Phase 2,MEK inhibitor,,MAP2K1|MAP2K2,0.5762092871935405,0.3840015604244871,0.0,1.0,0.1898273687617915,0.3224100935682897,0.3031864319793757,0.4668289943494832,0.36235413286384033,0.0,1.0,0.40151044933595154,55,85
CC(C)S(=O)(=O)NC[C@H](C)c1ccc(NC(=O)c2cc(F)cc(F)c2)cc1,LY450108,Phase 1,glutamate receptor modulator,,,0.5495819135577904,0.3746336655339444,0.0,1.0,0.15091703269970785,0.28485919671499454,0.24815728470330264,0.46664064193822136,0.354532729915855,0.0,1.0,0.41319915816724395,56,59
COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,tubocurarine,Launched,acetylcholine receptor antagonist,neurology/psychiatry,ACHE|CHRNA2|HTR3A|HTR3B|KCNN1|KCNN2|KCNN3|ZACN,0.7165250003254967,0.3698032239478465,0.0,1.0,0.3505876534897128,0.3937378738501226,0.5006262914710142,0.46532018179466517,0.3704965886978908,0.0,1.0,0.357813746666276,57,331
COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,reserpine,Launched,vesicular monoamine transporter inhibitor,cardiology,SLC18A1|SLC18A2,0.6203019561310548,0.3517206371697858,0.0,1.0,0.2512101133733945,0.3516368020679948,0.3838576029811341,0.46447583140563414,0.34196171768548445,0.0,1.0,0.3821943341260795,58,157
N=C(Nc1ccc(I)cc1)NC1C2CC3CC(C2)CC1C3,IPAG,Preclinical,,,,0.624159926613771,0.31084304607586444,0.0,1.0,0.2573872088631843,0.35767712933885537,0.3915906525648716,0.4635091452184025,0.3211305316905961,0.0,1.0,0.379744733646242,59,173
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,sisomicin,Launched,protein synthesis inhibitor,ophthalmology,,0.6180272864868004,0.38913487380912093,0.0,1.0,0.251734486231384,0.34165199763315485,0.3845166763934222,0.4624485050460694,0.35967765310196953,0.0,1.0,0.38038548836645053,60,167
C=CCN1CCC[C@@H]1CNC(=O)c1cc2nn[nH]c2cc1OC,alizapride,Launched,dopamine receptor antagonist,gastroenterology,,0.5347028843107855,0.3868045168346365,0.0,1.0,0.13669159475065865,0.289933156242014,0.22721881256877155,0.4616134943365673,0.3681630309931775,0.0,1.0,0.4132083298605916,61,58
