smiles,name,clinical_phase,moa,disease_area,target,p_pathogen,p_pathogen_std,p_pathogen_lower,p_pathogen_upper,p_gut,p_gut_std,p_gut_adjusted,selectivity_score,selectivity_std,selectivity_lower,selectivity_upper,selectivity_adjusted,rank,rank_adjusted
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,gentamycin,Launched,bacterial 50S ribosomal subunit inhibitor,infectious disease|critical care,HSPA8,0.8257596447735267,0.2129312037999729,0.2740960067137376,1.0,0.2960901043064933,0.3682874188627725,0.8044194338917189,0.5812603854204403,0.3390463234983077,0.00514423868798446,1.0,0.16150253879417947,1,2063
Cn1c(=O)c2c(ncn2CCO)n(C)c1=O,etofylline,Launched,adenosine receptor antagonist,pulmonary,ADORA1,0.6292803529092587,0.3948487292352246,0.0,1.0,0.08555781615296584,0.23208536653412656,0.4777679386776237,0.5754405001663748,0.38948498588851976,0.0,1.0,0.3286303758494746,2,48
Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,acefylline,Launched,adenosine receptor agonist,pulmonary,ADORA1,0.5908235413348485,0.42347511079485384,0.0,1.0,0.04635260303184309,0.1669611959980221,0.32215593216416033,0.5634373322614865,0.41571901449986637,0.0,1.0,0.4004862326315901,3,7
CC(C)(C)[C@H]1CCc2c(sc(NC(=O)c3ccco3)c2C(=O)O)C1,CaCCinh-A01,Preclinical,calcium-activated chloride channel inhibitor,,CLCA1,0.672011034678133,0.39443586118303914,0.0,1.0,0.23251389340337844,0.34841655396317106,0.7476210618302163,0.5157591325950874,0.38270521011201425,0.0,1.0,0.16960143137044492,4,1782
CC[C@]12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)[C@@H]32,vinburnine,Launched,adrenergic receptor antagonist,neurology/psychiatry,CHRM1|CHRM2|CHRM3|CHRM4,0.5761091621031126,0.3532177905382973,0.0,1.0,0.12666170673463104,0.2710635872158122,0.5864555285898028,0.5031381923656741,0.3457538115194302,0.0,1.0,0.23824675891650332,5,315
Cn1c(=O)c2c(ncn2CC2OCCO2)n(C)c1=O,doxofylline,Launched,adenosine receptor antagonist,pulmonary,ADORA1|PDE4A|PDE4B|PDE4C|PDE4D,0.526940312598035,0.42219475478956464,0.0,1.0,0.05787345735557149,0.18459522557691316,0.375253122963633,0.4964444548879611,0.40948175026276723,0.0,1.0,0.32920431468018935,6,47
Cn1c(=O)c2c(ncn2C[C@@H](O)CO)n(C)c1=O,dyphylline,Launched,adenosine receptor antagonist|phosphodiesterase inhibitor,pulmonary,PDE4A,0.5605929931837875,0.41511628910501114,0.0,1.0,0.13954920179499608,0.2843082788346373,0.6132740906492298,0.4823626884531223,0.3911330090824987,0.0,1.0,0.21679583506467037,7,558
Cc1nc(Cn2cnc3c2c(=O)n(C)c(=O)n3C)no1,CH-170,Phase 1,,,,0.5218955316489766,0.42418718652825527,0.0,1.0,0.08111130443427791,0.21667551842259541,0.4632643907898666,0.47956390429850715,0.40585294817534184,0.0,1.0,0.28011991612365994,8,120
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(=N)N)C(=O)O,dalargin,Phase 2,opioid receptor agonist,,OPRM1,0.6430354329207537,0.3445000186734133,0.0,1.0,0.27297336846615183,0.34986348962100294,0.7859268754592161,0.46750388475328536,0.3366662088443734,0.0,1.0,0.1376566043157814,9,3104
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,sisomicin,Launched,protein synthesis inhibitor,ophthalmology,,0.6212046975676734,0.26219803398870384,0.0,1.0,0.251734486231384,0.34165199763315485,0.7668755301041801,0.46482605218095285,0.2890260057318678,0.0,1.0,0.14481801581725698,10,2770
NC[C@H]1OB(O)c2c(OCCCO)cccc21,epetraborole,Preclinical,leucyl-tRNA synthetase inhibitor,,,0.5743209099319755,0.36757289197083315,0.0,1.0,0.19105612963148172,0.3165960814358708,0.6978272463521151,0.4645933797139415,0.3485338976552538,0.0,1.0,0.17354413083170392,11,1643
CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C,isbufylline,Phase 2,phosphodiesterase inhibitor,,,0.5389267851804629,0.4169453349390238,0.0,1.0,0.14001632247157142,0.29170571525072087,0.614195036200515,0.4634682386380679,0.3915150952551243,0.0,1.0,0.20792062884712134,12,721
