smiles,name,clinical_phase,moa,disease_area,target,p_pathogen,p_pathogen_std,p_pathogen_lower,p_pathogen_upper,p_gut,p_gut_std,p_gut_adjusted,selectivity_score,selectivity_std,selectivity_lower,selectivity_upper,selectivity_adjusted,rank,rank_adjusted
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3O[C@H]([C@@H](C)NC)CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,gentamycin,Launched,bacterial 50S ribosomal subunit inhibitor,infectious disease|critical care,HSPA8,0.9363700070508076,0.1466771141905699,0.4826311588426678,1.0,0.16903172196650068,0.310085758764336,0.6093117668628805,0.7780937723612252,0.3148995791431398,0.03971998962429312,1.0,0.3658287436172722,1,44
C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2C[C@H]3CC[C@@H](C2)N3C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,retapamulin,Launched,protein synthesis inhibitor,infectious disease,,0.9795967549953702,0.07494771245423061,0.7728742696147967,1.0,0.23505087703005043,0.3676778201488471,0.7020163484250271,0.749341678597917,0.36471031738837134,0.0,1.0,0.2919038181245145,2,477
CN[C@@H]1[C@@H](O)[C@@H](O[C@@H]2[C@@H](O)[C@H](O[C@H]3OC(CN)=CC[C@H]3N)[C@@H](N)C[C@H]2N)OC[C@]1(C)O,sisomicin,Launched,protein synthesis inhibitor,ophthalmology,,0.8763467172915202,0.22204264921349146,0.16425346258484144,1.0,0.1852135593026142,0.31924224385091604,0.6354127499085881,0.714035422598796,0.3331675223476907,0.009266110873837564,1.0,0.31950483978395133,3,221
C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)[C@H](N)C(C)C)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,valnemulin,Launched,bacterial 50S ribosomal subunit inhibitor,infectious disease|gastroenterology,,0.9436163782708571,0.14231097676180385,0.3895120405576679,1.0,0.25463060071173554,0.3686375113193072,0.7236939275044403,0.7033427730303164,0.363666101629729,0.0,1.0,0.26072693542250497,4,1043
O=c1ccc2ncc(=O)n3c2n1C[C@H]3CN1CCC(NCc2cc3c(cn2)OCCC3)CC1,gepotidacin,Phase 2,topoisomerase inhibitor,,,0.8982983049413895,0.2135881780905525,0.24185964152910855,1.0,0.21858171820354805,0.35125145243066136,0.6819992391833583,0.7019467179879658,0.3569516316981211,0.008375483813834492,1.0,0.2856595444116615,5,563
Cc1c(CN(C)C(=O)/C=C/c2cnc3c(c2)CCC(=O)N3)oc2ccccc12,AFN-1252,Phase 2,FABI inhibitor,,,0.9742628367912786,0.10679785530400282,0.6426575613152508,1.0,0.2895998159007536,0.38644339316860143,0.7576056360979331,0.6921164986175784,0.38406569441800176,0.0,1.0,0.23615582059744522,6,1707
CNC[C@@H]1CC[C@@H](N)[C@@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3OC[C@](C)(O)[C@H](NC)[C@H]3O)[C@H](N)C[C@@H]2N)O1,micronomicin,Launched,protein synthesis inhibitor,infectious disease,,0.8229866018598829,0.27528651600407933,0.0,1.0,0.1731122450490335,0.31234403255571924,0.6161400794909775,0.6805175435666435,0.34335571046872415,0.0,1.0,0.3159115715699252,7,242
CCCCCCCCN=c1ccn(CCCCCCCCCCn2ccc(=NCCCCCCCC)cc2)cc1,octenidine,Launched,membrane integrity inhibitor,infectious disease,,0.9150289886896308,0.04775755857746154,0.7995072751064665,0.9821016010738853,0.33556674071681164,0.37891992120469636,0.7947521178505521,0.607975693293651,0.34817171145763126,0.02019478762930424,0.9821016010738853,0.18780776203389782,8,3353
O=C(O)c1ccc2cc(-c3ccc(O)c(C45CC6CC(CC(C6)C4)C5)c3)ccc2c1,CD-437,Preclinical,retinoid receptor agonist,,RARG,0.7259708841190817,0.3009648913657648,0.0,1.0,0.21453525236976412,0.3315833116546166,0.6768042472311842,0.5702245372814937,0.33738661183736063,0.0,1.0,0.2346307063811094,9,1753
CCCCCCC[n+]1ccc(-c2cc[n+](CCCCCCC)cc2)cc1,DHBP,Preclinical,ryanodine receptor blocker,,,0.7048050556628485,0.1166054568233833,0.45966739270657075,0.919901388952403,0.1952080122950484,0.32385934243993714,0.6503111725300252,0.5672214616914029,0.24679569059774958,0.03783009806642582,0.919901388952403,0.24646245350965176,10,1413
CN[C@H]1C[C@@H](N)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]3O[C@@]4(O[C@H]23)O[C@H]([C@@H](N)CO)[C@H](O)[C@H](O)[C@H]4O)[C@@H]1O,hygromycin-B,Preclinical,polypeptide synthesis inhibitor,,,0.762737601178818,0.2955448953575967,0.0,1.0,0.262968779916264,0.3576298989450844,0.7323014025023926,0.5621614248005662,0.3490784984464771,0.0,1.0,0.20418378609425897,11,2790
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,mupirocin,Launched,isoleucyl-tRNA synthetase inhibitor,infectious disease,,0.8476820177619645,0.22139810203853794,0.22162781579574384,1.0,0.3386037035643172,0.4007709920267542,0.7969601821682079,0.56065374710289,0.36994093948240886,0.0,1.0,0.17211320246567527,12,3907
CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,netilmicin,Launched,protein synthesis inhibitor,infectious disease,,0.7052623704317775,0.32285281848723074,0.0,1.0,0.20769589976045527,0.3393224350411825,0.6677564242863867,0.5587822678377581,0.3502889350538954,0.0,1.0,0.23431889176851267,13,1764
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,benzyldimethylhexadecylammonium,Preclinical,cationic surfactant,,,0.8124767752249078,0.18676997574785212,0.3575088599877724,1.0,0.3128966877178528,0.3816439643891432,0.7773541778978391,0.5582554834093518,0.33558354469979007,0.015342624295807057,1.0,0.1808945595588622,14,3600
CCCCCCCC[N+](C)(C)Cc1ccccc1,benzyldimethyloctylammonium,Preclinical,,,,0.8124767752249078,0.18676997574785212,0.3575088599877724,1.0,0.3128966877178528,0.3816439643891432,0.7773541778978391,0.5582554834093518,0.33558354469979007,0.015342624295807057,1.0,0.1808945595588622,15,3600
CCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,benzalkonium,Launched,cationic surfactant,dermatology,,0.8124767752249078,0.18676997574785212,0.3575088599877724,1.0,0.3128966877178528,0.3816439643891432,0.7773541778978391,0.5582554834093518,0.33558354469979007,0.015342624295807057,1.0,0.1808945595588622,16,3600
NCC(=O)Nc1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(ccc4ccccc43)c2)cc1,AR-12,Phase 1,phosphoinositide dependent kinase inhibitor,,PDPK1,0.8803369504941604,0.22189911125526784,0.22162781579574384,1.0,0.36628018003878604,0.39364502601114765,0.8158856280038198,0.5578869737723634,0.37398484180663405,0.0,1.0,0.16208268478526472,17,4263
CCCCCCCCCCCCCCCC[n+]1ccccc1,cetylpyridinium,Launched,,dental,,0.6820984763354986,0.2050990905515554,0.18152577267977346,1.0,0.1873356983029349,0.32730386290677316,0.638649982258329,0.5543170819598201,0.27860946781299256,0.01493936244123193,1.0,0.24647629652539915,18,1411
