participant_id,trial_index,post_id,source_true,text_version,likes_level,likes_value,order,response_choice,confidence_0_100,dwell_ms,rt_ms,started_at_iso,device,viewport_w,viewport_h
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,0,darius_rp_low,AI,Rephrased,Low,8,0,AI,70,33947,15664,2025-11-07T11:36:07.551Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,1,travel_rp_high,AI,Rephrased,High,17882,1,AI,80,9121,7084,2025-11-07T11:36:23.756Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,2,live_shopping_og_low,Human,Original,Low,1,2,Human,60,42197,4700,2025-11-07T11:37:10.653Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,3,sunita_og_high,Human,Original,High,976,3,AI,80,26471,5563,2025-11-07T11:37:42.686Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",2560,1118
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,4,jaineel_og_high,Human,Original,High,771,4,Human,70,13905,4597,2025-11-07T11:38:01.188Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",2880,1258
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,5,barnacles_og_low,Human,Original,Low,0,5,Human,40,30086,6962,2025-11-07T11:38:38.236Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,6,madhav_rp_high,AI,Rephrased,High,33181,6,AI,40,6736,17166,2025-11-07T11:39:02.139Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,7,reema_rp_low,AI,Rephrased,Low,4,7,Human,60,14316,4422,2025-11-07T11:39:20.878Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,8,russelladams_og_low,Human,Original,Low,5,8,Human,80,26992,6568,2025-11-07T11:39:54.437Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,9,evolvingai_og_high,Human,Original,High,1187,9,AI,70,14733,4298,2025-11-07T11:40:13.468Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",2400,1048
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,10,sudnya_rp_low,AI,Rephrased,Low,11,10,Human,70,10013,3984,2025-11-07T11:40:27.466Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920,839
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,11,amit_rp_high,AI,Rephrased,High,1398,11,AI,60,47154,4014,2025-11-07T11:41:18.634Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920,839
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,12,nicholas_og_high,Human,Original,High,21577,12,Human,50,15855,5290,2025-11-07T11:41:39.778Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920,839
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,13,stefano_rp_high,AI,Rephrased,High,26522,13,AI,50,31547,3684,2025-11-07T11:42:15.009Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,14,amitgupta_rp_low,AI,Rephrased,Low,0,14,Human,40,22175,3984,2025-11-07T11:42:41.168Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1536,671
4fda4215-7e8c-4ce4-9c79-df7e7108cf5f,15,ranjani_og_low,Human,Original,Low,4,15,Human,80,19520,8384,2025-11-07T11:43:09.072Z,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",2133,932
