instructions.started,instructions.stopped,start_resp.keys,start_resp.rt,start_resp.duration,start_mouse.x,start_mouse.y,start_mouse.leftButton,start_mouse.midButton,start_mouse.rightButton,start_mouse.time,start_mouse.clicked_name,participant,what is your first language?,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,correct,rt,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,this_word,critical_letter,letter_position,this_question,corr_ans,condition
0.0002,5.6223,space,5.5814,,[],[],[],[],[],[],[],506471,English,2025-03-30_23h30.43.100,word_superiority_effect_v3,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,506471,English,2025-03-30_23h30.43.100,word_superiority_effect_v3,2024.2.4,Win32,60.24096386,5.6419,11.3215,right,0,4.6052,,0,4.6052,[],[],[],[],[],[],[],0,0,0,0,1,WORK,K,4,"Did the word contain the letter ""K""",left,word
,,,,,,,,,,,,506471,English,2025-03-30_23h30.43.100,word_superiority_effect_v3,2024.2.4,Win32,60.24096386,11.3227,13.7287,left,1,1.3844,,1,1.3844,[],[],[],[],[],[],[],0,1,1,1,1,RWOK,K,4,"Did the word contain the letter ""K""",left,nonword
,,,,,,,,,,,,506471,English,2025-03-30_23h30.43.100,word_superiority_effect_v3,2024.2.4,Win32,60.24096386,13.7295,15.9129,left,1,1.152,,1,1.152,[],[],[],[],[],[],[],0,2,2,2,1,CART,T,4,"Did the word contain the letter ""T""",left,word
,,,,,,,,,,,,506471,English,2025-03-30_23h30.43.100,word_superiority_effect_v3,2024.2.4,Win32,60.24096386,15.9142,18.071,left,1,1.1248,,1,1.1248,[],[],[],[],[],[],[],0,3,3,3,1,ARCT,T,4,"Did the word contain the letter ""T""",left,nonword
,,,,,,,,,,,,506471,English,2025-03-30_23h30.43.100,word_superiority_effect_v3,2024.2.4,Win32,60.24096386,18.0718,20.3281,right,1,1.217,,1,1.217,[],[],[],[],[],[],[],0,4,4,4,1,WORD,K,4,Did the word contain the letter K?,right,word
,,,,,,,,,,,,506471,English,2025-03-30_23h30.43.100,word_superiority_effect_v3,2024.2.4,Win32,60.24096386,20.3288,22.244,right,1,0.8838,,1,0.8838,[],[],[],[],[],[],[],0,5,5,5,1,RWOD,K,4,Did the word contain the letter K?,right,nonword
,,,,,,,,,,,,506471,English,2025-03-30_23h30.43.100,word_superiority_effect_v3,2024.2.4,Win32,60.24096386,22.2445,24.3291,left,1,1.0521,,1,1.0521,[],[],[],[],[],[],[],0,6,6,6,1,CARD,C,1,Did the word contain the letter C?,left,word
,,,,,,,,,,,,506471,English,2025-03-30_23h30.43.100,word_superiority_effect_v3,2024.2.4,Win32,60.24096386,24.3298,26.1374,left,1,0.7747,,1,0.7747,[],[],[],[],[],[],[],0,7,7,7,1,RCAD,C,1,Did the word contain the letter C?,left,nonword
,,,,,,,,,,,,506471,English,2025-03-30_23h30.43.100,word_superiority_effect_v3,2024.2.4,Win32,60.24096386,26.1382,28.371,right,1,1.2103,,1,1.2103,[],[],[],[],[],[],[],0,8,8,8,1,LARD,C,1,Did the word contain the letter C?,right,word
