Region,Key,Data_Source,Event_Det,Lead_d,Thresh,Precision,Recall_POD,F1,FAR,POFD,PSS_TSS,HSS,MCC,CSI,Freq_Bias,Correlation,Dyn_Range,EV_Mean,EV_Max,SST_SD_Mean,SST_SD_Max,Pct_Days_2SD,Pct_Days_3SD,Max_Concurrent_Extremes,ML_R2,ML_Top
Andaman & Nicobar Islands,andaman,pipeline,0.5714285714285714,28.25,0.6,0.6986,0.4384,0.5387,0.3014,0.0064,0.432,0.5268,0.5419,0.3687,0.6276,0.0,0.4801195805466839,0.07104484966825042,0.48693702120894666,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
Lakshadweep Islands,lakshadweep,pipeline,1.0,72.0,0.5,0.514,0.5446,0.5289,0.486,0.0424,0.5023,0.4889,0.4892,0.3595,1.0595,0.0,0.4982052319537098,0.07342898797575265,0.48693702120894666,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
Gulf of Mannar,gulf_of_mannar,pipeline,1.0,104.8,0.45,0.5955,0.7639,0.6692,0.4045,0.0883,0.6756,0.6046,0.6114,0.5029,1.2828,0.0,0.5312640032570306,0.07758106961321852,0.48693702120894666,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
Gulf of Kachchh,gulf_of_kachchh,pipeline,1.0,73.25,0.55,0.4928,0.4905,0.4916,0.5072,0.0106,0.4798,0.481,0.481,0.3259,0.9952,0.0,0.4634411141333929,0.06958427669219164,0.48693702120894666,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
Malvan Marine Sanctuary,malvan,pipeline,1.0,58.5,0.5,0.6566,0.5821,0.6171,0.3434,0.0377,0.5445,0.5729,0.5742,0.4463,0.8866,0.0,0.5238745304979782,0.07605743012283543,0.48693702120894666,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
Coral Triangle – Indonesia,indonesia,pipeline,0.8,87.75,0.5,0.4267,0.5737,0.4894,0.5733,0.0452,0.5285,0.4548,0.4605,0.324,1.3446,0.0,0.4771631067702231,0.07268449660442611,0.48693702120894666,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
Thailand – Andaman Sea,thailand_andaman,pipeline,1.0,50.25,0.55,0.5632,0.4527,0.5019,0.4368,0.0156,0.437,0.4823,0.4854,0.335,0.8037,0.0,0.46226087749507855,0.07148824992065263,0.48693702120894666,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
Philippines,philippines,pipeline,1.0,89.5,0.55,0.6527,0.4,0.496,0.3473,0.0121,0.3879,0.4746,0.4902,0.3298,0.6128,0.0,0.45302852299138213,0.07214936563081252,0.48693702120894666,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
Malaysia – Sabah,malaysia_sabah,pipeline,1.0,83.33333333333333,0.5,0.5449,0.542,0.5435,0.4551,0.0373,0.5048,0.506,0.506,0.3731,0.9948,0.0,0.4888850087844222,0.07342898797575265,0.48693702120894666,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
Great Barrier Reef,great_barrier_reef,pipeline,1.0,63.857142857142854,0.4,0.8849,0.8969,0.8908,0.1151,0.2986,0.5983,0.6047,0.6048,0.8031,1.0135,0.0,0.4891082664093882,0.10687698412724105,0.5490596558283876,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
Florida Reef Tract,florida,pipeline,0.6,119.0,0.5,0.6388,0.5259,0.5769,0.3612,0.0368,0.4891,0.5301,0.5332,0.4054,0.8232,0.0,0.4456104803365709,0.07605743012283543,0.48693702120894666,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
Maldives,maldives,pipeline,1.0,41.25,0.55,0.6391,0.4191,0.5062,0.3609,0.0195,0.3997,0.4746,0.4867,0.3389,0.6559,0.0,0.49835321848399594,0.07342898797575265,0.48693702120894666,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
Seychelles,seychelles,pipeline,1.0,117.33333333333333,0.45,0.5746,0.7348,0.6449,0.4254,0.0925,0.6422,0.5757,0.5819,0.4759,1.2788,0.0,0.533764132940153,0.07758106961321852,0.48693702120894666,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
Mesoamerican Barrier Reef,mesoamerican,pipeline,0.8,119.0,0.5,0.6023,0.5194,0.5578,0.3977,0.0375,0.4819,0.5134,0.5151,0.3868,0.8624,0.0,0.442285778005171,0.07466648228531196,0.48693702120894666,0.2690624078319831,0.8334713760853761,2.598803569677356,0.1274884770030401,3,0,accumulating_stress
