year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean
1998,2.1659710907251286,0.647478902565519,196,85,0,0,0,31.467375855178368,28.859798649961725
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724954
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272
2001,0.0,0.0,364,0,0,0,0,30.414702133568383,28.45200902023793
2002,0.0,0.0,364,0,0,0,0,30.42468659746091,28.644403245171226
2003,0.29442181293249853,0.06794349529211505,364,0,0,0,0,30.90150755463839,28.694001418728547
2004,0.0,0.0,365,0,0,0,0,30.85328286939342,28.562501719801695
2005,0.3040372701392963,0.07016244695522222,364,0,0,0,0,30.947197836866245,28.644141276610917
2006,0.0,0.0,364,0,0,0,0,30.330839894761684,28.628633562627524
2007,0.0,0.0,364,0,0,0,0,30.41572463191654,28.549394857174374
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019746
2009,0.0,0.0,364,0,0,0,0,30.362611951976657,28.740610877207004
2010,6.959231488001309,1.6059764972310713,255,20,30,59,0,31.54643204812009,29.20073851293853
2011,0.0,0.0,364,0,0,0,0,30.42709211438416,28.71023171722051
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148
2013,0.0,0.0,364,0,0,0,0,30.598120378216663,28.800759657901686
2014,2.202043665259365,0.5081639227521613,279,85,0,0,0,31.22183727178657,28.815977770203073
2015,0.0,0.0,364,0,0,0,0,30.54441827116396,29.104950679256763
2016,7.368337318677861,1.6957269445724394,257,18,27,63,0,31.65441310774793,29.188950901731744
2017,0.0,0.0,364,0,0,0,0,30.509341233562147,28.8985796102803
2018,2.14846613328795,0.4957998769126039,279,85,0,0,0,31.153179726626675,29.018829443542646
2019,0.0,0.0,364,0,0,0,0,30.64482031603601,29.1110878449289
2020,0.0,0.0,365,0,0,0,0,30.68076568906623,29.080152773776888
2021,3.2847940996569585,0.7580294076131443,273,25,66,0,0,31.17327691252347,29.11475898999052
2022,3.6397947277826357,0.8399526294883005,271,23,70,0,0,31.42976354335792,29.036070260454675
2023,0.7513191223422007,0.17338133592512325,364,0,0,0,0,30.978330465543493,29.036161410291022
2024,7.874379891844669,1.812186057301239,258,17,21,69,0,31.95171248452768,29.539456441037327
2025,0.0,0.0,362,0,0,0,0,30.324708429349823,29.079952092887535
