feature,importance
pcrvi,0.21854370859040156
cdr_norm_lag14,0.2171908589728612
dmi_lag60,0.12971703112526473
oni_lag60,0.08057857578783433
sst_anomaly,0.07236725809770153
bh_norm,0.07002977516121132
cdr_norm,0.051508727126456336
doy_sin,0.03559517537972228
bh_norm_lag14,0.02399784673622884
bh_norm_lag7,0.022740566666620474
pcrvi_lag14,0.013055835662869423
sr_norm_lag7,0.012760084407601218
sr_norm,0.010667749004180997
ta_norm_lag14,0.009104865645728998
doy_cos,0.009022910424414183
sr_norm_lag14,0.006663829014632732
ta_norm,0.004194208317937516
cdr_norm_lag7,0.003961509145836494
pcrvi_lag7,0.003499606833518064
la_norm,0.0012708854168884507
la_norm_lag7,0.0010737715858776934
ta_norm_lag7,0.0010304790634500863
la_norm_lag14,0.000955187632565365
wq_norm_lag7,0.00023733007538030517
wq_norm_lag14,0.00012549022559800351
wq_norm,0.00010673389921788515
