feature,importance
pcrvi,0.5197684015962843
oni_lag60,0.13899806568660558
doy_sin,0.07756263370094049
dmi_lag60,0.07022169038428899
cdr_norm,0.06641041735569765
cdr_norm_lag14,0.023714544156914236
bh_norm,0.0205563252575439
sst_anomaly,0.013592308261713117
bh_norm_lag14,0.01209200068649593
ta_norm,0.009973137755481209
bh_norm_lag7,0.008072595796282368
cdr_norm_lag7,0.007546925848132237
la_norm_lag14,0.0064356420579548546
ta_norm_lag14,0.005033181119645857
doy_cos,0.004954884152088011
wq_norm_lag14,0.0025961968308414263
ta_norm_lag7,0.0024163932711519414
pcrvi_lag14,0.00222663204657032
wq_norm,0.0018131961182015302
sr_norm,0.0014239405273044554
pcrvi_lag7,0.0011390321281720963
wq_norm_lag7,0.0008858216960479665
la_norm,0.000837915861506007
la_norm_lag7,0.0007874575709291568
sr_norm_lag14,0.0005369796176160252
sr_norm_lag7,0.0004036805155902322
