feature,importance
pcrvi_lag14,0.28665543
sr_norm,0.26788455
bh_norm_lag7,0.1450265
sr_norm_lag7,0.08625904
cdr_norm_lag14,0.034262195
bh_norm_lag14,0.026857251
pcrvi,0.02440999
oni_lag60,0.022579476
bh_norm,0.016888134
cdr_norm,0.016237516
sst_anomaly,0.012395879
pcrvi_lag7,0.012155147
dmi_lag60,0.011429653
cdr_norm_lag7,0.009617417
sr_norm_lag14,0.0086097615
ta_norm,0.00836186
doy_sin,0.004922979
ta_norm_lag7,0.0011946922
wq_norm_lag7,0.0009550545
ta_norm_lag14,0.0009081215
wq_norm_lag14,0.0006161022
doy_cos,0.0005901108
wq_norm,0.00058997626
la_norm,0.00024811013
la_norm_lag14,0.00019554175
la_norm_lag7,0.00014953264
