feature,importance,display_name
pcrvi,0.5297247227685019,Coral Reef Vulnerability Index (pCRVI)
doy_sin,0.1111437788249584,Seasonal Cycle (sine) (DoY_sin)
oni_lag60,0.08103152611293298,El Niño Index (60-day lag) (ONI_L60)
cdr_norm_lag14,0.06234741641455966,Climate Driver Response (14-day lag) (CDR_L14)
dmi_lag60,0.048038982426107955,Indian Ocean Dipole (60-day lag) (DMI_L60)
sst_anomaly,0.04676595536864775,SST Anomaly (SSTA)
cdr_norm,0.036090245051008794,Climate Driver Response (CDR)
bh_norm,0.010419635836526135,Population Vulnerability (BH)
bh_norm_lag7,0.0068939743965088195,Population Vulnerability (7-day lag) (BH_L7)
wq_norm_lag14,0.006659544393437851,Water Quality Stress (14-day lag) (WQ_L14)
la_norm_lag7,0.006425214513173793,Light Availability (7-day lag) (LA_L7)
ta_norm,0.005814949109484536,Thermal Anomaly (TA)
bh_norm_lag14,0.005554832746316514,Population Vulnerability (14-day lag) (BH_L14)
wq_norm_lag7,0.005263918344253568,Water Quality Stress (7-day lag) (WQ_L7)
sr_norm_lag14,0.0052181024255381495,Seasonal Bleaching Risk (14-day lag) (SR_L14)
ta_norm_lag14,0.005144890889346492,Thermal Anomaly (14-day lag) (TA_L14)
cdr_norm_lag7,0.005023213110054113,Climate Driver Response (7-day lag) (CDR_L7)
la_norm_lag14,0.0031934137325613635,Light Availability (14-day lag) (LA_L14)
wq_norm,0.0028886079095006008,Water Quality Stress (WQ)
pcrvi_lag7,0.002883448817831696,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
ta_norm_lag7,0.002844250440070565,Thermal Anomaly (7-day lag) (TA_L7)
doy_cos,0.0026794781943418446,Seasonal Cycle (cosine) (DoY_cos)
pcrvi_lag14,0.0024590155204684944,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
sr_norm_lag7,0.002284803053214351,Seasonal Bleaching Risk (7-day lag) (SR_L7)
sr_norm,0.002283585999189335,Seasonal Bleaching Risk (SR)
la_norm,0.0009224936014644263,Light Availability (LA)
