Threshold,F1,Precision,Recall,MCC,HSS,PSS,CSI,FAR,POFD,Alerts
0.15,0.0634,0.0328,1.0,0.0,0.0,0.0,0.0328,0.9672,1.0,10167
0.2,0.0634,0.0328,1.0,0.0,0.0,0.0,0.0328,0.9672,1.0,10167
0.25,0.0634,0.0328,1.0,0.0,0.0,0.0,0.0328,0.9672,1.0,10167
0.3,0.065,0.0336,1.0,0.0293,0.0017,0.0255,0.0336,0.9664,0.9745,9916
0.35,0.0795,0.0414,1.0,0.0946,0.0177,0.2161,0.0414,0.9586,0.7839,8042
0.4,0.1333,0.0716,0.97,0.1948,0.077,0.5438,0.0714,0.9284,0.4262,4514
0.45,0.2526,0.1501,0.7958,0.3023,0.209,0.6433,0.1446,0.8499,0.1525,1765
0.5,0.4183,0.3005,0.6877,0.4282,0.3905,0.6335,0.2644,0.6995,0.0542,762
0.55,0.4957,0.474,0.5195,0.4784,0.4778,0.5,0.3295,0.526,0.0195,365
0.6,0.5387,0.6986,0.4384,0.5419,0.5268,0.432,0.3687,0.3014,0.0064,209
0.65,0.4273,0.8785,0.2823,0.4901,0.418,0.281,0.2717,0.1215,0.0013,107
0.7,0.2746,1.0,0.1592,0.3934,0.268,0.1592,0.1592,0.0,0.0,53
0.75,0.108,1.0,0.0571,0.2351,0.1048,0.0571,0.0571,0.0,0.0,19
