year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean,pcrvi_max,pcrvi_mean,high_risk_days,ta_norm_max,as_norm_max,wq_norm_max,la_norm_max
1998,2.1659710907251286,0.647478902565519,196,85,0,0,0,31.467375855178368,28.859798649961725,0.6949122843094356,0.43615196556386,38,0.8231956684472692,0.6353731931703206,0.8756217163346247,0.9786670518919118
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724958,0.4430841570251412,0.3591721380407324,0,0.35292431533483676,0.1,0.7074539504698187,0.962056423777957
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272,0.42396273437708765,0.3599523370601087,0,0.2720816179730619,0.1,0.6874455855417856,0.9763027686158422
2001,0.0,0.0,364,0,0,0,0,30.414702133568383,28.45200902023793,0.4576343858126839,0.3778144627394172,0,0.40212617980327536,0.1,0.7107473218766303,0.9707652773210502
2002,0.0,0.0,364,0,0,0,0,30.42468659746091,28.644403245171222,0.48957204612212357,0.4087351129491862,0,0.45879751215045983,0.1,0.6946668702169028,0.9816246817679524
2003,0.2944218129324985,0.067943495292115,364,0,0,0,0,30.90150755463839,28.694001418728547,0.5669254712093503,0.4138688313072125,6,0.5954396650346794,0.18253993904576868,0.7060314350583593,0.9789956441091932
2004,0.0,0.0,365,0,0,0,0,30.85328286939342,28.56250171980169,0.5634120147448296,0.41058306918621623,8,0.5761497909366924,0.1,0.7270085972224384,0.976384563653427
2005,0.3040372701392963,0.0701624469552222,364,0,0,0,0,30.947197836866245,28.64414127661092,0.5791147412321753,0.39420809461487555,6,0.6137157779258218,0.18524630927516075,0.7710294571047741,0.9793357333707335
2006,0.0,0.0,364,0,0,0,0,30.330839894761684,28.628633562627524,0.46628565664794125,0.40943796799214716,0,0.3685812842805959,0.1,0.7044052091569716,0.9720643795312649
2007,0.0,0.0,364,0,0,0,0,30.41572463191654,28.549394857174374,0.49443899457230445,0.3918697415772833,0,0.4011264959459396,0.1,0.7185920492461829,0.9715564333512208
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019742,0.44002182626129593,0.3867849934567627,0,0.40759412634333714,0.1,0.7049469082713763,0.9787269741485642
2009,0.0,0.0,364,0,0,0,0,30.362611951976657,28.740610877207004,0.47976992537516766,0.41214950680027607,0,0.38129010716658485,0.1,0.7748699298630881,0.9788515200943991
2010,6.959231488001309,1.6059764972310713,255,20,30,59,0,31.54643204812009,29.20073851293853,0.7384895595585483,0.4298461603464371,66,0.8548181456239575,0.9349519680000817,0.7035794771867028,0.9774817872140303
2011,0.0,0.0,364,0,0,0,0,30.42709211438416,28.71023171722051,0.408596987433155,0.34226718428099256,0,0.4070821721295857,0.1,0.7469238441223837,0.9743081603910602
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148,0.4035039479813765,0.35607815833257556,0,0.3450705557437345,0.1,0.6979417525232968,0.9770088222556887
2013,0.0,0.0,364,0,0,0,0,30.598120378216663,28.800759657901686,0.45392155998467776,0.362184356458511,0,0.47408479446598906,0.1,0.7053731095856637,0.9737753555513667
2014,2.202043665259365,0.5081639227521613,279,85,0,0,0,31.22183727178657,28.815977770203077,0.608916071302142,0.4021472137808323,20,0.7235715518939514,0.6376277290787102,0.7071479161481946,0.9801169291827823
2015,0.0,0.0,364,0,0,0,0,30.54441827116396,29.104950679256763,0.5084938878298149,0.4453247405907542,0,0.4540126348415057,0.1,0.6898501559144707,0.9758626545403482
2016,7.368337318677861,1.6957269445724394,257,18,27,63,0,31.65441310774793,29.188950901731744,0.7476205530492717,0.4276742854503697,54,0.8980105694750946,0.9605210824173662,0.7032372043149915,0.9845147071460922
2017,0.0,0.0,364,0,0,0,0,30.509341233562147,28.8985796102803,0.4762906623101439,0.37048923528526806,0,0.43998181980078066,0.1,0.7059432937092509,0.9776108090690814
2018,2.14846613328795,0.4957998769126039,279,85,0,0,0,31.153179726626675,29.018829443542646,0.5839414932675303,0.40358868825344046,18,0.6975172170265921,0.6294807509931863,0.7049162006865314,0.9777911445553884
2019,0.0,0.0,364,0,0,0,0,30.64482031603601,29.1110878449289,0.5161484986426784,0.43420755791917637,1,0.5023774990927955,0.1,0.708839669328669,0.978248031694749
2020,0.0,0.0,365,0,0,0,0,30.68076568906623,29.080152773776888,0.5035587734245512,0.4039679485440722,0,0.5074325844150593,0.1,0.7045327445335579,0.9731451654486925
2021,3.2847940996569585,0.7580294076131443,273,25,66,0,0,31.17327691252347,29.11475898999052,0.6514996034966823,0.41340535144928975,37,0.70555609138531,0.70529963122856,0.6984461237527223,0.9767412020596159
2022,3.639794727782636,0.8399526294883005,271,23,70,0,0,31.42976354335792,29.036070260454675,0.6617529596420731,0.3942209347608859,23,0.8067420605224924,0.7274871704864148,0.6503901931728076,0.9806456018396946
2023,0.7513191223422007,0.1733813359251232,364,0,0,0,0,30.978330465543493,29.036161410291022,0.5978385190558266,0.46039150264191664,23,0.6275775125933194,0.2874231164165482,0.7051948339661466,0.9732835821393389
2024,7.874379891844669,1.812186057301239,258,17,21,69,0,31.95171248452768,29.539456441037327,0.8083564234934278,0.4703258520348686,60,1.0,0.9921487432402918,0.6156984876778293,0.9767136384505241
2025,0.0,0.0,362,0,0,0,0,30.324708429349823,29.07995209288753,0.42705394234268973,0.366347460683329,0,0.36612869811585114,0.1,0.5583287536080246,0.9742569997820059
