Feature,feature,Importance,Contribution %,Cumulative %
Coral Reef Vulnerability Index (pCRVI),pcrvi,0.2907265230588783,29.1,29.1
Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7),pcrvi_lag7,0.2508911449407279,25.1,54.2
Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14),pcrvi_lag14,0.1117906529523378,11.2,65.3
Indian Ocean Dipole (60-day lag) (DMI_L60),dmi_lag60,0.0764400643726766,7.6,73.0
Population Vulnerability (7-day lag) (BH_L7),bh_norm_lag7,0.0490636690648747,4.9,77.9
Population Vulnerability (BH),bh_norm,0.0393599951516196,3.9,81.8
Climate Driver Response (CDR),cdr_norm,0.0278435745157764,2.8,84.6
Population Vulnerability (14-day lag) (BH_L14),bh_norm_lag14,0.0271615942258239,2.7,87.3
SST Anomaly (SSTA),sst_anomaly,0.0236286848989124,2.4,89.7
El Niño Index (60-day lag) (ONI_L60),oni_lag60,0.0178836415456636,1.8,91.5
Seasonal Bleaching Risk (SR),sr_norm,0.0147114933343023,1.5,93.0
Thermal Anomaly (TA),ta_norm,0.0126411930921069,1.3,94.2
Climate Driver Response (7-day lag) (CDR_L7),cdr_norm_lag7,0.0123400843970816,1.2,95.4
Seasonal Cycle (cosine) (DoY_cos),doy_cos,0.0096966445247158,1.0,96.4
Seasonal Cycle (sine) (DoY_sin),doy_sin,0.009312093424971,0.9,97.3
