year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean
1998,6.284784052493661,1.8787254818842265,178,18,29,56,0,31.467375855178368,28.859798649961725
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724954
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272
2001,0.3054158592238895,0.07048058289782065,364,0,0,0,0,30.414702133568383,28.45200902023793
2002,0.16066951392298684,0.03707758013607388,364,0,0,0,0,30.42468659746091,28.644403245171226
2003,3.463527801958947,0.7992756466059109,273,21,70,0,0,30.90150755463839,28.694001418728547
2004,3.549603429546721,0.8168950358408893,274,19,72,0,0,30.85328286939342,28.562501719801695
2005,2.875381696932933,0.6635496223691384,276,88,0,0,0,30.947197836866245,28.644141276610917
2006,0.14726284210881196,0.03398373279434123,364,0,0,0,0,30.330839894761684,28.628633562627524
2007,0.9142022919024478,0.21096975966979561,364,0,0,0,0,30.41572463191654,28.549394857174374
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019746
2009,0.29972466563719635,0.0691672305316607,364,0,0,0,0,30.362611951976657,28.740610877207004
2010,13.856217729813064,3.1975887068799382,233,18,23,14,76,31.54643204812009,29.20073851293853
2011,0.3063952044405655,0.07070658564013049,364,0,0,0,0,30.42709211438416,28.71023171722051
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148
2013,1.6195760694104229,0.37374832371009753,282,82,0,0,0,30.598120378216663,28.800759657901686
2014,6.42968221994748,1.4837728199878801,261,18,26,59,0,31.22183727178657,28.815977770203073
2015,1.1327253196231146,0.26139815068225725,286,78,0,0,0,30.54441827116396,29.104950679256763
2016,14.041252474661121,3.2314115284151623,237,17,20,14,77,31.65441310774793,29.188950901731744
2017,2.030866036809378,0.46866139310985644,280,84,0,0,0,30.509341233562147,28.8985796102803
2018,5.021190106377803,1.1587361783948777,268,16,80,0,0,31.153179726626675,29.018829443542646
2019,4.59959986043611,1.0614461216391025,265,23,76,0,0,30.64482031603601,29.1110878449289
2020,3.999407219086195,0.9204115243924393,268,26,71,0,0,30.68076568906623,29.080152773776888
2021,7.668138069688469,1.769570323774262,256,17,24,67,0,31.17327691252347,29.11475898999052
2022,6.94502645888755,1.6026984135894342,261,15,24,64,0,31.42976354335792,29.036070260454675
2023,5.43269714467565,1.2536993410789963,263,20,81,0,0,30.978330465543493,29.036161410291022
2024,13.16434428618915,3.029602520657229,244,15,19,11,76,31.95171248452768,29.539456441037327
2025,0.14638691847854599,0.03396823522706592,362,0,0,0,0,30.324708429349823,29.079952092887535
