feature,importance
doy_sin,0.66889405
oni_lag60,0.050766665
doy_cos,0.05038175
pcrvi_lag14,0.038398717
pcrvi,0.02481392
ta_norm,0.02216715
cdr_norm_lag14,0.01915768
sr_norm_lag7,0.018358484
cdr_norm,0.017006315
bh_norm_lag7,0.015306065
sr_norm_lag14,0.014912449
dmi_lag60,0.009990392
ta_norm_lag14,0.008354399
bh_norm,0.008324707
cdr_norm_lag7,0.0075592054
sst_anomaly,0.0068058264
sr_norm,0.0057240296
bh_norm_lag14,0.0049955603
ta_norm_lag7,0.0028297633
pcrvi_lag7,0.0027240936
la_norm_lag14,0.00072471483
la_norm,0.0007048757
la_norm_lag7,0.0004008024
wq_norm_lag7,0.00037034028
wq_norm_lag14,0.00020785682
wq_norm,0.000120230434
