feature,importance,display_name
ta_norm,0.24653059558318097,Thermal Anomaly (TA)
oni_lag60,0.21113452132183094,El Niño Index (60-day lag) (ONI_L60)
sst_anomaly,0.14202758992781264,SST Anomaly (SSTA)
cdr_norm_lag14,0.09176004540425002,Climate Driver Response (14-day lag) (CDR_L14)
doy_sin,0.07394690492363669,Seasonal Cycle (sine) (DoY_sin)
sr_norm_lag7,0.06108471883036083,Seasonal Bleaching Risk (7-day lag) (SR_L7)
cdr_norm_lag7,0.04621856885373215,Climate Driver Response (7-day lag) (CDR_L7)
cdr_norm,0.0359466532688995,Climate Driver Response (CDR)
ta_norm_lag14,0.023146927211194608,Thermal Anomaly (14-day lag) (TA_L14)
sr_norm_lag14,0.011942728575890755,Seasonal Bleaching Risk (14-day lag) (SR_L14)
pcrvi_lag7,0.01091909191016137,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
dmi_lag60,0.007136757388085579,Indian Ocean Dipole (60-day lag) (DMI_L60)
pcrvi,0.0050291983153076805,Coral Reef Vulnerability Index (pCRVI)
pcrvi_lag14,0.00479214902818147,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
bh_norm_lag14,0.004781566135902974,Population Vulnerability (14-day lag) (BH_L14)
sr_norm,0.004452134771166398,Seasonal Bleaching Risk (SR)
la_norm,0.004121114604394498,Light Availability (LA)
bh_norm,0.0038691063286945067,Population Vulnerability (BH)
ta_norm_lag7,0.003062792756865878,Thermal Anomaly (7-day lag) (TA_L7)
doy_cos,0.0024825347135818956,Seasonal Cycle (cosine) (DoY_cos)
bh_norm_lag7,0.0024715696514170577,Population Vulnerability (7-day lag) (BH_L7)
la_norm_lag7,0.0011897115529292904,Light Availability (7-day lag) (LA_L7)
la_norm_lag14,0.0007338632344802379,Light Availability (14-day lag) (LA_L14)
wq_norm_lag7,0.00072974940876835,Water Quality Stress (7-day lag) (WQ_L7)
wq_norm_lag14,0.0003255406208282154,Water Quality Stress (14-day lag) (WQ_L14)
wq_norm,0.00016386567844561438,Water Quality Stress (WQ)
