year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean
1998,28.330048980134727,12.732890348070116,40,19,38,17,167,31.467375855178368,28.859798649961725
1999,9.520733085198842,2.324336130683074,223,24,44,39,34,29.626040262301657,28.285549195724954
2000,10.45933655316538,2.651289951996256,213,34,44,23,51,29.565052422649625,28.26782859511272
2001,17.626396306329994,4.472260183455382,198,32,27,13,94,30.414702133568383,28.45200902023793
2002,19.542065501703785,6.397067640285923,87,43,108,16,110,30.42468659746091,28.644403245171226
2003,21.124823217005957,6.083863072465667,110,81,57,12,104,30.90150755463839,28.694001418728547
2004,18.904918785526554,5.331052344166307,108,117,34,11,95,30.85328286939342,28.562501719801695
2005,21.967690228173407,6.035182324171943,54,167,27,13,103,30.947197836866245,28.644141276610917
2006,17.373915657258326,6.126160092597909,95,24,107,19,119,30.330839894761684,28.628633562627524
2007,20.528501068524996,6.6797589461273095,125,36,56,13,134,30.41572463191654,28.549394857174374
2008,17.045888218860238,6.79910453278931,88,39,41,28,169,30.07525623014325,28.711379806019746
2009,22.277432529747063,8.859827067638633,42,31,105,26,160,30.362611951976657,28.740610877207004
2010,34.56840195282751,13.358350772393058,0,54,102,33,175,31.54643204812009,29.20073851293853
2011,19.296027739944982,6.481984948372011,80,65,85,16,118,30.42709211438416,28.71023171722051
2012,18.596684229978937,5.7662468457051235,84,58,85,42,96,29.95216435140295,28.630099494893148
2013,24.51631695430454,7.83912805182452,67,54,94,28,121,30.598120378216663,28.800759657901686
2014,26.550463167156238,9.05876254445616,47,18,115,58,126,31.22183727178657,28.815977770203073
2015,24.2065089409008,12.71717960615014,16,44,30,18,256,30.54441827116396,29.104950679256763
2016,33.8459129121323,14.254306980530819,0,42,43,34,246,31.65441310774793,29.188950901731744
2017,23.411497752119427,9.439586828359054,63,25,39,53,184,30.509341233562147,28.8985796102803
2018,27.4111143926685,10.767417445885398,19,53,62,37,193,31.153179726626675,29.018829443542646
2019,27.972616947363605,13.019357602205403,0,28,37,60,239,30.64482031603601,29.1110878449289
2020,26.398719876988913,13.073271231565526,33,42,41,22,227,30.68076568906623,29.080152773776888
2021,30.025719164617822,12.388123319272506,25,57,58,34,190,31.17327691252347,29.11475898999052
2022,27.365366694540654,11.560359551570578,0,55,53,45,211,31.42976354335792,29.036070260454675
2023,26.55251812814055,11.399856246291609,51,20,31,6,256,30.978330465543493,29.036161410291022
2024,35.02527040690141,18.537216696811008,0,0,42,23,300,31.95171248452768,29.539456441037327
2025,23.408015898029866,13.254882748388884,0,22,26,15,299,30.324708429349823,29.079952092887535
