feature,importance
pcrvi_lag14,0.21376178117215466
pcrvi,0.13783015725967165
pcrvi_lag7,0.12074469508907199
doy_cos,0.11068541924235542
sst_anomaly,0.11038953713632858
cdr_norm_lag14,0.08656562943479898
oni_lag60,0.033659048231679485
dmi_lag60,0.030558301859695054
cdr_norm,0.018885919113681753
bh_norm_lag14,0.018793409323207538
sr_norm,0.01800982241040611
bh_norm,0.017170512986273593
bh_norm_lag7,0.013834592597263487
doy_sin,0.011809701921135717
sr_norm_lag7,0.011228196532087294
ta_norm_lag14,0.010021095806850629
cdr_norm_lag7,0.009331134391857562
sr_norm_lag14,0.008627305708982916
ta_norm_lag7,0.006224532895977276
ta_norm,0.004903037835892239
la_norm_lag14,0.0027744654437912774
la_norm,0.0020648143733557117
la_norm_lag7,0.00102562624475872
wq_norm,0.0004756646377450428
wq_norm_lag14,0.00041032389738704416
wq_norm_lag7,0.0002152744535903631
