feature,importance
sst_anomaly,0.33664670415849207
pcrvi,0.21833180857642118
pcrvi_lag14,0.13829910303555237
doy_cos,0.09872771425608907
pcrvi_lag7,0.09637598539856412
oni_lag60,0.01609063038881543
dmi_lag60,0.013953273890959154
sr_norm_lag7,0.010010536830600313
cdr_norm_lag14,0.008989552993137435
ta_norm_lag14,0.008878341564068483
cdr_norm,0.007780091600233028
sr_norm_lag14,0.007646447490182888
cdr_norm_lag7,0.007542307576824573
doy_sin,0.006530546722801499
sr_norm,0.005043200679143108
bh_norm_lag14,0.004299067030911726
bh_norm,0.004260365346796801
bh_norm_lag7,0.003951507597876472
ta_norm_lag7,0.0032569148367191355
ta_norm,0.0015248540058155511
la_norm_lag14,0.0005672077710718647
la_norm,0.0004146686143566708
wq_norm_lag14,0.00035765460637234475
la_norm_lag7,0.00027353157393555965
wq_norm_lag7,0.00012424702982678833
wq_norm,0.00012373642443238883
