feature,importance
sst_anomaly,0.4580776
pcrvi,0.10922107
pcrvi_lag14,0.1042852
doy_cos,0.07951647
pcrvi_lag7,0.06581915
sr_norm_lag7,0.022029784
dmi_lag60,0.016056567
oni_lag60,0.015299792
sr_norm,0.013858524
cdr_norm,0.012945847
bh_norm,0.012308072
sr_norm_lag14,0.011864406
cdr_norm_lag14,0.01043868
cdr_norm_lag7,0.010051127
bh_norm_lag7,0.009692396
ta_norm_lag14,0.00954789
bh_norm_lag14,0.008802216
ta_norm_lag7,0.008474641
doy_sin,0.0069203726
ta_norm,0.004392209
la_norm,0.003232186
la_norm_lag14,0.002336141
la_norm_lag7,0.002109793
wq_norm,0.0015069646
wq_norm_lag14,0.0008677822
wq_norm_lag7,0.0003451475
