feature,importance,display_name
pcrvi_lag14,0.3351113448436619,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
sst_anomaly,0.24347078115822382,SST Anomaly (SSTA)
pcrvi_lag7,0.23530735720153073,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
doy_cos,0.09676904446071212,Seasonal Cycle (cosine) (DoY_cos)
pcrvi,0.015408612435792004,Coral Reef Vulnerability Index (pCRVI)
oni_lag60,0.009114697341894165,El Niño Index (60-day lag) (ONI_L60)
ta_norm,0.008005052215570607,Thermal Anomaly (TA)
bh_norm,0.0076888010978642075,Population Vulnerability (BH)
dmi_lag60,0.0064069834159501005,Indian Ocean Dipole (60-day lag) (DMI_L60)
cdr_norm,0.006289441796418109,Climate Driver Response (CDR)
ta_norm_lag7,0.005144470924481365,Thermal Anomaly (7-day lag) (TA_L7)
doy_sin,0.004888394969662286,Seasonal Cycle (sine) (DoY_sin)
ta_norm_lag14,0.004759400632807419,Thermal Anomaly (14-day lag) (TA_L14)
cdr_norm_lag14,0.004065987405704728,Climate Driver Response (14-day lag) (CDR_L14)
cdr_norm_lag7,0.003453508590068558,Climate Driver Response (7-day lag) (CDR_L7)
sr_norm_lag14,0.00306819723253332,Seasonal Bleaching Risk (14-day lag) (SR_L14)
bh_norm_lag14,0.002952346749742037,Population Vulnerability (14-day lag) (BH_L14)
sr_norm_lag7,0.002588344474419268,Seasonal Bleaching Risk (7-day lag) (SR_L7)
bh_norm_lag7,0.0023236411904425606,Population Vulnerability (7-day lag) (BH_L7)
sr_norm,0.001939666965099701,Seasonal Bleaching Risk (SR)
la_norm_lag14,0.0005599036981512453,Light Availability (14-day lag) (LA_L14)
la_norm,0.0003615952637479826,Light Availability (LA)
la_norm_lag7,0.00011750232826048398,Light Availability (7-day lag) (LA_L7)
wq_norm_lag14,9.798614098626417e-05,Water Quality Stress (14-day lag) (WQ_L14)
wq_norm_lag7,5.554047680876383e-05,Water Quality Stress (7-day lag) (WQ_L7)
wq_norm,5.139698946624416e-05,Water Quality Stress (WQ)
