feature,importance
pcrvi_lag7,0.20602929877847914
pcrvi,0.15999149687624778
oni_lag60,0.12341421225306494
pcrvi_lag14,0.08819715646135091
dmi_lag60,0.08059334132266627
bh_norm_lag7,0.07026051223200433
cdr_norm,0.05435492327932014
sst_anomaly,0.03779044581341488
bh_norm_lag14,0.03690399836148289
bh_norm,0.0352744638651037
sr_norm,0.02137986450996638
doy_sin,0.018047135235764095
cdr_norm_lag7,0.013881528888752628
ta_norm,0.013840974002323904
cdr_norm_lag14,0.011904109886326153
sr_norm_lag7,0.006461164933895204
doy_cos,0.005464791178977467
ta_norm_lag14,0.00433868080315945
ta_norm_lag7,0.0033159708997682067
sr_norm_lag14,0.002455998622423872
wq_norm_lag14,0.0015617434656812247
wq_norm_lag7,0.0015356000411606435
la_norm,0.0013926219418556665
la_norm_lag7,0.0007455896161654579
wq_norm,0.000574566343079729
la_norm_lag14,0.00028981038756482246
