feature,importance
pcrvi_lag14,0.3176328257480841
pcrvi_lag7,0.2706057678235019
pcrvi,0.08669966122088271
oni_lag60,0.055864251791133954
sst_anomaly,0.046308521103454
dmi_lag60,0.043363050913052814
bh_norm_lag7,0.03708753444686138
cdr_norm,0.03637195092696029
bh_norm_lag14,0.021843136386521658
doy_sin,0.017919132698113918
sr_norm,0.015415791763005874
sr_norm_lag7,0.013792900791525897
bh_norm,0.008760344514420466
ta_norm,0.007227770324417018
cdr_norm_lag14,0.006173314593996918
cdr_norm_lag7,0.0031528809473974663
sr_norm_lag14,0.002847523664700549
ta_norm_lag7,0.001977868776825009
la_norm_lag7,0.0017886929869469783
doy_cos,0.0017326579575025448
ta_norm_lag14,0.0016960963357911141
wq_norm_lag7,0.0005802457945087716
wq_norm_lag14,0.0005798170078894371
la_norm_lag14,0.00021300787728323177
la_norm,0.0002018083737305896
wq_norm,0.00016344523149135909
