feature,importance
pcrvi,0.61613655
doy_sin,0.10080635
cdr_norm,0.059547305
cdr_norm_lag14,0.043571882
oni_lag60,0.038049627
sr_norm_lag14,0.02610585
bh_norm,0.018928973
dmi_lag60,0.014845041
pcrvi_lag7,0.012082445
pcrvi_lag14,0.0120738195
ta_norm_lag14,0.011214502
sst_anomaly,0.0090044895
sr_norm,0.0069151428
cdr_norm_lag7,0.006299867
wq_norm_lag7,0.004303839
bh_norm_lag7,0.0041940464
ta_norm,0.0030328922
la_norm_lag14,0.0029550535
ta_norm_lag7,0.0028849551
wq_norm_lag14,0.0019004022
wq_norm,0.0017646259
la_norm,0.0015089337
bh_norm_lag14,0.000835041
la_norm_lag7,0.0007687261
doy_cos,0.00026969486
sr_norm_lag7,0.0
