feature,importance,display_name
pcrvi,0.367317731517503,Coral Reef Vulnerability Index (pCRVI)
doy_sin,0.2305418253184881,Seasonal Cycle (sine) (DoY_sin)
oni_lag60,0.20450201856240552,El Niño Index (60-day lag) (ONI_L60)
dmi_lag60,0.13108454465486,Indian Ocean Dipole (60-day lag) (DMI_L60)
sst_anomaly,0.022191417447567537,SST Anomaly (SSTA)
ta_norm,0.014743506559392994,Thermal Anomaly (TA)
cdr_norm_lag14,0.008222975826800606,Climate Driver Response (14-day lag) (CDR_L14)
ta_norm_lag14,0.00581334904979291,Thermal Anomaly (14-day lag) (TA_L14)
la_norm_lag14,0.0020143537073130735,Light Availability (14-day lag) (LA_L14)
sr_norm,0.001721782305228289,Seasonal Bleaching Risk (SR)
wq_norm,0.0013354465518936804,Water Quality Stress (WQ)
bh_norm,0.001122485675874213,Population Vulnerability (BH)
bh_norm_lag7,0.0010873700727520121,Population Vulnerability (7-day lag) (BH_L7)
pcrvi_lag7,0.0010316487552090184,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
sr_norm_lag7,0.0009839751958562063,Seasonal Bleaching Risk (7-day lag) (SR_L7)
doy_cos,0.0009836639720970958,Seasonal Cycle (cosine) (DoY_cos)
ta_norm_lag7,0.0009621981739591023,Thermal Anomaly (7-day lag) (TA_L7)
pcrvi_lag14,0.000750475963057552,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
cdr_norm_lag7,0.0006985012973132007,Climate Driver Response (7-day lag) (CDR_L7)
bh_norm_lag14,0.000664553342746449,Population Vulnerability (14-day lag) (BH_L14)
wq_norm_lag7,0.0005436871099249089,Water Quality Stress (7-day lag) (WQ_L7)
sr_norm_lag14,0.000542561793039,Seasonal Bleaching Risk (14-day lag) (SR_L14)
cdr_norm,0.0005083804504079984,Climate Driver Response (CDR)
la_norm,0.00031884889279669166,Light Availability (LA)
la_norm_lag7,0.00025605838054246606,Light Availability (7-day lag) (LA_L7)
wq_norm_lag14,5.663942317838414e-05,Water Quality Stress (14-day lag) (WQ_L14)
