Feature,feature,Importance,Contribution %,Cumulative %
Coral Reef Vulnerability Index (pCRVI),pcrvi,0.4304789347934545,43.0,43.0
Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7),pcrvi_lag7,0.1283022537115306,12.8,55.9
Population Vulnerability (7-day lag) (BH_L7),bh_norm_lag7,0.0890912772175306,8.9,64.8
El Niño Index (60-day lag) (ONI_L60),oni_lag60,0.0783015267024838,7.8,72.6
Indian Ocean Dipole (60-day lag) (DMI_L60),dmi_lag60,0.0638273870345742,6.4,79.0
Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14),pcrvi_lag14,0.0608838353332256,6.1,85.1
Population Vulnerability (14-day lag) (BH_L14),bh_norm_lag14,0.0491951930680341,4.9,90.0
Climate Driver Response (CDR),cdr_norm,0.0399316920728483,4.0,94.0
Seasonal Cycle (sine) (DoY_sin),doy_sin,0.0134033974470997,1.3,95.3
SST Anomaly (SSTA),sst_anomaly,0.011489692528856,1.1,96.5
Population Vulnerability (BH),bh_norm,0.0067879605011835,0.7,97.2
Climate Driver Response (7-day lag) (CDR_L7),cdr_norm_lag7,0.0047091769899674,0.5,97.6
Seasonal Bleaching Risk (14-day lag) (SR_L14),sr_norm_lag14,0.0032339398796019,0.3,98.0
Seasonal Bleaching Risk (7-day lag) (SR_L7),sr_norm_lag7,0.0031507779668413,0.3,98.3
Seasonal Bleaching Risk (SR),sr_norm,0.0029591535268281,0.3,98.6
