Threshold,F1,Precision,Recall,MCC,HSS,PSS,CSI,FAR,POFD,Alerts
0.15,0.0405,0.0207,1.0,0.0,0.0,0.0,0.0207,0.9793,1.0,10167
0.2,0.0405,0.0207,1.0,0.0,0.0,0.0,0.0207,0.9793,1.0,10167
0.25,0.0405,0.0207,1.0,0.0,0.0,0.0,0.0207,0.9793,1.0,10167
0.3,0.0409,0.0209,1.0,0.0148,0.0004,0.0105,0.0209,0.9791,0.9895,10062
0.35,0.0471,0.0241,1.0,0.0595,0.0071,0.1468,0.0241,0.9759,0.8532,8705
0.4,0.0803,0.0418,0.9905,0.1457,0.0423,0.5121,0.0418,0.9582,0.4784,4971
0.45,0.1733,0.0971,0.8048,0.2443,0.1417,0.647,0.0949,0.9029,0.1578,1740
0.5,0.3502,0.2406,0.6429,0.3738,0.3301,0.6001,0.2123,0.7594,0.0428,561
0.55,0.4916,0.4928,0.4905,0.481,0.481,0.4798,0.3259,0.5072,0.0106,209
0.6,0.413,0.5426,0.3333,0.416,0.4036,0.3274,0.2602,0.4574,0.0059,129
0.65,0.3915,0.7746,0.2619,0.4446,0.385,0.2603,0.2434,0.2254,0.0016,71
0.7,0.2651,0.8462,0.1571,0.3602,0.2603,0.1565,0.1528,0.1538,0.0006,39
0.75,0.1166,1.0,0.0619,0.2464,0.1145,0.0619,0.0619,0.0,0.0,13
