year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean,pcrvi_max,pcrvi_mean,high_risk_days,ta_norm_max,as_norm_max,wq_norm_max,la_norm_max
1998,1.0042635927555883,0.3002069102899268,206,75,0,0,0,31.467375855178368,28.859798649961725,0.6576342638175443,0.42826994586273553,22,0.7771956684472692,0.366377989856147,0.8756217163346247,0.9786670518919118
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724958,0.42501118700929413,0.3587009885080643,0,0.35292431533483676,0.1,0.7074539504698187,0.962056423777957
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272,0.4172967116371054,0.3599103597346743,0,0.2720816179730619,0.1,0.6874455855417856,0.9763027686158422
2001,0.0,0.0,364,0,0,0,0,30.414702133568383,28.45200902023793,0.4462715005520145,0.377371171420727,0,0.35612617980327527,0.1,0.7107473218766303,0.9707652773210502
2002,0.0,0.0,364,0,0,0,0,30.42468659746091,28.644403245171222,0.4704360406601149,0.40815154345515275,0,0.43025688751248264,0.1,0.6946668702169028,0.9816246817679524
2003,0.0,0.0,364,0,0,0,0,30.90150755463839,28.694001418728547,0.5298758581759467,0.41202106215036427,0,0.5494396650346793,0.1,0.7060314350583593,0.9789956441091932
2004,0.0,0.0,365,0,0,0,0,30.85328286939342,28.56250171980169,0.5385292462015491,0.40963946695908204,1,0.5301497909366922,0.1,0.7270085972224384,0.976384563653427
2005,0.0,0.0,364,0,0,0,0,30.947197836866245,28.64414127661092,0.5451458035110688,0.3926526803093914,3,0.5677157779258216,0.1,0.7710294571047741,0.9793357333707335
2006,0.0,0.0,364,0,0,0,0,30.330839894761684,28.628633562627524,0.47493934039410407,0.40921867275217144,0,0.3340224066363625,0.1,0.7044052091569716,0.9720643795312649
2007,0.0,0.0,364,0,0,0,0,30.41572463191654,28.549394857174374,0.47132999490288185,0.39124851688835655,0,0.3551264959459395,0.1,0.7185920492461829,0.9715564333512208
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019742,0.45564364262637613,0.3865866557624209,0,0.40759412634333714,0.1,0.7049469082713763,0.9787269741485642
2009,0.0,0.0,364,0,0,0,0,30.362611951976657,28.740610877207004,0.47221862085514055,0.4113810359411424,0,0.35968252801060674,0.1,0.7748699298630881,0.9788515200943991
2010,3.811109786603916,0.879486873831673,263,36,65,0,0,31.54643204812009,29.20073851293853,0.7140746867829072,0.4517557640074002,58,0.8088181456239574,0.7381943616627447,0.7035794771867028,0.9774817872140303
2011,0.0,0.0,364,0,0,0,0,30.42709211438416,28.71023171722051,0.46734648357426517,0.38934701747657235,0,0.3610821721295856,0.1,0.7469238441223837,0.9743081603910602
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148,0.44776076271059595,0.3954211350515791,0,0.3450705557437345,0.1,0.6979417525232968,0.9770088222556887
2013,0.0,0.0,364,0,0,0,0,30.598120378216663,28.800759657901686,0.4707359329755767,0.392536994469741,0,0.4280847944659889,0.1,0.7053731095856637,0.9737753555513667
2014,0.6054598659012552,0.1397215075156742,364,0,0,0,0,31.22183727178657,28.815977770203077,0.5883919697796826,0.416589654349701,10,0.6775715518939514,0.26360950754504797,0.7071479161481946,0.9801169291827823
2015,0.0,0.0,364,0,0,0,0,30.54441827116396,29.104950679256763,0.5247512798003215,0.4607321830216967,4,0.42660063165815315,0.1,0.6898501559144707,0.9758626545403482
2016,6.100748652634323,1.4040079090994058,258,22,34,51,0,31.65441310774793,29.188950901731744,0.7320030453068521,0.42725781525310924,50,0.8520105694750946,0.8812967907896452,0.7032372043149915,0.9845147071460922
2017,0.0,0.0,364,0,0,0,0,30.509341233562147,28.8985796102803,0.45653936611131474,0.3696171749891942,0,0.3939818198007806,0.1,0.7059432937092509,0.9776108090690814
2018,0.4401643647305263,0.1015763918608906,364,0,0,0,0,31.153179726626675,29.018829443542646,0.5227719971291311,0.39410777989312396,2,0.651517217026592,0.21658874581588838,0.7049162006865314,0.9777911445553884
2019,0.0,0.0,364,0,0,0,0,30.64482031603601,29.1110878449289,0.493040248659939,0.43234505247892074,0,0.4563774990927954,0.1,0.708839669328669,0.978248031694749
2020,0.0,0.0,365,0,0,0,0,30.68076568906623,29.080152773776888,0.4807265042259279,0.4024355814589767,0,0.473546076743424,0.1,0.7045327445335579,0.9731451654486925
2021,0.2963686881662336,0.0683927741922077,364,0,0,0,0,31.17327691252347,29.11475898999052,0.5509614889418261,0.3983137432023645,5,0.6595560913853099,0.1830526798572536,0.6984461237527223,0.9767412020596159
2022,1.2072722097402864,0.2786012791708352,284,80,0,0,0,31.42976354335792,29.036070260454675,0.5781235390348749,0.382628334762481,6,0.7607420605224924,0.4269229080608066,0.6503901931728076,0.9806456018396946
2023,0.0,0.0,364,0,0,0,0,30.978330465543493,29.036161410291022,0.5558132843908608,0.4564669929887331,8,0.5815775125933194,0.1,0.7051948339661466,0.9732835821393389
2024,6.242228122038234,1.4365675678115388,263,17,28,57,0,31.95171248452768,29.539456441037327,0.8033235948755841,0.46316168328094126,48,0.9703424969055355,0.8901392576273897,0.6156984876778293,0.9767136384505241
2025,0.0,0.0,362,0,0,0,0,30.324708429349823,29.07995209288753,0.4227815832837181,0.3657045749853491,0,0.34274766356737346,0.1,0.5583287536080246,0.9742569997820059
