feature,importance
doy_sin,0.2933811275254116
oni_lag60,0.2050566983681886
cdr_norm_lag14,0.09062672279386913
sst_anomaly,0.08386642115128791
pcrvi_lag7,0.060837837101909424
pcrvi,0.05611188994617369
bh_norm_lag14,0.04310203079619964
ta_norm,0.0327534079193433
dmi_lag60,0.0263888818004727
doy_cos,0.026266772151266007
cdr_norm,0.01875836185670405
cdr_norm_lag7,0.009367493880793217
pcrvi_lag14,0.008723640113950439
sr_norm_lag14,0.008190261545145247
sr_norm_lag7,0.00756139302717264
ta_norm_lag14,0.007513202740534815
ta_norm_lag7,0.0055967627862937375
sr_norm,0.005231886214094628
bh_norm,0.004808577980094203
bh_norm_lag7,0.0034796035359080605
la_norm_lag14,0.0005562110644692273
la_norm,0.0005153302226097978
wq_norm_lag7,0.0004356689894306229
la_norm_lag7,0.0004140615083702111
wq_norm,0.00032619602360405215
wq_norm_lag14,0.00012955895670309047
