feature,importance
doy_sin,0.5641819
pcrvi,0.104055084
oni_lag60,0.075316854
pcrvi_lag7,0.059959438
sr_norm,0.044216838
pcrvi_lag14,0.026452815
cdr_norm_lag14,0.0184822
dmi_lag60,0.013976995
ta_norm_lag14,0.013693203
bh_norm_lag14,0.01149433
bh_norm,0.010641655
ta_norm,0.009680289
sst_anomaly,0.009127087
cdr_norm,0.008919087
cdr_norm_lag7,0.007782549
bh_norm_lag7,0.0058028316
ta_norm_lag7,0.0039602327
sr_norm_lag14,0.0033498881
doy_cos,0.0031839942
sr_norm_lag7,0.0013580078
la_norm_lag7,0.0011107175
wq_norm_lag7,0.00095527625
la_norm,0.00093866553
la_norm_lag14,0.00058218924
wq_norm,0.0005282446
wq_norm_lag14,0.00024962486
