feature,importance,display_name
pcrvi,0.3407130849137044,Coral Reef Vulnerability Index (pCRVI)
pcrvi_lag7,0.3061183200769591,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
pcrvi_lag14,0.11237190324106924,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
dmi_lag60,0.04017202489556248,Indian Ocean Dipole (60-day lag) (DMI_L60)
oni_lag60,0.03604751065381138,El Niño Index (60-day lag) (ONI_L60)
sr_norm,0.03590081536248165,Seasonal Bleaching Risk (SR)
sst_anomaly,0.026361306295276866,SST Anomaly (SSTA)
cdr_norm,0.020631687339474437,Climate Driver Response (CDR)
bh_norm,0.013361680609551292,Population Vulnerability (BH)
cdr_norm_lag14,0.012785754734632775,Climate Driver Response (14-day lag) (CDR_L14)
cdr_norm_lag7,0.012262686783574216,Climate Driver Response (7-day lag) (CDR_L7)
bh_norm_lag7,0.00824189260357828,Population Vulnerability (7-day lag) (BH_L7)
ta_norm,0.0077083425603287755,Thermal Anomaly (TA)
bh_norm_lag14,0.006774762443971788,Population Vulnerability (14-day lag) (BH_L14)
doy_sin,0.0063310622469706064,Seasonal Cycle (sine) (DoY_sin)
doy_cos,0.0037484465051164624,Seasonal Cycle (cosine) (DoY_cos)
ta_norm_lag14,0.0037026012740206263,Thermal Anomaly (14-day lag) (TA_L14)
sr_norm_lag14,0.003337553694268345,Seasonal Bleaching Risk (14-day lag) (SR_L14)
ta_norm_lag7,0.0011872926950129128,Thermal Anomaly (7-day lag) (TA_L7)
sr_norm_lag7,0.0009489462916814743,Seasonal Bleaching Risk (7-day lag) (SR_L7)
la_norm,0.0005565134544208365,Light Availability (LA)
la_norm_lag14,0.00030041367495325005,Light Availability (14-day lag) (LA_L14)
la_norm_lag7,0.00016347694016784418,Light Availability (7-day lag) (LA_L7)
wq_norm,0.00014462251015722827,Water Quality Stress (WQ)
wq_norm_lag7,6.456452661165598e-05,Water Quality Stress (7-day lag) (WQ_L7)
wq_norm_lag14,6.273367264214149e-05,Water Quality Stress (14-day lag) (WQ_L14)
