week_start,week_end,iso_year,iso_week,pcrvi_mean,pcrvi_max,pcrvi_min,pcrvi_trend,risk_category,dhw_mean,dhw_max,recommendation,alert_color,ta_mean,as_mean,sr_mean,cdr_mean,bh_mean,wq_mean,la_mean
1997-12-29,1998-01-04,1998,1,0.4535,0.4756,0.4302,0.015587,Moderate,,,WATCH: Risk rising. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2133,0.0,0.2629,0.8575,0.9,0.6188,0.946
1998-01-05,1998-01-11,1998,2,0.4854,0.4993,0.4734,-0.001995,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1701,0.0,0.2884,0.8575,0.9,0.6188,0.9102
1998-01-12,1998-01-18,1998,3,0.4666,0.4817,0.4551,0.000888,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1468,0.0,0.3234,0.8575,0.9,0.6304,0.8198
1998-01-19,1998-01-25,1998,4,0.4919,0.4968,0.4825,-0.001561,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1857,0.0,0.3609,0.8575,0.9,0.6434,0.8985
1998-01-26,1998-02-01,1998,5,0.5192,0.5291,0.5042,0.004258,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2243,0.0,0.4005,0.8513,0.9,0.6871,0.8811
1998-02-02,1998-02-08,1998,6,0.5107,0.5228,0.5025,0.000414,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1923,0.0,0.4416,0.8138,0.9,0.6566,0.9304
1998-02-09,1998-02-15,1998,7,0.522,0.5331,0.5073,-0.004421,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1971,0.0,0.4834,0.8138,0.9,0.6111,0.8821
1998-02-16,1998-02-22,1998,8,0.5003,0.5073,0.4884,-0.00271,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1934,0.0,0.5256,0.8138,0.9,0.5932,0.8526
1998-02-23,1998-03-01,1998,9,0.5031,0.5234,0.4884,0.006771,Moderate,,,WATCH: Risk rising. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2634,0.0,0.5673,0.7805,0.9,0.57,0.9242
1998-03-02,1998-03-08,1998,10,0.5037,0.5232,0.4799,-0.007659,Moderate,,,WATCH: Risk falling. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.1654,0.0,0.6081,0.5808,0.9,0.5893,0.9247
1998-03-09,1998-03-15,1998,11,0.4872,0.4962,0.4803,-0.001526,Moderate,,,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.2154,0.0,0.6473,0.5808,0.9,0.59,0.9036
1998-03-16,1998-03-22,1998,12,0.5206,0.5374,0.5054,0.005824,Moderate,,,WATCH: Risk rising. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.3839,0.0,0.6844,0.5808,0.9,0.5646,0.9356
1998-03-23,1998-03-29,1998,13,0.5217,0.5351,0.5087,-0.00334,Moderate,0.0,0.0,WATCH: Risk stable. Maintain weekly monitoring. Review contingency plans.,#FFA500,0.33,0.0,0.7188,0.5808,0.9,0.5125,0.9349
1998-03-30,1998-04-05,1998,14,0.5655,0.6095,0.5261,0.012435,High,0.02,0.16,ELEVATED ALERT: Risk rising. Increase monitoring to twice-weekly. Notify stakeholders. Prepare response plans.,#FF4500,0.3653,0.2157,0.75,0.5438,0.9,0.6564,0.9346
1998-04-06,1998-04-12,1998,15,0.5788,0.6095,0.5537,-0.008181,High,0.32,0.32,ELEVATED ALERT: Risk falling. Increase monitoring to twice-weekly. Notify stakeholders. Prepare response plans.,#FF4500,0.3588,0.2062,0.7776,0.5289,0.9,0.5691,0.8903
1998-04-13,1998-04-19,1998,16,0.5738,0.5935,0.5612,0.003939,High,0.34,0.5,ELEVATED ALERT: Risk stable. Increase monitoring to twice-weekly. Notify stakeholders. Prepare response plans.,#FF4500,0.414,0.2025,0.8012,0.5289,0.9,0.5888,0.8448
1998-04-20,1998-04-26,1998,17,0.6254,0.6416,0.6021,0.006417,High,1.17,1.71,ELEVATED ALERT: Risk rising. Increase monitoring to twice-weekly. Notify stakeholders. Prepare response plans.,#FF4500,0.5339,0.2944,0.8204,0.5289,0.9,0.5429,0.8907
1998-04-27,1998-05-03,1998,18,0.7167,0.7813,0.6563,0.022559,Critical,2.64,3.46,IMMEDIATE ACTION: Bleaching likely imminent. Risk rising. Deploy emergency monitoring. Document baseline. Restrict reef access if possible.,#8B0000,0.7492,0.5523,0.8349,0.4985,0.9,0.5821,0.9195
