Threshold,F1,Precision,Recall,MCC,HSS,PSS,CSI,FAR,POFD,Alerts
0.15,0.2538,0.1454,1.0,0.0,0.0,0.0,0.1454,0.8546,1.0,10167
0.2,0.2538,0.1454,1.0,0.0,0.0,0.0,0.1454,0.8546,1.0,10167
0.25,0.2547,0.1459,1.0,0.0259,0.0013,0.0046,0.1459,0.8541,0.9954,10127
0.3,0.275,0.1594,1.0,0.1281,0.0323,0.103,0.1594,0.8406,0.897,9272
0.35,0.3694,0.2265,1.0,0.3081,0.1734,0.4192,0.2265,0.7735,0.5808,6525
0.4,0.5535,0.391,0.9472,0.5138,0.4378,0.6962,0.3826,0.609,0.251,3581
0.45,0.6692,0.5955,0.7639,0.6114,0.6046,0.6756,0.5029,0.4045,0.0883,1896
0.5,0.663,0.7915,0.5704,0.6271,0.6163,0.5448,0.4959,0.2085,0.0255,1065
0.55,0.6016,0.9331,0.4438,0.6091,0.5604,0.4384,0.4302,0.0669,0.0054,703
0.6,0.4751,0.9893,0.3126,0.5253,0.4357,0.312,0.3115,0.0107,0.0006,467
0.65,0.2953,1.0,0.1732,0.3897,0.2637,0.1732,0.1732,0.0,0.0,256
0.7,0.1502,1.0,0.0812,0.265,0.1312,0.0812,0.0812,0.0,0.0,120
0.75,0.0892,1.0,0.0467,0.2004,0.0772,0.0467,0.0467,0.0,0.0,69
