year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean,pcrvi_max,pcrvi_mean,high_risk_days,ta_norm_max,as_norm_max,wq_norm_max,la_norm_max
1998,7.633330684126624,2.281849741874151,173,18,24,66,0,31.467375855178368,28.859798649961725,0.8099351600864141,0.42779130542523613,57,0.9037204974115959,0.9770831677579139,0.8756217163346247,0.9786670518919118
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724958,0.4064410206145619,0.312031410906464,0,0.4381323677951684,0.1,0.7074539504698187,0.962056423777957
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272,0.38288110407646303,0.32119825538063784,0,0.27644697307161864,0.1,0.6874455855417856,0.9763027686158422
2001,0.4828308290753642,0.1114224990173917,364,0,0,0,0,30.414702133568383,28.45200902023793,0.4687354993749142,0.35159705698528165,0,0.5361261798032757,0.23472176561489097,0.7107473218766303,0.9707652773210502
2002,0.616471142287902,0.1422625712972081,364,0,0,0,0,30.42468659746091,28.644403245171222,0.5053868475637773,0.3918441706684717,0,0.5927975121504602,0.25005918760611917,0.6946668702169028,0.9816246817679524
2003,4.9482238240113015,1.1418978055410696,266,19,79,0,0,30.90150755463839,28.694001418728547,0.6819414432245197,0.39611595674369654,22,0.7294396650346797,0.8092639890007063,0.7060314350583593,0.9789956441091932
2004,4.253683284642899,0.9789298518082288,270,19,76,0,0,30.85328286939342,28.56250171980169,0.644886527905056,0.3788568085318981,18,0.7101497909366927,0.7658552052901813,0.7270085972224384,0.976384563653427
2005,3.715954708193376,0.8575280095830868,271,21,72,0,0,30.947197836866245,28.64414127661092,0.629202208761009,0.365360057171553,19,0.7477157779258221,0.732247169262086,0.7710294571047741,0.9793357333707335
2006,0.4573695599665913,0.1055468215307518,364,0,0,0,0,30.330839894761684,28.628633562627524,0.4737576726275442,0.3745807271845524,0,0.5025812842805962,0.22758628851095522,0.7044052091569716,0.9720643795312649
2007,1.4333359418131937,0.3307698327261217,284,80,0,0,0,30.41572463191654,28.549394857174374,0.5316397409935434,0.37116815045629414,3,0.53512649594594,0.48029838989447715,0.7185920492461829,0.9715564333512208
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019742,0.43502616770165153,0.36676950178887097,0,0.5094737517143713,0.1,0.7049469082713763,0.9787269741485642
2009,0.4781869114097097,0.110350825709933,364,0,0,0,0,30.362611951976657,28.740610877207004,0.5147947460670133,0.40260352997707927,1,0.5152901071665852,0.23338638806851533,0.7748699298630881,0.9788515200943991
2010,15.141260610534246,3.494137063969442,229,19,21,13,82,31.54643204812009,29.20073851293853,0.7718115306480655,0.44692080587305255,83,0.91953173599994,1.0,0.7035794771867028,0.9774817872140303
2011,0.4806378840707473,0.110916434785557,364,0,0,0,0,30.42709211438416,28.71023171722051,0.45240143853061227,0.34817950098750156,0,0.541082172129586,0.2341094832341256,0.7469238441223837,0.9743081603910602
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148,0.4039954992361664,0.35953950819229163,0,0.35111106693710215,0.1,0.6979417525232968,0.9770088222556887
2013,2.6483177133523266,0.6111502415428447,276,88,0,0,0,30.598120378216663,28.800759657901686,0.5390165988518165,0.3804176340232912,6,0.6080847944659893,0.6655198570845204,0.7053731095856637,0.9737753555513667
2014,7.918607627465044,1.827370990953472,255,18,22,69,0,31.22183727178657,28.815977770203077,0.7282293665846706,0.4075952136933871,41,0.8532040975366378,0.9949129767165652,0.7071479161481946,0.9801169291827823
2015,1.5341015887298168,0.3540234435530346,282,82,0,0,0,30.54441827116396,29.104950679256763,0.5632023426399888,0.4280241454531051,7,0.588012634841506,0.485983214473742,0.6898501559144707,0.9758626545403482
2016,15.451391035971048,3.5559365671823784,232,19,19,13,82,31.65441310774793,29.188950901731744,0.7933282485151402,0.43665750796963776,60,0.9411279479255086,1.0,0.7032372043149915,0.9845147071460922
2017,2.5118424386211737,0.579655947374117,277,87,0,0,0,30.509341233562147,28.8985796102803,0.5720750833535048,0.3870954058695717,14,0.5739818198007811,0.6569901524138233,0.7059432937092509,0.9776108090690814
2018,5.496251528982368,1.2683657374574695,266,16,82,0,0,31.153179726626675,29.018829443542646,0.6744605814282195,0.41321968419367305,29,0.8315172170265925,0.8435157205613979,0.7049162006865314,0.9777911445553884
2019,6.665759259286031,1.5382521367583153,239,37,49,39,0,30.64482031603601,29.1110878449289,0.6525711565907796,0.4488674452424465,70,0.6363774990927958,0.8236290015610359,0.708839669328669,0.978248031694749
2020,5.231105036145089,1.2038707480443491,265,20,80,0,0,30.68076568906623,29.080152773776888,0.6342411164386295,0.40612680824901026,37,0.6414325844150597,0.826944064759068,0.7045327445335579,0.9731451654486925
2021,9.242136708459617,2.132800778875296,243,24,24,17,56,31.17327691252347,29.11475898999052,0.6960822404185928,0.40416312194876447,55,0.8395560913853104,1.0,0.6984461237527223,0.9767412020596159
2022,7.510892190534235,1.7332828132002085,259,15,23,67,0,31.42976354335792,29.036070260454675,0.6918157829662748,0.37203671669283384,30,0.8947893518509084,0.9694307619083897,0.6503901931728076,0.9806456018396946
2023,6.7295392963610245,1.552970606852544,259,18,27,60,0,30.978330465543493,29.036161410291022,0.6967149000428863,0.4472445202229745,51,0.7615775125933197,0.9205962060225641,0.7051948339661466,0.9732835821393389
2024,14.45415066512687,3.326434673618239,240,17,17,12,79,31.95171248452768,29.539456441037327,0.8351917022239024,0.47680535639050486,77,1.0,1.0,0.6156984876778293,0.9767136384505241
2025,0.7555644369386886,0.1753243444830106,362,0,0,0,0,30.324708429349823,29.07995209288753,0.4832782208367383,0.3754999961439557,0,0.5001286981158515,0.2885871666283088,0.5583287536080246,0.9742569997820059
