feature,importance
pcrvi_lag7,0.43818164704138196
pcrvi_lag14,0.1185761888492312
pcrvi,0.09385854543574255
cdr_norm,0.07670219782099642
bh_norm,0.05543391579089055
sst_anomaly,0.05148944234423649
dmi_lag60,0.039292810422703994
oni_lag60,0.026691618909985896
doy_sin,0.024002474356622804
cdr_norm_lag14,0.016199991548362238
ta_norm,0.012080345134064233
bh_norm_lag14,0.010898583722934568
bh_norm_lag7,0.01080128088850831
cdr_norm_lag7,0.007036072911120699
ta_norm_lag14,0.004684217737740924
sr_norm,0.003993156434281996
sr_norm_lag7,0.0023909122284147075
ta_norm_lag7,0.0018422557928199105
doy_cos,0.0017489638566489268
sr_norm_lag14,0.0012558738509375982
la_norm_lag7,0.0009718918872630647
la_norm,0.00045148309875672846
la_norm_lag14,0.00040616764476439284
wq_norm_lag14,0.00039891201793943896
wq_norm_lag7,0.00032691031014686465
wq_norm,0.00028413996350349697
