feature,importance
pcrvi,0.4124288
sr_norm,0.12455093
doy_sin,0.05693281
pcrvi_lag14,0.05406391
cdr_norm,0.049939357
sst_anomaly,0.04986131
bh_norm,0.04652184
oni_lag60,0.035631627
cdr_norm_lag14,0.033608858
bh_norm_lag14,0.02949359
pcrvi_lag7,0.021987583
cdr_norm_lag7,0.018436413
sr_norm_lag7,0.016149795
dmi_lag60,0.011943355
ta_norm,0.011225522
bh_norm_lag7,0.009282517
ta_norm_lag14,0.00482078
la_norm,0.003450439
sr_norm_lag14,0.0031847614
ta_norm_lag7,0.0016710003
wq_norm_lag14,0.00094205805
doy_cos,0.0009223362
la_norm_lag14,0.0008553891
wq_norm_lag7,0.00085224945
wq_norm,0.0007338169
la_norm_lag7,0.0005089168
