feature,importance,display_name
pcrvi,0.44826952285921623,Coral Reef Vulnerability Index (pCRVI)
doy_sin,0.1377455842723359,Seasonal Cycle (sine) (DoY_sin)
cdr_norm_lag14,0.0903918840506437,Climate Driver Response (14-day lag) (CDR_L14)
dmi_lag60,0.07770610975112514,Indian Ocean Dipole (60-day lag) (DMI_L60)
oni_lag60,0.07697456550365898,El Niño Index (60-day lag) (ONI_L60)
ta_norm,0.03420742172565918,Thermal Anomaly (TA)
cdr_norm_lag7,0.02666749146615674,Climate Driver Response (7-day lag) (CDR_L7)
cdr_norm,0.024894706754447618,Climate Driver Response (CDR)
sst_anomaly,0.020745653540741378,SST Anomaly (SSTA)
bh_norm,0.013528948910430978,Population Vulnerability (BH)
bh_norm_lag7,0.01158997623854914,Population Vulnerability (7-day lag) (BH_L7)
ta_norm_lag14,0.009860651565800752,Thermal Anomaly (14-day lag) (TA_L14)
bh_norm_lag14,0.005412876145277503,Population Vulnerability (14-day lag) (BH_L14)
doy_cos,0.004352848598038596,Seasonal Cycle (cosine) (DoY_cos)
ta_norm_lag7,0.0043309608340622785,Thermal Anomaly (7-day lag) (TA_L7)
sr_norm_lag7,0.002516284677186938,Seasonal Bleaching Risk (7-day lag) (SR_L7)
wq_norm_lag14,0.002471989931810724,Water Quality Stress (14-day lag) (WQ_L14)
pcrvi_lag14,0.0023718851327167805,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
pcrvi_lag7,0.001957499400125875,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
sr_norm,0.0012632581028958554,Seasonal Bleaching Risk (SR)
sr_norm_lag14,0.001135638616944858,Seasonal Bleaching Risk (14-day lag) (SR_L14)
la_norm_lag14,0.0006572790389247265,Light Availability (14-day lag) (LA_L14)
la_norm,0.0003244061204689785,Light Availability (LA)
la_norm_lag7,0.00024240358282591888,Light Availability (7-day lag) (LA_L7)
wq_norm,0.00021935913694783553,Water Quality Stress (WQ)
wq_norm_lag7,0.00016079404300740048,Water Quality Stress (7-day lag) (WQ_L7)
