Feature,feature,Importance,Contribution %,Cumulative %
Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7),pcrvi_lag7,0.4515980028054308,45.2,45.2
Population Vulnerability (BH),bh_norm,0.1526562675470648,15.3,60.4
Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14),pcrvi_lag14,0.1048632174098684,10.5,70.9
Coral Reef Vulnerability Index (pCRVI),pcrvi,0.0620400216531792,6.2,77.1
SST Anomaly (SSTA),sst_anomaly,0.051922778843358,5.2,82.3
Climate Driver Response (CDR),cdr_norm,0.0310067216255911,3.1,85.4
Thermal Anomaly (TA),ta_norm,0.0291748588463705,2.9,88.3
El Niño Index (60-day lag) (ONI_L60),oni_lag60,0.0272606291620523,2.7,91.1
Indian Ocean Dipole (60-day lag) (DMI_L60),dmi_lag60,0.0195105067728953,2.0,93.0
Seasonal Cycle (sine) (DoY_sin),doy_sin,0.0128665875676986,1.3,94.3
Climate Driver Response (14-day lag) (CDR_L14),cdr_norm_lag14,0.0119452718915813,1.2,95.5
Population Vulnerability (14-day lag) (BH_L14),bh_norm_lag14,0.0076103226976096,0.8,96.2
Population Vulnerability (7-day lag) (BH_L7),bh_norm_lag7,0.0061628514929539,0.6,96.9
Seasonal Cycle (cosine) (DoY_cos),doy_cos,0.0058656551472944,0.6,97.4
Seasonal Bleaching Risk (SR),sr_norm,0.0043457664664436,0.4,97.9
