Threshold,F1,Precision,Recall,MCC,HSS,PSS,CSI,FAR,POFD,Alerts
0.15,0.1049,0.0554,1.0,0.0,0.0,0.0,0.0554,0.9446,1.0,10167
0.2,0.1049,0.0554,1.0,0.0,0.0,0.0,0.0554,0.9446,1.0,10167
0.25,0.1049,0.0554,1.0,0.0,0.0,0.0,0.0554,0.9446,1.0,10167
0.3,0.1078,0.057,1.0,0.0409,0.0033,0.0294,0.057,0.943,0.9706,9885
0.35,0.1339,0.0717,1.0,0.1316,0.034,0.2414,0.0717,0.9283,0.7586,7849
0.4,0.2141,0.1203,0.9734,0.2557,0.1281,0.5559,0.1199,0.8797,0.4174,4557
0.45,0.3461,0.2253,0.746,0.3521,0.2853,0.5956,0.2093,0.7747,0.1504,1864
0.5,0.5,0.4452,0.5702,0.4709,0.4668,0.5285,0.3333,0.5548,0.0416,721
0.55,0.4914,0.5735,0.4298,0.4714,0.466,0.4111,0.3257,0.4265,0.0187,422
0.6,0.4447,0.7038,0.325,0.4593,0.4246,0.317,0.2859,0.2962,0.008,260
0.65,0.3243,0.8143,0.2025,0.3921,0.3091,0.1998,0.1935,0.1857,0.0027,140
0.7,0.2198,0.9459,0.1243,0.3334,0.2096,0.1239,0.1235,0.0541,0.0004,74
0.75,0.085,1.0,0.0444,0.2051,0.0807,0.0444,0.0444,0.0,0.0,25
