year,dhw_max,dhw_mean,days_no_stress,days_watch,days_warning,days_alert1,days_alert2,sst_max,sst_mean,pcrvi_max,pcrvi_mean,high_risk_days,ta_norm_max,as_norm_max,wq_norm_max,la_norm_max
1998,2.772018142935881,0.8286459929060995,194,87,0,0,0,31.467375855178368,28.859798649961725,0.708397965091087,0.44075360012532344,33,0.8771956684472692,0.6732511339334926,0.8756217163346247,0.9786670518919118
1999,0.0,0.0,364,0,0,0,0,29.626040262301657,28.285549195724958,0.4254590944484395,0.35871043198904806,0,0.35813236779516794,0.1,0.7074539504698187,0.962056423777957
2000,0.0,0.0,365,0,0,0,0,29.565052422649625,28.26782859511272,0.4172967116371054,0.3599103597346743,0,0.2720816179730619,0.1,0.6874455855417856,0.9763027686158422
2001,0.0,0.0,364,0,0,0,0,30.414702133568383,28.45200902023793,0.4586118959271285,0.3788037578336254,0,0.4561261798032753,0.1,0.7107473218766303,0.9707652773210502
2002,0.0,0.0,364,0,0,0,0,30.42468659746091,28.644403245171222,0.4766470678975487,0.40982057001575545,0,0.5127975121504598,0.1,0.6946668702169028,0.9816246817679524
2003,1.5305382258270062,0.3532011290370014,282,82,0,0,0,30.90150755463839,28.694001418728547,0.5988351671042786,0.42113744192913544,11,0.6494396650346793,0.5076593597640549,0.7060314350583593,0.9789956441091932
2004,2.138874950128304,0.4922342350980207,280,85,0,0,0,30.85328286939342,28.56250171980169,0.6137823625553591,0.4212310204243267,16,0.6301497909366922,0.6242619216476522,0.7270085972224384,0.976384563653427
2005,1.1722371536051186,0.2705162662165658,284,80,0,0,0,30.947197836866245,28.64414127661092,0.6082380048972228,0.3992526733301882,7,0.6677157779258216,0.41774385287160726,0.7710294571047741,0.9793357333707335
2006,0.0,0.0,364,0,0,0,0,30.330839894761684,28.628633562627524,0.47493946423734484,0.4102105511295664,0,0.4225812842805958,0.1,0.7044052091569716,0.9720643795312649
2007,0.0,0.0,364,0,0,0,0,30.41572463191654,28.549394857174374,0.49535252353230286,0.3929892553494272,0,0.4551264959459395,0.1,0.7185920492461829,0.9715564333512208
2008,0.0,0.0,365,0,0,0,0,30.07525623014325,28.711379806019742,0.4562159080413758,0.3874637164272102,0,0.42947375171437085,0.1,0.7049469082713763,0.9787269741485642
2009,0.0,0.0,364,0,0,0,0,30.362611951976657,28.740610877207004,0.4841299123539266,0.4133759340984169,0,0.4352901071665848,0.1,0.7748699298630881,0.9788515200943991
2010,9.362519925513096,2.160581521272253,248,18,26,17,55,31.54643204812009,29.20073851293853,0.7271535770992397,0.4380309380947382,69,0.9088181456239575,1.0,0.7035794771867028,0.9774817872140303
2011,0.0,0.0,364,0,0,0,0,30.42709211438416,28.71023171722051,0.4189498982909324,0.3434957648479978,0,0.4610821721295856,0.1,0.7469238441223837,0.9743081603910602
2012,0.0,0.0,365,0,0,0,0,29.95216435140295,28.630099494893148,0.4067190154499968,0.3567586192405878,0,0.3450705557437345,0.1,0.6979417525232968,0.9770088222556887
2013,0.0,0.0,364,0,0,0,0,30.598120378216663,28.800759657901686,0.4484999510403006,0.3642472437586218,0,0.528084794465989,0.1,0.7053731095856637,0.9737753555513667
2014,3.990151150595025,0.9208041116757748,271,19,74,0,0,31.22183727178657,28.815977770203077,0.6500978486908143,0.4110224683290826,28,0.7775715518939514,0.7493844469121891,0.7071479161481946,0.9801169291827823
2015,0.0,0.0,364,0,0,0,0,30.54441827116396,29.104950679256763,0.5145461861033154,0.44735367145123567,0,0.5080126348415056,0.1,0.6898501559144707,0.9758626545403482
2016,9.876736403001662,2.273002350279834,250,16,23,16,60,31.65441310774793,29.188950901731744,0.7788769698605923,0.43475148313769596,54,0.9411279479255086,1.0,0.7032372043149915,0.9845147071460922
2017,0.0,0.0,364,0,0,0,0,30.509341233562147,28.8985796102803,0.4817963778411159,0.3725681160208482,0,0.4939818198007806,0.1,0.7059432937092509,0.9776108090690814
2018,3.311307923163985,0.7641479822686119,273,20,71,0,0,31.153179726626675,29.018829443542646,0.6156624727722494,0.41049864013097676,23,0.751517217026592,0.706956745197749,0.7049162006865314,0.9777911445553884
2019,0.2947333310945405,0.0680153840987401,364,0,0,0,0,30.64482031603601,29.1110878449289,0.5215301919030131,0.4381448365611816,2,0.5563774990927954,0.1736469036424923,0.708839669328669,0.978248031694749
2020,1.4980129472215593,0.3447481851140027,288,77,0,0,0,30.68076568906623,29.080152773776888,0.5632207433008471,0.4134467072703536,9,0.5614325844150593,0.4536330554033904,0.7045327445335579,0.9731451654486925
2021,4.895506824241696,1.1297323440557758,266,19,79,0,0,31.17327691252347,29.11475898999052,0.6790793727755353,0.3977190500296932,38,0.7595560913853099,0.805969176515106,0.6984461237527223,0.9767412020596159
2022,5.453593215889732,1.2585215113591688,264,19,81,0,0,31.42976354335792,29.036070260454675,0.6533786249404191,0.36161965478297603,21,0.8607420605224925,0.8408495759931083,0.6503901931728076,0.9806456018396946
2023,3.55456098143621,0.8202833034083562,271,23,70,0,0,30.978330465543493,29.036161410291022,0.6370520607853234,0.4369050075745504,38,0.6815775125933193,0.7221600613397632,0.7051948339661466,0.9732835821393389
2024,9.820818662661964,2.2601336100372738,254,15,20,13,63,31.95171248452768,29.539456441037327,0.8007196219961081,0.46416812003098096,64,1.0,1.0,0.6156984876778293,0.9767136384505241
2025,0.0,0.0,362,0,0,0,0,30.324708429349823,29.07995209288753,0.43087115620204486,0.36801510262018455,0,0.4201286981158511,0.1,0.5583287536080246,0.9742569997820059
