feature,importance
doy_sin,0.54634625
pcrvi,0.08793714
oni_lag60,0.054640073
pcrvi_lag7,0.045202013
bh_norm_lag14,0.03958553
sr_norm,0.03469131
bh_norm_lag7,0.032086473
bh_norm,0.030476006
cdr_norm_lag14,0.022030367
cdr_norm_lag7,0.020622343
cdr_norm,0.016224874
pcrvi_lag14,0.012679067
sst_anomaly,0.011637707
ta_norm_lag14,0.0077726403
ta_norm,0.0075717117
dmi_lag60,0.00745722
ta_norm_lag7,0.005964713
sr_norm_lag14,0.0048489533
doy_cos,0.0040037828
sr_norm_lag7,0.003191481
la_norm,0.0019935784
la_norm_lag14,0.0012019624
wq_norm_lag14,0.00094566395
wq_norm_lag7,0.00031827777
wq_norm,0.00030627532
la_norm_lag7,0.00026461494
