feature,importance,display_name
pcrvi,0.40313447945123587,Coral Reef Vulnerability Index (pCRVI)
oni_lag60,0.21922130746208116,El Niño Index (60-day lag) (ONI_L60)
doy_sin,0.09677452446810514,Seasonal Cycle (sine) (DoY_sin)
cdr_norm_lag14,0.06232465988365412,Climate Driver Response (14-day lag) (CDR_L14)
dmi_lag60,0.053517926120151854,Indian Ocean Dipole (60-day lag) (DMI_L60)
sst_anomaly,0.043178588807433936,SST Anomaly (SSTA)
ta_norm,0.026655515012533947,Thermal Anomaly (TA)
bh_norm,0.01580759546383472,Population Vulnerability (BH)
bh_norm_lag14,0.01263633740084333,Population Vulnerability (14-day lag) (BH_L14)
cdr_norm,0.010585241682469913,Climate Driver Response (CDR)
ta_norm_lag14,0.009619459648866499,Thermal Anomaly (14-day lag) (TA_L14)
doy_cos,0.00832501926501702,Seasonal Cycle (cosine) (DoY_cos)
bh_norm_lag7,0.007880376859547325,Population Vulnerability (7-day lag) (BH_L7)
ta_norm_lag7,0.006045333561536929,Thermal Anomaly (7-day lag) (TA_L7)
sr_norm_lag7,0.004537793171609551,Seasonal Bleaching Risk (7-day lag) (SR_L7)
cdr_norm_lag7,0.0033481329632213796,Climate Driver Response (7-day lag) (CDR_L7)
sr_norm_lag14,0.0031594037542063977,Seasonal Bleaching Risk (14-day lag) (SR_L14)
pcrvi_lag14,0.0030852756667290216,Coral Reef Vulnerability Index (14-day lag) (pCRVI_L14)
pcrvi_lag7,0.002099772820316753,Coral Reef Vulnerability Index (7-day lag) (pCRVI_L7)
wq_norm_lag7,0.0017731317795207223,Water Quality Stress (7-day lag) (WQ_L7)
la_norm,0.001707213004184763,Light Availability (LA)
la_norm_lag14,0.0015811273021920304,Light Availability (14-day lag) (LA_L14)
sr_norm,0.0014685158195630761,Seasonal Bleaching Risk (SR)
wq_norm,0.0008798426518018157,Water Quality Stress (WQ)
la_norm_lag7,0.0003972521917353404,Light Availability (7-day lag) (LA_L7)
wq_norm_lag14,0.0002561737876073717,Water Quality Stress (14-day lag) (WQ_L14)
